ssc_508060_0010#0,"""ไง เธอนั่นเอง"""
ssc_508060_0020#0,"""มาพักผ่อนเหรอ?"""
ssc_508060_0030#0,"""เลเซียล (Leciel)..."""
ssc_508060_0040#0,"""อื้ม อะไรประมาณนั้นแหละ<br>พวกเราแค่บังเอิญมาเจอกันพอดีน่ะ"""
ssc_508060_0050#0,"""พวกเรากำลังคุยเรื่องนั้นอยู่พอดีเลย"""
ssc_508060_0060#0,"""การสืบสวนของเรามีความคืบหน้าทีละนิดๆ น่ะ<br>เราได้เรียนรู้เกี่ยวกับเลเซียล (Leciel) มาเยอะเลยล่ะ"""
ssc_508060_0070#0,"""ใช่แล้วล่ะ การสืบสวนของเรามีความคืบหน้าไปทีละนิดๆ น่ะ"""
ssc_508060_0080#0,"""พวกเรากำลังคุยเรื่องนั้นอยู่พอดีเลย"""
ssc_508060_0090#0,"""สนใจมาร่วมวงสนทนากับพวกเราไหม?"""
ssc_508060_0100#0,"""ฟาเรีย (Pharia) เคยพูดถึงเรื่องนี้มาก่อนหน้านี้แล้วใช่ไหมล่ะ?<br>เรื่องที่เลเซียล (Leciel) เป็นหน่วยควบคุมสำหรับฮาลฟา (Halpha) ทั้งหมดน่ะ"""
ssc_508060_0110#0,"""อย่างเช่น มันใช้ควบคุมสภาพอากาศและอะไรทำนองนั้นน่ะ"""
ssc_508060_0120#0,"""ลม ฝน หิมะ..."""
ssc_508060_0130#0,"""ทุกอย่างถูกจัดการอย่างละเอียดถี่ถ้วนโดยเลเซียล (Leciel) ล่ะ"""
ssc_508060_0140#0,"""ไปจนถึง<br>อุณหภูมิและความชื้นเลยล่ะ"""
ssc_508060_0150#0,"""ไม่คิดเลยนะว่าจะมีสิ่งใดสามารถ<br>ควบคุมเรื่องทั้งหมดนั้นได้พร้อมๆ กันแบบนี้น่ะ..."""
ssc_508060_0160#0,"""เหลือเชื่อจริงๆ แฮะ"""
ssc_508060_0170#0,"""รู้สึกสังหรณ์ใจอยู่แล้วเชียวว่าเป็นแบบนั้น"""
ssc_508060_0180#0,"""ใช่ไหมล่ะ?"""
ssc_508060_0190#0,"""น่าประหลาดใจเหมือนกันนะ"""
ssc_508060_0200#0,"""เดี๋ยวนะ จริงเหรอเนี่ย?"""
ssc_508060_0210#0,"""มีทักษะการอนุมานที่ดีจริงๆ นะเนี่ย<br>น่าจะเป็นนักวิจัยที่ดีได้เลยนะ"""
ssc_508060_0220#0,"""อ้อ เรายังได้รับข้อมูลใหม่ๆ<br>มาจากชาวเลเซียล (Lecielan) ด้วยนะ"""
ssc_508060_0230#0,"""ในส่วนลึกของเลเซียล (Leciel) มีพื้นที่หนึ่ง<br>ที่มีแต่เซเฟตโต้ (Zephetto) เท่านั้นที่เข้าไปได้น่ะ"""
ssc_508060_0240#0,"""ถ้าพวกเราเข้าไปที่นั่นได้ เราอาจจะได้เรียนรู้ในสิ่งที่<br>แม้แต่ชาวเลเซียล (Lecielan) เองก็ยังไม่รู้ล่ะ"""
ssc_508060_0250#0,"""อย่างเช่นข้อมูลเกี่ยวกับพวก Starless ไงล่ะ"""
ssc_508060_0260#0,"""เข้าใจล่ะ... ไม่มีวิธีไหนที่จะ<br>เข้าถึงพื้นที่นั้นได้โดยตรงเลยเหรอ?"""
ssc_508060_0270#0,"""น่าเสียดาย ที่ยังไม่มี..."""
ssc_508060_0280#0,"""เครื่องเทเลพอร์ตที่<br>ใช้ก่อนหน้านี้ก็ยังใช้งานไม่ได้ล่ะนะ"""
ssc_508060_0290#0,"""แต่พวกเราคิดว่าเราพบเส้นทางอื่น<br>ในการเข้าถึงส่วนลึกของเลเซียล (Leciel) แล้วล่ะ"""
ssc_508060_0300#0,"""หืม..."""
ssc_508060_0310#0,"""ตอนนี้กำลังจัดเตรียมทีมสำรวจอยู่<br>ความจริงก็ไปตรวจสอบมาด้วยตัวเองแล้วล่ะ"""
ssc_508060_0320#0,"""แต่ว่า..."""
ssc_508060_0330#0,"""ระหว่างทางไปที่นั่น มันมีบางอย่างที่เหมือนกับ...<br>จะว่ายังไงดี อีกมิติหนึ่งงั้นเหรอ?"""
ssc_508060_0340#0,"""อีกมิติหนึ่งงั้นเหรอ...?"""
ssc_508060_0350#0,"""อื้ม ตอนนี้พวกเรายังไม่มีข้อมูล<br>อะไรมากนัก แต่ทว่า..."""
ssc_508060_0360#0,"""จากที่เราพอจะบอกได้ มันถูกใช้เป็นสถานที่ทดลอง<br>มาตั้งแต่ก่อนที่พวกเขาจะเริ่มทำงานกับฮาลฟา (Halpha) เสียอีกน่ะ"""
ssc_508060_0370#0,"""มันเป็นสถานที่แบบนั้นล่ะ หรือ<br>อย่างน้อยก็เป็นซากปรักหักพังของสถานที่แบบนั้น"""
ssc_508060_0380#0,"""...และมันก็เป็นสถานที่ที่อันตรายมากเลยล่ะ<br>มีศัตรูอยู่เต็มไปหมดเลย"""
ssc_508060_0390#0,"""มีความรู้สึกว่ามันคงจะไม่ง่ายนักหรอก<br>ที่จะเจาะเข้าไปถึงพื้นที่ศูนย์กลางได้น่ะ"""
ssc_508060_0400#0,"""สำหรับตอนนี้ พวกเราจะทำการสำรวจสถานที่นั้นก่อน<br>แล้วค่อยวางแผนขั้นต่อไปจากจุดนั้นล่ะนะ"""
ssc_508060_0410#0,"""เข้าใจล่ะ ขอบใจสำหรับข้อมูลนะ"""
ssc_508060_0420#0,"""เอาเป็นว่า ถ้ามีอะไรเพิ่มเติม<br>จะมาบอกให้รู้นะ"""
