ssc_508010_0010#0,"""...เอ๊ะ? อ้าว <%me> นี่เอง"""
ssc_508010_0020#0,"""มาทำอะไร<br>ตั้งไกลถึงที่นี่เหรอ?"""
ssc_508010_0030#0,"""กำลังจะถามแบบนั้นเหมือนกัน"""
ssc_508010_0040#0,"""กำลังจะไปลอสต์เซ็นทรัล (Lost Central) น่ะ"""
ssc_508010_0050#0,"""ผมกำลังทำการสำรวจ<br>เพื่องานวิจัยอยู่น่ะครับ"""
ssc_508010_0060#0,"""อ้อ ไม่ต้องห่วงนะ<br>ผมไม่ได้จะไปลอสต์เซ็นทรัล (Lost Central) หรืออะไรแบบนั้นหรอก"""
ssc_508010_0070#0,"""อ้อ เข้าใจแล้ว"""
ssc_508010_0080#0,"""ผมก็แค่มาเก็บตัวอย่าง<br>ในบริเวณนี้เพื่องานวิจัยน่ะ"""
ssc_508010_0090#0,"""ถึงแม้ว่าใจจริงอยากจะ<br>สืบสวนลอสต์เซ็นทรัล (Lost Central) ต่อก็เถอะ"""
ssc_508010_0100#0,"""เมรี่ (Meri) กับคนอื่นๆ เอาแต่พูดว่า<br>'ห้ามเข้าไปคนเดียวเด็ดขาดเลยนะ!' น่ะสิ"""
ssc_508010_0110#0,"""คือว่า..."""
ssc_508010_0120#0,"""ผมแค่อยากจะบอกว่า...<br>ขอบคุณที่ช่วยผมไว้ในตอนนั้นนะ"""
ssc_508010_0130#0,"""ท่ามกลางความวุ่นวายทั้งหมดนั่น<br>ผมคิดว่าผมยังไม่ได้ขอบคุณอย่างเป็นทางการเลย"""
ssc_508010_0140#0,"""ในตอนนั้น ไม่คิดเลยว่ามันจะ<br>กลายเป็นเรื่องใหญ่โตขนาดนั้นที่ข้างนอกนั่นน่ะ"""
ssc_508010_0150#0,"""ถึงแม้การสื่อสารจะถูกรบกวน<br>แล้วก็มีพวก DOLLS อยู่ใกล้ๆ เต็มไปหมดก็เถอะ"""
ssc_508010_0160#0,"""ผมเตรียมอาหารมาพอ แล้วก็ยังมี<br>ข้อมูลอีกมหาศาลที่อยากจะดูด้วย"""
ssc_508010_0170#0,"""หลังจากอยู่ที่นั่นได้สักพัก ก็กะว่าจะ<br>แอบหนีออกมาตอนที่มีโอกาสก็พอแล้ว"""
ssc_508010_0180#0,"""ผม... คงจะผิดเองแหละที่น่าจะ<br>ทิ้งข้อความบอกใครสักคนไว้ก่อนที่จะออกมา"""
ssc_508010_0190#0,"""ตอนที่กำลังอ่านรายงานของคุณปู่ในห้องหนังสือของกระท่อม (Lodge)..."""
ssc_508010_0200#0,"""ผมเจอเอกสารบางอย่าง<br>เกี่ยวกับเซ็นทรัลแคนนอน (Central Cannon) เข้า"""
ssc_508010_0210#0,"""ก็เลยคิดว่า 'นี่มันสุดยอดไปเลย!' แล้วก่อนที่จะรู้ตัว<br>ก็มุ่งหน้าไปที่ลอสต์เซ็นทรัล (Lost Central) ซะแล้วล่ะ"""
ssc_508010_0220#0,"""เวลาที่เริ่มทำอะไรสักอย่าง ผมมักจะ<br>มีนิสัยเสียที่ชอบจดจ่ออยู่กับสิ่งนั้นจนลืมมองรอบข้างน่ะครับ"""
ssc_508010_0230#0,"""กำลังพยายามจะแก้นิสัยนี้อยู่ครับ"""
ssc_508010_0240#0,"""...แต่ว่านะ ผมก็ช่วยปรับปรุง<br>เซ็นทรัลแคนนอน (Central Cannon) ได้สำเร็จใช่ไหมล่ะ?"""
ssc_508010_0250#0,"""ผมน่าจะสืบสวนลอสต์เซ็นทรัล (Lost Central) ต่อได้แล้วล่ะ...<br>อดีตเซ็นทรัลซิตี้ (Central City) และเรื่องอื่นๆ ทั้งหมดนั่น..."""
ssc_508010_0260#0,"""ผมคิดว่ามันน่าจะมีประโยชน์นะ...<br>คิดว่ายังไงล่ะ?"""
ssc_508010_0270#0,"""ทำมามากพอแล้วล่ะ"""
ssc_508010_0280#0,"""ไม่เอาแล้วเด็ดขาดนะ"""
ssc_508010_0290#0,"""น-นั่นสินะ ผมเดาว่าคงจะจริงอย่างที่ว่า"""
