text01001#0,"""Hi, <%me>!<br>Happy Valentine's Day!"""
11_voice_NPC_5624_104#0,"""...That said, I'm in a bit of trouble here. I don't actually know why I'm standing here dressed like this."""
text01003#0,"""Well, no good worrying about that now! I want to help everyone enjoy Valentine's Day. Any help you can give would be appreciated!"""
11_voice_NPC_5624_100#0,"""The Lobby looks so beautiful at this time of year! Look how cute everything is!"""
text03001#0,"""Oh, <%me>!<br>Thank you very much for your help!"""
text03002#0,"""I appreciate everything you're doing for me, but don't push yourself too hard!"""
11_voice_NPC_5624_104#1,"""Oh, these clothes? They're very cute and girly, but I don't think they suit me..."""
11_voice_NPC_5624_106#0,"""...You think they look good on me? Aaah! I'm sorry, I wasn't fishing for compliments, I promise!"""
text05001#0,"""I'm really grateful for all the help that you've given me!"""
11_voice_NPC_5624_100#1,"""For my part, I'm going to keep working just as hard as I have been."""
text05003#0,"""As long as time allows, I'm going to do everything I can to help other people enjoy their Valentine's Day!"""
