11_voice_NPC_5021_101#0,"""Ahh, it's you! Excellent timing, young ARKS!"""
Jan_favs_before_020#0,"""I had something to give you. Take a look at this."""
Jan_favs_before_030#0,"""If you want it, it's yours."""
Jan_favs_after_010#0,"""No need to thank me. I'm eternally grateful to you."""
Jan_favs_after_020#0,"""It has been a pleasure."""
Jan_favs_present_010#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_020#0,"""Received <yellow>Diffuse Shell<c> from Jean."""
Jan_favs_present_030#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_040#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_050#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_060#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_070#0,"""Received <yellow>Grenade Shell<c> from Jean."""
Jan_favs_present_080#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_090#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Jean."""
Jan_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Jean."""
11_voice_NPC_5021_100#0,"""You have a question for me?<br>...A man dressed in red named Santa Claus? Mmm, I do know something."""
Paty_01_20#0,"""How many years ago was it now...<br>One time when I was still young, the Campship lost power with me inside."""
Paty_01_30#0,"""Set adrift in an asteroid belt, it was there that I met a warrior of that name."""
Paty_01_40#0,"""He was piloting a humanoid weapon resembling a red A.I.S. He was a brave man, a true warrior at heart."""
Paty_01_50#0,"""Working together, we evaded certain death nine times over. But after we returned from the asteroid belt, he was forced into a situation no man could have escaped..."""
Auyuku_01_010#0,"""おお、君か……なに？<br>大切な相手に礼を尽くすために<br>経験豊富な私から助言がほしい？"""
11_voice_NPC_5021_100#1,"""うむ、見上げた心がけだ！<br>昨今では年上を煙たがる者も多いが<br>やはり守護輝士は違うな！"""
Auyuku_01_030#0,"""して、世話になった人に喜ばれる<br>贈答品には、どんなものが良いかと<br>いうことだが……"""
Auyuku_01_040#0,"""礼とは、相手に心を尽くすこと。<br>心を込めた手作りのチョコレートなど<br>喜ぶ者も多いのではないか？"""
11_voice_NPC_5021_104#0,"""思えば、私も昔は<br>婦人への贈り物で手痛い失敗を……"""
11_voice_NPC_5021_100#2,"""たゆまぬ努力は己を強くする。<br>それは絶対に変わることのない摂理だ。<br>忘れるんじゃないぞ。"""
11_voice_NPC_5021_100#3,"""アークスたるもの油断は禁物だ。<br>いついかなるときにダーカーが<br>襲ってくるかわからないからな。"""
11_voice_NPC_5021_102#0,"""武器や防具はアークスの生命線。<br>可能な限り、強力なものを<br>用意していくんだぞ。"""
11_voice_NPC_5021_101#1,"""マグは成長させているか？<br>成長と共に、戦闘中の補助などを<br>行ってくれる、有意義な存在だ。"""
11_voice_NPC_5021_101#2,"""メディカルセンターを活用すれば<br>戦闘前から有利な状態で<br>交戦することが可能だ。忘れるな。"""
11_voice_NPC_5021_100#4,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb9_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#5,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb10_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#6,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb11_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#7,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb12_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#8,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb13_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#9,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb14_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
Jan_mb16_010#0,"""どうした、何か不安でもあるのか？<br>だがな、それはきっと<br>ただの取り越し苦労だと思うぞ。"""
11_voice_NPC_5021_100#10,"""不安は、自分の内から生まれるものだ。<br>大丈夫と信じていれば自ずとそうなる。<br>私も若い頃には……"""
11_voice_NPC_5021_100#11,"""もっと、胸を張るといい。<br>君が、皆を救ったといっても<br>過言ではないのだからな。"""
11_voice_NPC_5021_100#12,"""変化は恐れることではない。<br>辿るべき道を辿ったからこそ<br>変わったわけだ。"""
Jan_mb18_020#0,"""道は必ず開ける。<br>己を信じ、誤らなければ<br>目的は達成できる、そういうものだ。"""
Jan_mb22_010#0,"""目的のために立てた目標に<br>振り回されてはならんぞ。"""
11_voice_NPC_5021_100#13,"""立てた目標を達成することばかりに<br>気を取られて、目的が達成できなければ<br>無意味だからな。"""
11_voice_NPC_5021_100#14,"""無事に戻ってきたようで<br>安心したぞ。"""
Jan_mb23_020#0,"""強い意志は何にも勝る。<br>いいか、私も若い頃はよく無茶をした。<br>それでだな……"""
11_voice_NPC_5021_104#1,"""思うことは多くあると思う。<br>そういう時は、まず落ち着くことだ。"""
Jan_mb23_after_020#0,"""焦りや不安は、視野を狭くさせる。<br>視野の狭さは、大局を見失わせる。<br>大局を見失えば、目的が喪失する。"""
Jan_mb23_after_030#0,"""だからまずは、落ち着くことだ。<br>そしてしっかりと休むことだ。<br>肝心なときに動けなくなるからな。"""
11_voice_NPC_5021_100#15,"""成し遂げんとする強い意志は<br>何よりも勝るということだな。<br>それを君は自身で証明した。"""
Jan_mb24_after_020#0,"""アークスにとってもその実例は<br>きっと喜ばしいものだろう。<br>私も同じように、若い頃は……"""
Jan_mb25_010#0,"""君はまた新たな出来事と<br>向き合っているのだろう。<br>それが君の役割なのだろうな。"""
11_voice_NPC_5021_104#2,"""自分の役目というものを<br>正しく理解することは大切だ。<br>いいか、私も若い頃は……"""
st01_010#0,"""おお、君か！<br>しっかりと休養はとれたようだな！"""
st01_020#0,"""休むことは肝要なことだぞ！<br>私の若い頃も、そう休む暇などなく<br>日々ダーカーとの戦闘に明け暮れ……"""
11_voice_NPC_5021_100#16,"""サモナーなるクラスは……<br>今までのクラスとは違う<br>独特の戦い方が求められる。"""
st01_020#1,"""つまりまだまだ学ぶ機会がある<br>そういうことでもある。"""
st01_030#0,"""私も若い頃は、日々勉学に励み<br>戦闘に明け暮れ……"""
11_voice_NPC_5021_100#17,"""地球は今までにない文明のある星だ。<br>色々予想外のことが多くあるだろうが<br>恐れずに進むしかない。"""
st01_020#2,"""足を止めてしまえば、それまでだ。<br>私もかつては戦場で……"""
sq00_010#0,"""私は今回の作戦には不参加だ。<br>ともすれば邪魔にすらなってしまう。<br>そう判断してな。"""
11_voice_NPC_5021_104#3,"""昔、私が若かったころに、自らの衰えを<br>認めようとせず、ただがむしゃらに<br>突っ走る者が居てな、そいつは……"""
11_voice_NPC_5021_100#18,"""うむ、無事に帰還したようで何より。<br>私の若い頃は、出撃して帰らない者が<br>ざらにいて、その捜索には……"""
sq02_010#0,"""昨今、情勢が落ち着きを見せている<br>というが、それで油断するのは早い。<br>私が若い頃にも……"""
11_voice_NPC_5021_100#19,"""かつてないほどの強大な敵の出現に<br>アークスの皆はたじろいでいるな。<br>だが、こういう時こそ冷静であるべき。"""
sq13_020#0,"""私の若い頃、ダーカーの相手ですら<br>やっとだった頃に現れたのが【巨躯】。<br>しかし同時期に三英雄が現れた。"""
sq13_030#0,"""対になる存在は常に生まれうる。<br>自らがそれであると信じ<br>日々研鑽を重ね続ければ誰もが……"""
11_voice_NPC_5021_100#20,"""Ahh, are you a new ARKS? Then let me teach you the basics."""
skit01_020#0,"""Learning the basics is not only useful for ARKS, but for the rest of your life as well."""
skit01_030#0,"""Recklessness and ill-preparedness are dangerous. They affect others just as much as yourself. When I was young, I neglected the basics, and..."""
11_voice_NPC_5021_109#0,"""All things considered, the enemies of this era are incomparable. If they devour our Photons, how can we hope to fight them?"""
ep6_sq00_02#0,"""Keep in mind, it's a bad idea to go in recklessly when one is frightened. When I was a younger man, my legs would buckle at the sight of a fearsome foe..."""
ep6_sq01_01#0,"""Those ruffians barged into our domain and didn't so much as wipe their feet. And despite putting up a good fight, we were decisively beaten.<br>...Most regrettable."""
11_voice_NPC_5021_104#4,"""However, in using so much power at once, the enemy has shown their hand. In that sense, this is a step forward. I used to be too prideful to exploit enemy weaknesses, but..."""
11_voice_NPC_5021_100#21,"""Our situation seemed desperate, even impossible, and yet we have returned from the brink of death."""
ep6_sq02_02#0,"""Our strength is not the only factor. Everyone's emotions are running high at present...<br>Our bonds have never felt stronger."""
ep6_sq02_03#0,"""We are great warriors all. When I was lost on the battlefield many years ago, my comrade set out to rescue me, disregarding even his own life..."""
11_voice_NPC_5021_100#22,"""My word, what a victory! Better than I could ever have expected! See what happens when we all pull together?"""
11_voice_NPC_5021_101#3,"""There's no substitute for the feeling you get when everyone's working together and playing their part. It's irreplaceable. I remember when I used to get that feeling from my friends..."""
