msc_011220_0010#0,"""Спасибо, что пришли."""
msc_011220_0020#0,"""...Я всегда была не довольна учением отца."""
msc_011220_0030#0,"""“Ты готова лишь на половину, поэтому я официально<br>тебя не признаю как ARKS”, говорил он мне."""
msc_011220_0040#0,"""Я дочь моего отца, поэтому я должна<br>быть сильнее всех."""
msc_011220_0050#0,"""“Но почему ты не позволяешь мне сражаться<br>вместе с тобой?” спрашивала я."""
msc_011220_0060#0,"""...и в предыдущем бою я наконец поняла причину."""
msc_011220_0070#0,"""И когда Бурудар спросил меня, почему<br>я сражаюсь, и я закрыла глаза, я увидела<br>всех жителей города Эарио."""
msc_011220_0080#0,"""Раньше, я просто жаждала стать ARKS<br>и никогда не задумывалась о том,<br>ради чего я хочу сражаться."""
msc_011220_0090#0,"""Уверена, это видел мой отец."""
msc_011220_0100#0,"""Пусть я это и заметила, но уже слишком поздно."""
msc_011220_0110#0,"""Кроме того, я понятия не имела,<br>на что похож настоящий бой."""
msc_011220_0120#0,"""Когда тело Нагуруса светилось красным,<br>ноги дрожали...<br>и я не могла пошевелиться..."""
msc_011220_0130#0,"""И я... была напугана."""
msc_011220_0140#0,"""... не настолько, чтобы не сражаться..."""
msc_011220_0150#0,"""И если я останусь такой, сражаясь вместе<br>с вами, то могу стать обузой."""
msc_011220_0160#0,"""...Так что... я..."""
msc_011220_0170#0,"""...Аина."""
msc_011220_0180#0,"""Забыла данное Крофорду обещание?"""
msc_011220_0190#0,"""А?"""
msc_011220_0200#0,"""О сотрудничестве. Ты сама же сказала это."""
msc_011220_0210#0,"""...Манон."""
msc_011220_0220#0,"""Сможем ли мы вместе одолеть Дарк Фальца?"""
msc_011220_0230#0,"""Манон... спасибо."""
msc_011220_0240#0,"""Я хочу быть сильной. Хочу вместе с вами<br>сражаться против DOLLS."""
msc_011220_0250#0,"""Поэтому я хочу, чтобы вы мне помогли.<br>Я хочу... сражаться вместе с вами."""
msc_011220_0260#0,"""Как и говорили... Мы делали это<br>с самого начала."""
msc_011220_0270#0,"""Спасибо... вам обоим...<br>Спасибо."""
