name_7006#0,"""Ран"""
msn_011080_002_0020#0,"""Пока вы направляетесь к горе Магнус, я хотела<br>бы дать вам прару советов."""
msn_011080_002_0030#0,"""Способности каждого ARKS выражены в виде числового<br>значения, называемого “Боевой Мощью”."""
msn_011080_002_0040#0,"""Она основана на измерении физических параметров<br>ARKS'а, а также надетого им оружия и брони."""
msn_011080_002_0050#0,"""Оно не отражает уровень личных способностей и тому подобное,<br>так что оно даёт лишь поверхностную оценку..."""
msn_011080_002_0060#0,"""Мы установили ограничения, основанные на параметре БМ,<br>чтобы предотвратить попадание ARKS в опасные<br>районы Хальфы."""
msn_011080_002_0070#0,"""Гора Магнус - одно из таких мест."""
msn_011080_002_0080#0,"""Я предоставила вашу приблизительную оценку в виде БМ,<br>так что, пожалуйста, используйте её для ориентира,<br>при подготовке к бою."""
msn_011080_002_0090#0,"""Мы внимательно следим за этим,<br>так что приложите все усилия."""
msn_011080_002_0101#0,"""Добро пожаловать в Централ-Сити.<br>Рада познакомиться с вами."""
msn_011080_002_0102#0,"""Впредь я буду поддерживать вас<br>в качестве вашего оператора."""
msn_011080_002_0201#0,"""Если у вас найдутся жалобы и предложения по нашей<br>деятельности, пожалуйста, дайте знать."""
msn_011080_002_0202#0,"""Надеюсь, что смогу облегчить жизнь<br>каждому в меру своих возможностей."""
