msc_011060_0010#0,"""...Немного подожди."""
msc_011060_0020#0,"""Я всё."""
msc_011060_0030#0,"""...Я-я тоже..."""
msc_011060_0040#0,"""Хорошо, отлично.<br>Можете расслабиться."""
msc_011060_0050#0,"""Ты проходил(а) то же обучение?"""
msc_011060_0060#0,"""У всей троицы нет проблем с физическими<br>способностями и навыками для противостояния<br>врагам."""
msc_011060_0070#0,"""Аина показала себя не хуже, чем<br>двое “Прибывших со Звёзд”."""
msc_011060_0080#0,"""Что ? Правда?　<br>... Хе-хе-хе."""
msc_011060_0090#0,"""Похоже, вы станете хорошей командой."""
msc_011060_0100#0,"""По такому случаю, вы сразу сможете играть<br>активную роль на передовой. Я так доложу Крофорду."""
msc_011060_0110#0,"""Давайте вместе сражаться против DOLLS."""
msc_011060_0120#0,"""И напоследок. По всей Хальфе разбросаны<br>подобные места."""
msc_011060_0130#0,"""И каждый устроен по-своему, так что вы сможете<br>лучше овладеть своими навыками."""
msc_011060_0140#0,"""Пользуйтесь ими с умом. Вам понадобятся все<br>знания, которые вы только сможете получить."""
