Title#0,"""母なる願い"""
Explanation#0,"""マザー・クラスタの本拠、月の中枢へと向かう<br><%me>達。<br>マザーを倒し、アルを助けるために<br>それぞれの想いと願いが、ぶつかり合う。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""Satelite: Luna"""
Area0S#0,"""Satelite: Luna"""
Area0L#0,"""Satelite: Luna - Underground Central Facility"""
Area1S#0,"""Satelite: Luna"""
Area1L#0,"""Satelite: Luna - Underground Central Facility"""
Area2S#0,"""Satelite: Luna"""
Area2L#0,"""Satelite: Luna - Underground Central Facility"""
Area3S#0,"""Satelite: Luna"""
Area3L#0,"""Satelite: Luna - Underground Central Facility"""
Area4S#0,"""Satelite: Luna"""
Area4L#0,"""Satelite: Luna - Underground Central Facility"""
