Q0#0,"""Что сегодня собираешься делать?"""
HELLO#0,"""то сегодня собираешься делать?"""
HELLO_FAV4#0,"""Ты пришёл(ла)"""
HELLO_FAV3#0,"""Я ждал тебя"""
HELLO_FAV2#0,"""то сегодня собираешься делать?"""
HELLO_FAV1#0,"""А... Привет"""
HELLO_FAV0#0,"""Ч-что делаешь?"""
GOODBYE#0,"""Хорошо поработали"""
GOODBYE_FAV4#0,"""Давай потом снова соберёмся."""
GOODBYE_FAV3#0,"""Спасибо за компанию."""
GOODBYE_FAV2#0,"""Хорошо поработали"""
GOODBYE_FAV1#0,"""До свидания"""
GOODBYE_FAV0#0,"""Тогда, я уже пойду."""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
