ssc_505010_0010#0,"""어?<br><%me> 씨?"""
ssc_505010_0020#0,"""지령실 밖에서 뵈는 건 간만이네요."""
ssc_505010_0030#0,"""뭐하고 있었어?"""
ssc_505010_0040#0,"""임무 중이야?"""
ssc_505010_0050#0,"""잠깐 산책 나왔어요.<br>담당한 미션이 방금 끝나서요."""
ssc_505010_0060#0,"""아뇨, 그 반대에요<br>오퍼레이터 일을 끝내고 쉬는 중이죠."""
ssc_505010_0070#0,"""크로포드 씨한테도, 너무 앉아만 있지 말고<br>제대로 쉬라는 말을 들었거든요."""
ssc_505010_0080#0,"""……사실 그래놓고,<br>제일 안 쉬는 사람은 크로포드 씨지만요."""
ssc_505010_0090#0,"""전투지휘 말고도,<br>센트럴 시티 관리까지 맡고 있고……."""
ssc_505010_0100#0,"""아크스 개개인의 상담까지 받아주는 것도 자주 봐요."""
ssc_505010_0110#0,"""잠은 대체 언제 자는 건가 싶은데,<br>그런데도 피곤한 기색은 보여주지 않아요."""
ssc_505010_0120#0,"""굉장한 사람이네."""
ssc_505010_0130#0,"""멋있는 사람이네."""
ssc_505010_0140#0,"""그렇죠?<br>듬직한 리더세요."""
ssc_505010_0150#0,"""언뜻 보면, 못 미더운 오빠같이 보이지만요.<br>……후후후."""
ssc_505010_0160#0,"""일부 아크스들한테는<br>인기 있는 것 같아요."""
ssc_505010_0170#0,"""본인은 곤란해 하는 것 같지만요.<br>……후후후."""
ssc_505010_0180#0,"""……실은 저,<br>막 오퍼레이터가 됐을 적엔 늘 불안했어요."""
ssc_505010_0190#0,"""사람들이 목숨을 맡기는 셈이니,<br>절대로 실패하면 안 된다고 생각해서……."""
ssc_505010_0200#0,"""하지만 그럴 때 크로포드 씨는<br>저한테 웃으면서."""
ssc_505010_0210#0,"""「만약 실패할 것 같으면<br>내가 전력으로 서포트해줄게」라고 말해주셨어요."""
ssc_505010_0220#0,"""「게다가 다른 오퍼레이터들도 함께 있어.<br>그러니까 두려워 말고 해 봐」라고."""
ssc_505010_0230#0,"""그 때부턴 조금이나마 마음이 놓여서,<br>고참 분들하고도 적극적으로 얘기하게 됐어요."""
ssc_505010_0240#0,"""……듣고 싶은 말을<br>듣고 싶을 때 해주는 사람은, 정말 멋지다고 생각해요."""
ssc_505010_0250#0,"""……앗, 죄송해요.<br>너무 빠져버렸네요."""
ssc_505010_0260#0,"""이제 돌아가야 되겠어요……."""
ssc_505010_0270#0,"""……아, 방금 한 이야기,<br>크로포드 씨한텐 비밀이에요."""
ssc_505010_0280#0,"""<%me> 씨도<br>임무, 힘내세요."""
ssc_505010_0290#0,"""하고, 나중에 지령실에 들르면<br>크로포드 씨한테「너무 일만 한다」고 한 마디 해주세요."""
ssc_505010_0300#0,"""그럼."""
