No00000#0,"""None"""
No00001#0,"""ウィオラキャップ"""
No00002#0,"""Firm Earmuffs"""
No00003#0,"""Haze Hat"""
No00004#0,"""Nurse Cap"""
No00008#0,"""ヘッドセット"""
No00009#0,"""ラウンドメガネ"""
No00010#0,"""オーバルフチありメガネ"""
No00011#0,"""スクエアメガネ"""
No00012#0,"""ウェリントンメガネ"""
No00013#0,"""ラウンドサングラス"""
No00016#0,"""クルーンハット"""
No00017#0,"""楕円メガネ"""
No00018#0,"""Nurse Cap B"""
No00019#0,"""ラージラウンドメガネ"""
No00020#0,"""略帽"""
No00021#0,"""ラウンドサングラス  頭の上"""
No00022#0,"""アイディスプレイ"""
No00025#0,"""ゴーグル"""
No00026#0,"""Fashion Glasses"""
No00027#0,"""Candy Headgear"""
No00028#0,"""ベレー帽"""
No00029#0,"""赤縁メガネ"""
No00030#0,"""ヘッドギア"""
No00031#0,"""トーク帽"""
No00032#0,"""背高帽"""
No00033#0,"""スポーツサングラス"""
No00034#0,"""Prim Headphones"""
No00035#0,"""ヘッドアクセサリー"""
No00036#0,"""Blitz Guarder"""
No00038#0,"""Armband"""
No00040#0,"""ネコ耳"""
No00041#0,"""Orga Cats Ears"""
No00044#0,"""Fox Ears"""
No00045#0,"""Droopy Fox Ears"""
No00060#0,"""アイハット"""
No00061#0,"""Eye Hat Shadow"""
No00062#0,"""Eye Hat Steel"""
No00063#0,"""Eye Hat Moon"""
No00064#0,"""Eye Hat Silver"""
No00065#0,"""Musashi Hat"""
No00070#0,"""サイバーグラス"""
No00072#0,"""Cyber Glasses B"""
No00082#0,"""Mikoto Corsage"""
No00083#0,"""Mikoto Corsage B"""
No00084#0,"""Mikoto Ornament"""
No00090#0,"""[Persona]'s Regret"""
No00091#0,"""[Persona]'s Despair"""
No00092#0,"""[Persona]'s Resolve"""
No00100#0,"""Headgear Shadow"""
No00101#0,"""Headgear Moon"""
No00102#0,"""Headgear Crimson"""
No00103#0,"""Headgear Leaf"""
No00110#0,"""Wedding Corsage"""
No00111#0,"""Black Rose"""
No00112#0,"""Wedding Corsage B"""
No00120#0,"""Maid Headband"""
No00130#0,"""Beret Cap Moon"""
No00131#0,"""Beret Cap Night"""
No00132#0,"""Beret Cap Leaf"""
No00133#0,"""Beret Cap Sun"""
No00170#0,"""Firm Earmuffs Shadow"""
No00171#0,"""Firm Earmuffs Sun"""
No00172#0,"""Firm Earmuffs Chestnut"""
No00210#0,"""Furieux Head"""
No00211#0,"""Furieux Head Chestnut"""
No00212#0,"""Furieux Head Shadow"""
No00213#0,"""Furieux Head Crimson"""
No00220#0,"""Tall Hat Cherry"""
No00221#0,"""Tall Hat Leaf"""
No00222#0,"""Tall Hat Ocean"""
No00223#0,"""Tall Hat Sun"""
No00230#0,"""Halloween Head"""
No00231#0,"""Jack Head"""
No00240#0,"""Halloween Hat"""
No00241#0,"""Jack Hat"""
No00250#0,"""Hibiscus"""
No00251#0,"""Cool Hibiscus"""
No00260#0,"""Alph Mask"""
No00261#0,"""Alph Mask Elegant"""
No00262#0,"""Alph Mask Space"""
No00263#0,"""Alph Mask Sakura"""
No00264#0,"""Alph Mask Sun"""
No00270#0,"""Fluffy Hair Small"""
No00271#0,"""Fluffy Hair Medium"""
No00272#0,"""Fluffy Hair Large"""
No00280#0,"""Croon Hat Shadow"""
No00281#0,"""Croon Hat Silver"""
No00282#0,"""Croon Hat Elegant"""
No00283#0,"""Croon Hat Moon"""
No00290#0,"""Viola Cap Night"""
No00291#0,"""Viola Cap Crimson"""
No00292#0,"""Viola Cap Steel"""
No00293#0,"""Viola Cap Shadow"""
No00294#0,"""Viola Cap Mysterious"""
No00300#0,"""Santa Hat"""
No00301#0,"""Santa Hat with Beard"""
No00302#0,"""Dark Santa Hat"""
No00303#0,"""Dark Santa Hat with Beard"""
No00310#0,"""ARKS Officer Cap A"""
No00311#0,"""ARKS Officer Cap C"""
No00312#0,"""ARKS Officer Cap E"""
No00320#0,"""ARKS Officer Cap B"""
No00321#0,"""ARKS Officer Cap D"""
No00322#0,"""ARKS Officer Cap F"""
No00330#0,"""Blink Visor"""
No00331#0,"""Red Blink Visor"""
No00332#0,"""Black Blink Visor"""
No00342#0,"""[Apprentice] Visor"""
No00343#0,"""[Apprentice] Visor B"""
No00350#0,"""Candy Headgear Snow"""
No00351#0,"""Candy Headgear Cherry"""
No00352#0,"""Candy Headgear Shadow"""
No00353#0,"""Candy Headgear Mysterious"""
No00360#0,"""Haze Hat Crimson"""
No00361#0,"""Haze Hat Night"""
No00362#0,"""Haze Hat Shadow"""
No00363#0,"""Haze Hat Steel"""
No00370#0,"""Blitz Guarder Sky"""
No00371#0,"""Blitz Guarder Sun"""
No00372#0,"""Blitz Guarder Crimson"""
No00380#0,"""Prim Headphones Silver"""
No00381#0,"""Prim Headphones Steel"""
No00382#0,"""Prim Headphone Shadow"""
No00390#0,"""Nono Schwantz Sensor"""
No00391#0,"""Nono Schwantz Sensor CV"""
No00400#0,"""Zelsius Headgear"""
No00401#0,"""Zelsius Headgear Snow"""
No00402#0,"""Zelsius Headgear Crimson"""
No00403#0,"""Zelsius Headgear Sea"""
No00404#0,"""Zelsius Headgear 711"""
No00410#0,"""Miraseria Headgear"""
No00411#0,"""Misaseria Headgear 711"""
No00412#0,"""Miraseria Headgear B"""
