DetailsFormTitle#0,"""Mission Pass Details"""
GoToArksMission#0,"""<%Function>: ARKS Missions"""
GoToArksMission_Key#0,"""<%MultiSelect>: ARKS Missions"""
GoToReward#0,"""<%Function>: Reward Details"""
GoToReward_Key#0,"""[Ctrl]＋[Tab]: Reward Details"""
EndDateAndTime#0,"""Expires: <utcymdt>$(0)</utcymdt>"""
Receipt_periodAndTime#0,"""Expires: <utcymdt>$(0)</utcymdt>"""
StarGaugeNum#0,"""$(0) / $(1)"""
TierButtonLabel#0,"""Buy Tier"""
TierTitle#0,"""Tier"""
AndMoreLabel#0,"""and more"""
TierPurchaseFormTitle#0,"""Tier Purchase Confirmation"""
ConfirmText#0,"""Please select the number of tiers to purchase.<br>Price per tier: $(0) <pict StarGem>"""
NeedAcText#0,"""SG needed"""
HaveAcText#0,"""SG owned"""
DecidedText#0,"""Confirm"""
CancelText#0,"""Cancel"""
YesText#0,"""Yes"""
NoText#0,"""No"""
RewardAcceptanceFormTitle#0,"""Receiving Rewards"""
RewardAcceptanceFormMessage#0,"""Please select one reward to receive.<br><br><yellow>※Make sure that you can use the items before you select them.<c>"""
RewardConfirmationFormTitle#0,"""Reward Details"""
RewardReceiptFormAcceptanceTitle#0,"""Confirm Receipt"""
RewardReceiptFormAcceptanceMessage#0,"""You will receive the item(s) below.<br>Are these the items you want?<br><yellow>※Please note that you will not be able to<br>exchange these rewards for other items,<br>if you later find that you cannot use them.<br>※You can only receive these rewards<br>once per account. Please be careful about<br>which Ship you receive them on.<c>"""
RewardReceiptFormPurchaseTitle#0,"""Purchase Confirmation"""
RewardReceiptFormPurchaseMessage#0,"""Purchasing the below items for $(2)$(0).<br>Are you sure?<br><br>(SG owned: $(1))"""
RewardReceiptFormTierPurchaseMessage#0,"""Purchasing the below items for $(2)$(0).<br>Are you sure?<br><br>(SG owned: $(1))<br>Tier before purchase: $(3)<br>Tier after purchase: $(4)"""
RewardUpTicketFormTitle#0,"""Item Purchase Confirmation"""
RewardUpTicketFormMessage#0,"""<pict StarGem><c 1dedd7>SG payment required<c><br>Either you lack permission to use the selected function, or your access has expired.<br><br>You can purchase a <yellow>Mission Pass Gold Ticket<c> to enable this function immediately.<br>Proceed to purchase?<br><br><red>※Tickets to unlock individual features can be purchased from the SG Shop on the main menu.<c>"""
RewardGetEffectTitle#0,"""Reward Received"""
ExtraModeStratLineMessage#0,"""Maximum Tier reached. Unlocking Overrun Mode."""
TierUpToastMessage#0,"""Mission Pass Tier increased."""
ShopTitle#0,"""Mission Badge Recycle Shop"""
PurchaseTierItemName#0,"""Tier x $(0)"""
PurchaseGoldPassItemName#0,"""Mission Pass Gold Ticket x $(0)"""
RewardItemName#0,"""$(0) x $(1)"""
