Q_Event001#0,"""【PSO2】국소 지역 작전 예고"""
Q_Event001_01_MES#0,"""【PSO2】삼림 작전 예고"""
Q_Event001_02_MES#0,"""【PSO2】동토 작전 예고"""
Q_Event001_03_MES#0,"""【PSO2】유적 작전 예고"""
Q_Event001_04_MES#0,"""【PSO2】화산 동굴 작전 예고"""
Q_Event001_05_MES#0,"""【PSO2】부유 대륙 작전 예고"""
Q_Event001_06_MES#0,"""【PSO2】사막 작전 예고"""
Q_Event001_07_MES#0,"""【PSO2】지하 갱도 작전 예고"""
Q_Event001_08_MES#0,"""【PSO2】채굴장 옛터 작전 예고"""
Q_Event001_09_MES#0,"""【PSO2】旧マザーシップ 작전 예고"""
Q_Event001_51_MES#0,"""【PSO2】惑星ナベリウス 작전 예고"""
Q_Event001_52_MES#0,"""【PSO2】惑星アムドゥスキア 작전 예고"""
Q_Event001_53_MES#0,"""【PSO2】惑星リリーパ 작전 예고"""
Q_Event001_54_MES#0,"""【PSO2】惑星ウォパル 작전 예고"""
Q_Event001_90_MES#0,"""【PSO2】複数地域 작전 예고"""
Q_Event001_91_MES#0,"""【PSO2】複数惑星 작전 예고"""
Q_Event002_MES#0,"""-"""
Q_Event003_MES#0,"""-"""
R_Event004_MES#0,"""-"""
R_Event005_MES#0,"""-"""
Q_Event006_MES#0,"""【PSO2】アークス船団ダーカー 접근 예고"""
Q_Event007_MES#0,"""-"""
W_Event008_MES#0,"""-"""
W_Event009_MES#0,"""-"""
RD_Event001_MES#0,"""【PSO2】ＤＦ【거구】 접근 예고"""
RD_Event002_MES#0,"""-"""
RD_Event003_MES#0,"""-"""
RD_Event004_MES#0,"""-"""
A_Event001_MES#0,"""【PSO2】異常値観測宙域 一斉調査 예고"""
A_Event002_MES#0,"""-"""
D_Event001_MES#0,"""【PSO2】採掘基地 ダーカー 접근 예고"""
D_Event002_MES#0,"""-"""
D_Event003_MES#0,"""【PSO2】第一採掘基地ダーカー 접근 예고"""
D_Event004_MES#0,"""-"""
D_Event005_MES#0,"""【PSO2】第二採掘基地ダーカー 접근 예고"""
D_Event006_MES#0,"""-"""
D_Event007_MES#0,"""【PSO2】第三採掘基地ダーカー 접근 예고"""
LS_Event001_MES#0,"""【PSO2】ショップエリア 라이드 예고"""
LS_Event002_MES#0,"""-"""
LS_Event003_MES#0,"""-"""
RD_Event005_MES#0,"""-"""
RD_Event006_MES#0,"""-"""
RD_Event007_MES#0,"""-"""
RD_Event008_MES#0,"""-"""
RD_Event009_MES#0,"""-"""
RD_Event010_MES#0,"""-"""
RD_Event011_MES#0,"""-"""
RD_Event012_MES#0,"""-"""
RD_Event013_MES#0,"""-"""
RD_Event014_MES#0,"""-"""
RD_Event015_MES#0,"""-"""
RD_Event016_MES#0,"""-"""
RD_Event017_MES#0,"""【PSO2】ＤＦ【敗者】 접근 예고"""
RD_Event018_MES#0,"""-"""
RD_Event019_MES#0,"""-"""
RD_Event020_MES#0,"""-"""
RD_Event021_MES#0,"""-"""
RD_Event022_MES#0,"""-"""
RD_Event023_MES#0,"""-"""
Q_Event001_10_MES#0,"""【PSO2】白ノ領域 작전 예고"""
Q_Event001_11_MES#0,"""【PSO2】黒ノ領域 작전 예고"""
Q_Event001_55_MES#0,"""【PSO2】惑星ハルコタン 작전 예고"""
Q_Event010_MES#0,"""【PSO2】ＤＦ【거구】【敗者】 접근 예고"""
Q_TwiceEvent001_01_MES#0,"""【PSO2】삼림 複数작전 예고"""
Q_TwiceEvent001_02_MES#0,"""【PSO2】동토 複数작전 예고"""
Q_TwiceEvent001_03_MES#0,"""【PSO2】유적 複数작전 예고"""
Q_TwiceEvent001_04_MES#0,"""【PSO2】화산 동굴 複数작전 예고"""
Q_TwiceEvent001_05_MES#0,"""【PSO2】부유 대륙 複数작전 예고"""
Q_TwiceEvent001_06_MES#0,"""【PSO2】사막 複数작전 예고"""
Q_TwiceEvent001_07_MES#0,"""【PSO2】지하 갱도 複数작전 예고"""
Q_TwiceEvent001_08_MES#0,"""【PSO2】채굴장 옛터 複数작전 예고"""
Q_TwiceEvent001_09_MES#0,"""【PSO2】旧マザーシップ 複数작전 예고"""
Q_TwiceEvent001_10_MES#0,"""【PSO2】白ノ領域 複数작전 예고"""
Q_TwiceEvent001_51_MES#0,"""【PSO2】惑星ナベリウス 複数작전 예고"""
Q_TwiceEvent001_52_MES#0,"""【PSO2】惑星アムドゥスキア 複数작전 예고"""
Q_TwiceEvent001_53_MES#0,"""【PSO2】惑星リリーパ 複数작전 예고"""
Q_TwiceEvent001_54_MES#0,"""【PSO2】惑星ウォパル 複数작전 예고"""
Q_TwiceEvent001_55_MES#0,"""【PSO2】惑星ハルコタン 複数작전 예고"""
Q_TwiceEvent001_90_MES#0,"""【PSO2】複数地域 複数작전 예고"""
Q_TwiceEvent001_91_MES#0,"""【PSO2】複数惑星 複数작전 예고"""
D_TwiceEvent001_MES#0,"""【PSO2】複数採掘基地 ダーカー 접근 예고"""
D_Event009_MES#0,"""【PSO2】ネッキーからの挑戦状 예고"""
D_Event012_MES#0,"""【PSO2】VR特殊訓練 예고"""
D_Event014_MES#0,"""【PSO2】電撃！ポリタンランド！ 예고"""
D_Event017_MES#0,"""【PSO2】VR特殊訓練 예고"""
M_Event001_MES#0,"""【PSO2】ショップエリア 라이드 예고"""
M_Event002_MES#0,"""-"""
RD_Event024_MES#0,"""【PSO2】『禍津』出現 예고"""
RD_Event025_MES#0,"""-"""
RD_Event026_MES#0,"""-"""
RD_Event027_MES#0,"""-"""
RD_Event028_MES#0,"""-"""
RD_Event029_MES#0,"""【PSO2】【深遠なる闇】 접근 예고"""
RD_Event030_MES#0,"""-"""
RD_Event031_MES#0,"""-"""
RD_Event040_MES#0,"""【PSO2】ＤＦ【若人】 접근 예고"""
RD_Event041_MES#0,"""-"""
RD_Event042_MES#0,"""-"""
RD_Event043_MES#0,"""【PSO2】幻創戦艦・大和出現 예고"""
RD_Event044_MES#0,"""-"""
LS_Event004_MES#0,"""【PSO2】ショップエリア 라이드 예고"""
LS_Event005_MES#0,"""-"""
RD_Event045_MES#0,"""【PSO2】マザー出現 예고"""
RD_Event046_MES#0,"""-"""
RD_Event047_MES#0,"""-"""
RD_Event048_MES#0,"""【PSO2】デウス・エスカ出現 예고"""
RD_Event049_MES#0,"""-"""
RD_Event050_MES#0,"""-"""
RD_Event051_MES#0,"""-"""
RD_Event052_MES#0,"""-"""
RD_Event053_MES#0,"""-"""
Q_Event001_56_MES#0,"""【PSO2】ヴェルン荒野 작전 예고"""
Q_Event001_57_MES#0,"""-"""
Q_Event001_58_MES#0,"""-"""
RD_Event054_MES#0,"""【PSO2】邪竜出現 예고"""
RD_Event055_MES#0,"""-"""
RD_Event056_MES#0,"""-"""
RD_Event057_MES#0,"""-"""
Q_Event001_59_MES#0,"""【PSO2】地球 작전 예고"""
RD_Event058_MES#0,"""【PSO2】オメガ【敗者】出現 예고"""
RD_Event059_MES#0,"""-"""
RD_Event060_MES#0,"""-"""
RD_Event061_MES#0,"""-"""
RD_Event062_MES#0,"""【PSO2】オメガ【若人】出現 예고"""
RD_Event063_MES#0,"""-"""
RD_Event064_MES#0,"""-"""
RD_Event065_MES#0,"""【PSO2】マザー＆デウス・エスカ出現 예고"""
RD_Event066_MES#0,"""【PSO2】ダークファルス【仮面】出現 예고"""
RD_Event067_MES#0,"""-"""
RD_Event068_MES#0,"""-"""
RD_Event069_MES#0,"""【PSO2】終の艦隊出現 예고"""
RD_Event070_MES#0,"""-"""
RD_Event071_MES#0,"""-"""
RD_Event072_MES#0,"""-"""
RD_Event073_MES#0,"""-"""
RD_Event074_MES#0,"""-"""
Q_Event001_70_MES#0,"""【PSO2】イス＝アルス峡谷 작전 예고"""
Q_Event001_71_MES#0,"""***"""
Q_Event001_72_MES#0,"""-"""
Q_Event001_73_MES#0,"""-"""
RD_Event001_74_MES#0,"""【PSO2】【原初の闇】出現 예고"""
RD_Event001_75_MES#0,"""-"""
RD_Event001_76_MES#0,"""-"""
RD_Event001_77_MES#0,"""【PSO2】怨憎の【原初の闇】出現 예고"""
RD_Event001_78_MES#0,"""-"""
RD_Event001_79_MES#0,"""-"""
R_Event001_MES#0,"""【PSO2】インタラプトランキング 예고"""
R_Event002_MES#0,"""-"""
R_Event003_MES#0,"""-"""
R_Event004_MES#1,"""-"""
R_Event005_MES#1,"""-"""
R_Event006_MES#0,"""-"""
T_Event001_MES#0,"""-"""
T_Event002_MES#0,"""-"""
