CampshipEnter#0,"""Entrando al Campship"""
NotAccessQuest#0,"""No es posible entrar al Campship<br>no se ha iniciado una mision."""
WarehouseTitle#0,"""Terminal de Almacen"""
PartnerObject_ErrorTitle#0,"""Terminal de Partner"""
PartnerObject_Error1#0,"""No es posible usar la Terminal de Partner en este momento."""
PartnerObject_Error2#0,"""No es posible invitar Partners en esta mision."""
PartnerObject_Error3#0,"""Por los ajustes de esta partida no es posible invitar partners."""
GuildWarehouseTitle#0,"""Terminal de Almacen de Team"""
TerminalTitle#0,"""Terminal de Informacion"""
ShopTitle#0,"""Terminal de Tienda"""
MedicalTitle#0,"""Terminal Medico"""
QuestTitle#0,"""Terminal de Misiones"""
ApcTitle#0,"""Terminal de APC"""
AccessFaild#0,"""No puedes acceder de nuevo, una vez hayas decidido."""
NonReader#0,"""Este dispositivo solo esta disponible para los líderes de grupo."""
NotClear#0,"""No es posible acceder a este dispositivo hasta que se complete o se pierda una mision."""
NotClearTelepipe#0,"""No es posible acceder a este dispositivo hasta que se complete o se pierda una mision."""
TerminalDisable#0,"""No puede ser usado por ahora."""
TerminalDisableAPC#0,"""No puede ser usado por ahora."""
TerminalDisableGuildRoom#0,"""No puedes acceder a él sin haber comprado <br>un Almacén de la Alianza.<br><br>El acceso se concederá una vez que hayas comprado <br>un Almacén de la Alianza con Puntos de Alianza.<br><br>Nota: Para utilizar el Almacén de la Alianza, debes <br>utilizar también un Conjunto Premium."""
TerminalDisableGuildMember#0,"""No puedes acceder a este terminal como Provisional. <br>Debes tener un rango de Miembro o superior para acceder a <br>esta terminal.<br><br>Nota: Para usar el Almacén de la Alianza, <br>también debes usar un Conjunto Premium."""
TerminalDisableGuildMember2#0,"""<pict Arcscash><c ff4f3f>Este contenido requiere AC<c><br>No tienes permiso para usar la <br>función seleccionada, o tu acceso ha expirado.<br><br>Puedes comprar un <b>Conjunto Premium</b> para habilitar esta función inmediatamente. Proceda a la pantalla de compra...<br><br>Nota: Los tickets de función individuales pueden adquirirse <br>en la Tienda AC del menú principal.<br>"""
TerminalDisableCancelTower#0,"""No se puede cancelar hasta que todos los miembros del grupo hayan<br>regresado al Campship."""
RetryFaild#0,"""El periodo para aceptar esta misión ha expirado. <br>No puedes reintentar esta misión."""
ClearLimit#0,"""Has superado el número máximo de veces<br>que se puede completar esta misión."""
QuestDropPenalty#0,"""No puedes aceptar esta misión porque<br>actualmente tienes una penalización de acceso a la misión."""
QuestInExtra#0,"""No puedes reintentar esta misión durante el periodo de la campaña<br>Por favor, acepta esta misión de nuevo."""
QuestOutExtra#0,"""No puedes reintentar esta misión porque el periodo<br>de la campaña ha terminado.<br>Por favor, acepta esta misión de nuevo."""
CantStartProhibitQuestDropTitleCnt#0,"""Terminal de misiones"""
CantStartProhibitQuestDropTitleTlp#0,"""Transportador"""
CantStartProhibitQuestDropForStart#0,"""No puede ser usado por ahora."""
