PB#0,"""포톤 블래스트"""
AA#0,"""오토 액션"""
TA#0,"""트리거 액션"""
Level#0,"""Lv."""
LevelFormat#0,"""$(0) 레벨"""
Confirm#0,"""확인"""
NotifyAcquirePB#0,"""$(0) 마그가 포톤 블래스트를 습득했습니다."""
Title#0,"""마그 목록"""
Command1#0,"""아이템 주기"""
Command2#0,"""디바이스 사용"""
Command3#0,"""장비"""
Command4#0,"""장비 해제"""
Command5#0,"""트리거 액션 우선도"""
Command6#0,"""액션 확인"""
Command7#0,"""마그 형태 변경 패스 사용"""
Title#1,"""마그 정보"""
Energy#0,"""에너지"""
EnergyParcent#0,"""$(0)％"""
SupportLevel#0,"""지원 레벨"""
Support1#0,"""타격 지원"""
Support2#0,"""사격 지원"""
Support3#0,"""법격 지원"""
Support4#0,"""기량 지원"""
Support5#0,"""타격 방어 지원"""
Support6#0,"""사격 방어 지원"""
Support7#0,"""법격 방어 지원"""
mag_color_change#0,"""마그 컬러 변경 불가"""
Detail_Vita#0,"""마그 상세"""
TA_No0#0,"""0"""
TA_No1#0,"""1"""
TA_No2#0,"""2"""
TA_No3#0,"""3"""
TA_No4#0,"""4"""
TA_No5#0,"""5"""
TA_No6#0,"""6"""
TA_No7#0,"""7"""
TA_No8#0,"""8"""
TA_No9#0,"""9"""
Title#2,"""마그에게 줄 아이템"""
Indicate#0,"""<c f0df60>마그에게 줄 아이템을 골라주세요.<c>"""
Msg1#0,"""$(0) 아이템을 줍니다.<br>괜찮습니까?<br><br><yellow>※주는 아이템의 종류에 따라<br> 마그의 각종 「지원 레벨」이 증감하고<br>장비 시의 강함이 바뀝니다.<c>"""
Msg2#0,"""이 아이템은 레어리티 7 이상입니다.<br>정말로 마그에게 줘도 괜찮습니까?"""
FeedMsg#0,"""$(0) 아이템을 줬습니다."""
Error1#0,"""더 이상 아이템을 주는 게 불가능합니다.<br>일정시간 경과 후 다시 시도해 보세요."""
MessageTitle#0,"""아이템 주기"""
ErrorTitle#0,"""아이템 주기"""
Title#3,"""마그에 사용할 디바이스"""
Indicate#1,"""<c f0df60>마그에 사용할 디바이스를 골라주세요.<c>"""
IndicateCC#0,"""<c f0df60>변경하고 싶은 마그의 색을 골라주세요.リアルタイムに反映されます。<c>"""
Msg1#1,"""$(0) 아이템을 사용합니다.<br>괜찮습니까?"""
MsgCC#0,"""$(0) 아이템을 사용하여,<br>마그의 색상을 변경합니다.괜찮습니까?"""
OverwriteMsgPB#0,"""아래의 포톤 블래스트를 덮어씁니다.<br>괜찮습니까?"""
OverwriteMsgAA#0,"""아래의 오토 액션을 덮어씁니다.<br>괜찮습니까?"""
OverwriteMsgTA#0,"""아래의 트리거 액션을 덮어씁니다.<br>괜찮습니까?"""
OverwriteMsgCraftTA#0,"""생산계 디바이스는 하나밖에 설정할 수 없습니다.<br>아래의 트리거 액션을 덮어씁니다.<br>괜찮습니까?"""
OverwriteMsgTAList#0,"""덮어 쓸 트리거 액션을 골라주세요."""
OverwriteListTitle#0,"""트리거 액션 덮어쓰기"""
ChangeLooksMsg#0,"""마그에게 진화 디바이스를 주어<br>아래의 형태로 진화시킵니다.<br><br>또한 사용한 적이 없는 진화 디바이스의 경우,<br>「마그 형태 변경 패스 사용」으로 선택 가능합니다.<br>괜찮습니까?"""
ChangeLooksMsg1#0,"""마그에게 진화 디바이스를 주어<br>아래의 형태로 진화시킵니다.<br>괜찮습니까?<br><br><yellow>※사용한 적이 있는 진화 디바이스입니다.<br> 「마그 형태 변경 패스 사용」를 사용하여 형태 변경<br>이 가능합니다.<c>"""
UseDeviceMsg#0,"""$(0) 아이템을 사용했습니다."""
ResetDeviceMsg#0,"""마그를 초기화 상태로 되돌립니다.<br>정말로 사용하시겠습니까?"""
Error#0,"""$(0) 아이템을 사용할 수 없었습니다."""
ErrorHT#0,"""마그가 Lv.100이 될 때까지 사용할 수 없습니다."""
ErrorCraftDevice#0,"""생산계 디바이스는 하나밖에 설정할 수 없습니다."""
ErrorLevelCap#0,"""레벨 성장 한계에 도달했기 때문에<br>사용할 수 없습니다."""
ErrorAddTA#0,"""이 디바이스는, 더 이상 사용할 수 없습니다."""
ErrorNoColorChange#0,"""이 디바이스는, 대상 마그가 색상 변경 불가이므로<br>사용할 수 없습니다."""
ErrorNonEquip#0,"""이 디바이스는, 대상 마그를 장비하지 않은 경우<br>사용할 수 없습니다."""
ErrorMeaningless#0,"""이 디바이스에 의한 효과는 이미 적용되어 있어<br>사용할 수 없습니다."""
ColorTitle#0,"""마그 컬러 선택"""
ConfirmTitle#0,"""디바이스 사용확인"""
MessageTitle#1,"""디바이스 사용"""
ErrorTitle#1,"""디바이스 사용"""
OverwriteMsgSAA#0,"""아래의 SP오토 액션을 덮어씁니다.<br>괜찮습니까?"""
ErrorSAA#0,"""마그가 Lv.200이 될 때 까지사용할 수 없습니다."""
ErrorLevelLow#0,"""이 디바이스는, 대상 마그가 $(0) 레벨이 될 때 까지<br>사용할 수 없습니다."""
LearningMsgSAA#0,"""$(0) 마그의<br>$(1) 습득을<br>완료했습니다."""
Title#4,"""트리거 액션 우선도 변경"""
Indicate#2,"""우선도를 변경하고 싶은 트리거 액션을 선택해서 변경 위치를 지정하세요."""
Msg1#2,"""우선도 변경을 반영합니다.<br>괜찮습니까?"""
Msg2#1,"""트리거 액션 우선도를 변경했습니다."""
Error1#1,"""트리거 액션 우선도를 변경하지 못했습니다."""
