wh_mainhelp#0,"""Ayuda en el juego"""
wh_inventory#0,"""Inventario / Objetos"""
wh_pallet_customize#0,"""Inventario / Personalizar"""
wh_mag#0,"""Inventario / MAGS"""
wh_equip#0,"""Equipamiento / Equipando armas"""
wh_equip_protector#0,"""Equipamiento / Equipando armadura"""
wh_equip_subpallet#0,"""Equipamiento / Editando subpalettes"""
wh_friendlist#0,"""Comunidad / Lista de amigos"""
wh_team01#0,"""Comunidad / Comandos de Team"""
wh_party#0,"""Comunidad / Comandos de grupo"""
wh_mail#0,"""Comunidad / Correo"""
wh_playerlist#0,"""Comunidad / Personajes Cercanos"""
wh_charainfo#0,"""Mis datos / Info del Personaje"""
wh_license#0,"""Mis datos / Lista de Titulos"""
wh_communicationlist#0,"""Mis datos / Reg. de Comunicacion"""
wh_profile_info#0,"""Mis datos / Tarjeta ARKS"""
wh_clientorder#0,"""Misiones / Ordenes de cliente"""
wh_bingo#0,"""Misiones / ARKS Bingo Cards"""
wh_arcsload#0,"""Misiones / ARKS Road"""
wh_questinfo#0,"""Misiones / Quest Info"""
wh_qu_defense_friend#0,"""Misión / Resultados de defensa"""
wh_storyquest#0,"""Misión / Misiones de Historia"""
wh_symbolart#0,"""Sistema / Symbol Arts"""
wh_macro#0,"""Sistema / Configuración de chat"""
wh_config#0,"""Sistema / Opciónes"""
wh_logwindow#0,"""Sistema / Ventana de conexión"""
wh_loginstamp#0,"""Sistema / Sellos de conexión"""
wh_es#0,"""Sistema / Enlace con es"""
wh_acshop#0,"""Menú AC / Tienda AC"""
wh_gacha#0,"""Menú AC / SCRATCH TICKETS"""
wh_history#0,"""Menú AC / Historial de compras"""
wh_expirationdate#0,"""Menú AC / Alquiler Expiración"""
wh_logout#0,"""Desconectarse"""
wh_selectmenu#0,"""Menu rápido"""
wh_visifon#0,"""VISIPHONE """
wh_myshop#0,"""VISIPHONE  / TIENDA PERSONAL"""
wh_myshop_sell#0,"""VISIPHONE  / GESTIÓN DE TIENDAS PERSONALES"""
wh_partner_registration#0,"""VISIPHONE  / FRIEND AVATAR REGISTRATION"""
wh_profile#0,"""VISIPHONE  / EDIT ARKS ID"""
wh_arcssearch#0,"""VISIPHONE  / ARKS SEARCH"""
wh_library#0,"""VISIPHONE  / COMPENDIUM"""
wh_ranking#0,"""VISIPHONE  / RANKINGS"""
wh_item_code#0,"""VISIPHONE  / ITEM CODES"""
wh_goodjob#0,"""Menu de Personaje / Agradecimientos"""
wh_trade#0,"""Menu de Personaje / Intercambio de Objetos"""
wh_questcounter#0,"""Asesores / Asesor de misiones"""
wh_freefield#0,"""Asesores / Selección de exploración libr"""
wh_class_counter#0,"""Asesores / Asesor de clases"""
wh_skilltree#0,"""Asesores / Class Skill Trees"""
wh_license_counter#0,"""Asesores / Asesora de titulos"""
wh_teamcounter01#0,"""Asesores / Asesor de Team"""
wh_team_extension#0,"""Counter / Team Expansión"""
wh_medical#0,"""Asesores / Medical Center"""
wh_netcafe#0,"""Asesores / Asesora del Netcafe"""
wh_shop#0,"""Tiendas / Tienda de objetos"""
wh_rabo#0,"""Tiendas / Item Lab"""
wh_exchange#0,"""Tiendas / Exchange Shops"""
wh_recycling#0,"""Tiendas / Recycling Shop"""
wh_shop_simple#0,"""Tiendas / Limited Shop"""
wh_judgment#0,"""Tiendas / Item Tekker"""
wh_esthetic#0,"""Tiendas / Salon"""
wh_funshop#0,"""Tiendas / Tienda FUN"""
wh_dailyshop_na#0,"""SHOPS - FRESH FINDS SHOP"""
wh_container#0,"""Terminales / Almacen"""
wh_guild_container#0,"""Terminales / Almacen del Team"""
wh_partner_terminal#0,"""Terminales / Terminal partner"""
wh_myroom#0,"""TERMINAL - PERSONAL TERMINAL"""
wh_team_boost#0,"""Terminales / Photon Tree"""
wh_qu_eternal_terminal#0,"""Terminales / Terminal de Extreme"""
wh_qu_eternal_floorinfo#0,"""Terminales / Stage Info (Misiones Extremas)"""
wh_qu_defense_console#0,"""Terminales / Terminal de la base minera"""
wh_charamake#0,"""Creación de personajes"""
wh_faintingmenu#0,"""Menú de incapacitación"""
wh_areamap#0,"""Área del mapa"""
wh_keybordhelp#0,"""Ayudas del teclado"""
wh_partner_list#0,"""Lista de partners"""
wh_supportpartner_menu#0,"""AUXILIARY/MENU"""
wh_supportpartner_custom#0,"""AUXILIARY/EQUIPMENT CUSTOMIZATION"""
wh_supportpartner_search#0,"""AUXILIARY/SEARCH COMMANDS"""
wh_craft_top#0,"""Crafteo / Menu de Craft"""
wh_craft_extend#0,"""Crafteo / Extensión de equipo"""
wh_craft_tec_custom#0,"""Crafteo / Personalizar tecnica"""
wh_craft_orders_created#0,"""Crafteo / Ordenes"""
wh_craft_signboard#0,"""Crafteo / Opciónes Signboard"""
wh_craft_visifon_top#0,"""Crafteo / Información de Craft"""
wh_craft_search#0,"""Crafteo / Buscar Crafter"""
wh_craft_user_order#0,"""Crafteo / Solicitudes de otros jugadores"""
wh_craft_card_recipe#0,"""Crafteo / Actualizar habilidad temporal"""
wh_craft_card_create#0,"""Crafteo / Crear habilidad temporal"""
wh_shipbattle_goods#0,"""ARKS SHIP COMPETITIONS/REWARD SHOP"""
wh_shipbattle_mainmenu#0,"""QUESTS/ARKS SHIP COMPETITIONS"""
wh_shipbattle_reward#0,"""ARKS SHIP COMPETITIONS/FINAL RANKING REWARDS"""
wh_shipbattle_points#0,"""ARKS SHIP COMPETITIONS/TOTAL VICTORY POINTS"""
wh_shipbattle_roundinfo#0,"""ARKS SHIP COMPETITIONS/ROUND INFORMATION"""
wh_eventchronicle#0,"""Cronicas de eventos"""
wh_accountlinkage_na#0,"""LINKING ACCOUNTS"""
wh_tl_co_011014_v#0,"""Acerca del 『Telepipe』"""
wh_tl_co_011020_v#0,"""Acerca de: 『Incapacitación』"""
wh_tl_co_011021_v#0,"""Acerca de: 『Efectos de estado』"""
wh_tl_co_011024_v#0,"""Acerca de: 『Lock-On』"""
wh_tl_co_011025_v#0,"""Acerca de: 『Just Attack』"""
wh_tl_co_011064_v#0,"""Acerca de: 『Photon Art/Discos de tecnicas』"""
wh_tl_co_011169_v#0,"""Acerca de: 『Area de abordaje』"""
wh_tl_co_011170_v#0,"""Acerca de: 『Area comercial』"""
wh_tl_co_011187_v#0,"""Acerca de: 『Campship』"""
wh_tl_co_011190_v#0,"""Acerca de: 『Ordenes de clientes』"""
wh_tl_co_011196_v#0,"""Acerca de: 『Matterboards』"""
wh_tl_co_011201_v#0,"""Acerca de: 『Teams』"""
wh_tl_co_011215_v#0,"""Acerca de: 『Clear Telepipes』"""
wh_tl_co_011221_v#0,"""Acerca de: 『Excubes』"""
wh_tl_co_011224_v#0,"""Acerca de: 『Misiones avanzadas』"""
wh_tl_co_011230_v#0,"""Acerca de: 『Gestión de personajes』"""
wh_tl_co_011231_v#0,"""Acerca de: 『AC (ARKS Cash)』"""
wh_tl_co_011232_v#0,"""Acerca de: 『Map Display Switching』"""
wh_tl_co_011233_v#0,"""Acerca de: 『Gestión de avisos』"""
wh_tl_co_011234_v#0,"""Acerca de: 『Capturas de pantalla』"""
wh_tl_co_011235_v#0,"""Acerca de: 『Player Touch』"""
wh_tl_co_011237_v#0,"""Acerca de: 『Trofeos』"""
wh_tl_co_011238_v#0,"""Acerca de: 『Starting Chat』"""
wh_tl_co_011240_v#0,"""Acerca de: 『Configuración de la operacion』"""
wh_tl_co_011242_v#0,"""Acerca de: 『Bloque dedicado』y『Bloque compartido』"""
wh_tl_co_011243_v#0,"""Acerca de: 『Login ID card』"""
wh_tl_co_011244_v#0,"""CHARACTER PORTRAIT FEATURES"""
wh_tl_co_011245_v#0,"""Acerca de: TORO y KURO"""
wh_tl_co_011254_v#0,"""Acerca de: 『Extreme Quest』"""
wh_tl_co_011256_v#0,"""Acerca del escenario『Extreme Quest』"""
wh_tl_co_011257_v#0,"""Objetos virtuales『Extreme Quest』"""
wh_tl_co_011258_v#0,"""Acerca de la prueba 『Extreme Quest』"""
wh_tl_co_011259_v#0,"""Eventos de la 『Matter board』"""
wh_tl_co_011261_v#0,"""Acerca de: 『Tarjeta de bingo ARKS』"""
wh_tl_co_012017_v#0,"""Acerca de: 『Cambiar las armas』"""
wh_tl_co_021262_v#0,"""Acerca de: 『Lecciones ARKS』"""
wh_tl_co_021279_v#0,"""AUXILIARIES"""
wh_tl_co_021280_v#0,"""Support Partner Management"""
wh_tl_co_021281_v#0,"""Acerca de: 『Defensa de la base minera』"""
