Title#0,"""인포메이션"""
Menu_Notify#0,"""굥지사항"""
Menu_LoginStamp#0,"""로그인 스탬프"""
Menu_Tutorial#0,"""튜토리얼 확인"""
Menu_Help#0,"""메뉴 헬프"""
Menu_Tips#0,"""도움이 되는 정보"""
Menu_Element#0,"""특수 능력 사전"""
Title#1,"""튜토리얼 확인"""
Search#0,"""검색"""
EditBoxText#0,"""<c a0a0a0>검색할 키워드를 입력<c>"""
NotFound#0,"""검색 결과가 없습니다"""
Title#2,"""도움이 되는 정보"""
Title#3,"""특수 능력 사전"""
Name#0,"""특수 능력 이름"""
Info#0,"""상세"""
ParameterTltle#0,"""파라메터 보정"""
HP#0,"""ＨＰ"""
PP#0,"""ＰＰ"""
Strike#0,"""타격력"""
Firearm#0,"""사격력"""
Technic#0,"""법격력"""
Dex#0,"""기량"""
DfpStrike#0,"""타격 방어"""
DfpFirearm#0,"""사격 방어"""
DfpTechnic#0,"""법격 방어"""
AttributeResistFire#0,"""염속성"""
AttributeResistIce#0,"""빙속성"""
AttributeResistThunder#0,"""뇌속성"""
AttributeResistWind#0,"""풍속성"""
AttributeResistLight#0,"""광속성"""
AttributeResistDark#0,"""암속성"""
