YesText#0,"""Yes"""
NoText#0,"""No"""
CloseText#0,"""Close"""
OpenText#0,"""Open"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Sort"""
Copy#0,"""Copy"""
Peaste#0,"""Paste"""
NextText#0,"""Next"""
PrevText#0,"""Previous"""
DecideText#0,"""Confirm"""
CancelText#0,"""Cancel"""
OKText#0,"""OK"""
ReturnText#0,"""Return"""
TitleText#0,"""Message"""
CheckText#0,"""Do not show this window again."""
NoneText#0,"""None"""
Preview#0,"""Preview"""
SimplePreview#0,"""Simple Preview"""
Skip#0,"""Are you sure you want to skip to the<br>end of the scene or the next choice?"""
SkipMovie#0,"""This will exit video playback.<br><br>Do you want to continue?"""
SymbolArt_BANtext#0,"""The Symbol Art cannot be saved."""
BlockBurstIntoNG#0,"""You were unable to join the party because of changes to that party's status."""
TimeText#0,"""$(0):$(1):$(2)"""
NumItem#0,"""$(0) x$(1)"""
NumItem2#0,"""$(0) x$(1)"""
Bracket#0,"""($(0))"""
SquareBracket#0,"""[$(0)]"""
ErrorResetAmCoinWithoutWarning#0,"""Cannot transfer Casino Coins because they exceed the maximum limit."""
Ranking#0,"""$(3) $(2) Ranking: $(1) $(0)"""
RankingVita#0,"""$(3) $(2) Ranking: $(1) $(0) Shared Block"""
VolcanoClearTime#0,"""Clear time: $(0)"""
Contribution#0,"""Total Points Earned: $(0)<pict Target_CP>"""
SkipNaviKey#0,"""Use <yellow>[Esc] Key<c> to Skip"""
SkipNaviButton#0,"""Use <yellow><c><%AllWindowClose><yellow> Button<c> to Skip"""
BoostLevelUp#0,"""Quest-Linked Boost leveled up to $(0)!<br>New effects are available in boosted Quests!"""
PreviewZoom#0,""" (<c cfcfcf>Toggle Rotation/<c><yellow>Movement<c><c cfcfcf>: <%Exception><c>)"""
PreviewZoom_mouse#0,""" (<c cfcfcf>Toggle Rotation/<c><yellow>Movement<c><c cfcfcf>: <pict mouse_right><c>)"""
PreviewMove#0,""" (<c cfcfcf>Toggle <c><yellow>Rotation<c><c cfcfcf>/Movement: <%Exception><c>)"""
PreviewMove_mouse#0,""" (<c cfcfcf>Toggle <c><yellow>Rotation<c><c cfcfcf>/Movement: <pict mouse_right><c>)"""
ErrorMackQuest#0,"""Cannot start because party members are not in the quest"""
ErrorIgnoreQuest#0,"""Quest is not available. Please check the players site for more info."""
BlockType_01#0,"""PSO2 Blocks"""
BlockType_02#0,"""PSO2: NGS Blocks"""
BlockType_03#0,"""全シップマッチング中"""
Hyphen#0,"""-"""
All#0,"""All"""
FreeSgScratch#0,"""You can perform a free SG Scratch Draw today.<br>Proceed to open Scratch Window?"""
FreeFirsrtTimeACScratch#0,"""現在、初回無料ACスクラッチを引くことができます。<br>内容を確認しますか？"""
FreeFirsrtTimeMainMenuText#0,"""1回無料<br>スクラッチ"""
BlockMoveFailure#0,"""Failed to transfer Blocks."""
BlockadeMsg_Title1#0,"""インフォメーション"""
BlockadeMsg_Text1#0,"""現在、このオブジェクトにはアクセスできません。<br>詳しくはプレイヤーズサイトをご確認ください。"""
SimpleTimeText#0,"""$(0)：$(1)"""
Lupe_TextStart#0,"""拡大鏡モードを開始しました。"""
Lupe_TextEnd#0,"""拡大鏡モードを終了しました。"""
Lupe_TextTerminate1#0,"""機能割当が変更されたため、拡大鏡モードを終了しました。"""
Lupe_TextTerminate2#0,"""設定が変更されたため、拡大鏡モードを終了しました。"""
Lupe_ControlGuide#0,"""表示範囲移動：<swguidetype CursorMove>\u3000\u3000ズーム：<swguidetype Zoom>\u3000\u3000拡大鏡モード終了：<swguidetype ShiftTrigger>+<swguidetype EscMenu>"""
NotReceptQuestPartyGuest#0,"""あなたはパーティーリーダーではないためクエストを受注できません。"""
NotFoundQuestSearch#0,"""条件に当てはまるクエストが見つかりませんでした。"""
CantStartQuestCapacityOverRoom#0,"""ルームの人数オーバーのため参加できません。"""
NotFoundPartyList#0,"""パーティーが見つかりませんでした。"""
CantStartQuestCapacityOverParty#0,"""パーティーの人数オーバーのため参加できません。"""
PasswordNG#0,"""パスワードが間違っています。"""
BurstIntoNG#0,"""クエストにより途中参加が制限されています。"""
CautionQuestEnd#0,"""クエストが終了しているため参加できません。"""
CantStartQuestTimeLimitOver#0,"""クエストの受注可能期間が過ぎています。"""
CautionQuestReleaseNG#0,"""このクエストには参加できません。"""
CautionQuestReleaseNG2#0,"""このクエストは現在、受注できません。<br>詳しくはプレイヤーズサイトをご確認ください。"""
CautionRoomDelete#0,"""ルームが存在しないため参加できません。"""
CautionBlockMoveNG#0,"""ブロックの移動に失敗しました。"""
MatchingRejectJikkyouForRejectUser#0,"""ただいま一部のルームへの参加について制限を実施させていただいております。"""
MatchingRejectJikkyouForJikkyou#0,"""指定のルームに合流できないため、新規ルームを作成しました。"""
CautionUnknown#0,"""不明なエラーです。"""
Loading#0,"""NOW LOADING"""
Not_accessible_ToastMessage#0,"""全シップマッチング中は選択できません。"""
Non_Text#0,"""No Text Display"""
Menu_Main#0,"""Main Menu"""
Menu_Sub#0,"""Sub Menu"""
Menu_Money#0,"""AC/SG Money"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Weapon Camouflage"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>My Shop"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>World Map"""
MainMenu_World_WorldSecret#0,"""<pict ba_secret><pict 4space>世界の秘密"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Message Pack"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Tasks """
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>Mission Pass"""
Category_Item#0,"""Items"""
Category_Equip#0,"""Equipment/Palette"""
Category_SubPallet#0,"""Subpalette"""
Category_Task#0,"""Tasks/Quests"""
Category_WorldMap#0,"""World"""
Category_LogOut#0,"""Logout"""
Category_Communication#0,"""Communication"""
Category_Personal#0,"""Personal"""
Category_Chat#0,"""Chat"""
Category_Info#0,"""Information"""
Category_System#0,"""System"""
Category_Scratch#0,"""Draw Scratch"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>AC/SG Shop<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>SG Shop<pict 4space><pict StarGem>"""
Category_MyShop#0,"""My Shop"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Recycle Items"""
Category_SG_BlackMarket#0,"""<pict ba_treasure><pict 4space>トレジャーショップ<pict 4space><pict StarGem>"""
Category_Meseta_BlackMarket#0,"""<pict ba_treasure><pict 4space>トレジャーショップ<pict 4space><pict reb_meseta>"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>Purchase History/Expirations"""
Category_Shop#0,"""Shop"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Inventory"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Friend List"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Party Commands"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Team Commands"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>Mail """
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>ARKS Search"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>Communication History """
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Nearby Characters"""
Popup_MySpace#0,"""<pict ba_myspace><pict 4space>クリエイティブスペース"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Character Information"""
Popup_Honor#0,"""<pict ba_title><pict 4space>Title """
Popup_ArksCard#0,"""<pict ba_card><pict 4space>ARKS Card"""
Popup_Honor_ArksCard#0,"""Title/ARKS Card"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Play Records"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Group Chat Settings"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Shortcut Word Settings"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Autoword Settings"""
Popup_Motion#0,"""<pict ba_motion><pict 4space>Victory Pose Settings"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Symbol Arts"""
Popup_PlaceObject#0,"""<pict ba_objarrange><pict 4space>ポータブルホログラム設置"""
Popup_ListObject#0,"""<pict ba_objarrange><pict 4space>周囲のポータブルホログラム"""
Popup_PerformEmotes#0,"""<pict ba_la><pict 4space>ロビーアクション実行"""
Popup_VitalDesign#0,"""<pict ba_uidesign><pict 4space>バイタルゲージデザイン"""
Popup_Information#0,"""<pict ba_info><pict 4space>Information"""
Popup_Help#0,"""<pict ba_help><pict 4space>Help"""
Popup_Option#0,"""<pict ba_option><pict 4space>Options"""
Popup_StreamerMode#0,"""<pict ba_stream><pict 4space>ストリーマーモード"""
Popup_CollaboMode#0,"""<pict ba_snapshot><pict 4space>イベント応募関連の表示設定"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Receive Campaign Items """
Popup_AutoSale#0,"""<pict ba_autosell><pict 4space>ドロップアイテムの自動売却設定<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Item Code"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Control Settings"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Mag"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Stamp"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Draw Scratch<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Scratch Storage"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Quest Information"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Equip Weapon"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Equip Armor"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Subpalette"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Edit Fashion"""
Popup_QuestMenue#0,"""Quest Menu"""
Popup_QuestCounter#0,"""<pict ba_questinfo><pict 4space>クエストカウンター"""
Popup_LineDuel#0,"""<pict ba_ld><pict 4space>ラインストライク"""
Popup_SelfyMode#0,"""<pict ba_selfymode><pict 4space>かんたん撮影モード"""
Operation_MenuCommon#0,"""メニュー配下のメニューガイドのコモン設定です。"""
MenuEquipmentOpen#0,"""Equip Selected Item"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Edit Weapon Position"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>Login Bonus"""
Menu_Matching_Blockade#0,"""Cannot be used while Matching."""
Menu_Ad_Guide#0,"""Switch Window: <%ChangeCtrlWindowForward>\u3000\u3000Switch Page: <%TabBack><%TabForward>"""
Menu_Ad_Title#0,"""Notice"""
MainMenu_CharacterInfo#0,"""Character Info"""
MainMenu_Palette#0,"""Customize Palette"""
MainMenu_Inventory#0,"""Inventory"""
MainMenu_Party#0,"""Party"""
MainMenu_FriendList#0,"""Friend List"""
MainMenu_Mail#0,"""Mail"""
MainMenu_Macro#0,"""Set Autowords"""
MainMenu_LogWindow#0,"""Log Window"""
MainMenu_AreaMap#0,"""Area Map"""
MainMenu_KeyboardHelp#0,"""Keyboard Help"""
MainMenu_Config#0,"""Options"""
MainMenu_Logout#0,"""Log Out"""
MainMenu_PlayerList#0,"""Nearby Characters"""
MainMenu_Library#0,"""Library"""
MainMenu_QuestInfo#0,"""Quest Information"""
MainMenu_Equip#0,"""Equip"""
MainMenu_ClientOrder#0,"""Client Orders"""
MainMenu_MatterBoard#0,"""Matter Board"""
MainMenu_MugMenu#0,"""Mag Menu"""
MainMenu_CommHistory#0,"""Communication History"""
MainMenu_ItemTreasure#0,"""Treasures"""
MainMenu_CharacterStatus#0,"""Current Status"""
MainMenu_Equip_note#0,"""Collection File"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""Items"""
MainMenu_Item_Castom#0,"""Customize"""
MainMenu_Item_Mug#0,"""Mags"""
MainMenu_Item_Pet#0,"""Pets"""
MainMenu_Equip_Weapon#0,"""Equip Weapons"""
MainMenu_Equip_Guard#0,"""Armors"""
MainMenu_Equip_Accessories#0,"""Equip Accessories"""
MainMenu_Equip_FashionGroup#0,"""Fashion/Catalog"""
MainMenu_Equip_Fashion#0,"""Fashion Editing"""
MainMenu_Equip_FashionCat#0,"""Fashion Catalog"""
MainMenu_Equip_PolluteEdit#0,"""Dark Blast"""
MainMenu_Equip_Subpalette#0,"""Edit Subpalettes"""
MainMenu_Community_Friend#0,"""Friend List"""
