YesText#0,"""네"""
NoText#0,"""아니오"""
EventChronicleTitle1#0,"""이벤트 크로니클"""
EventChronicleTitle2#0,"""에피소드 선택"""
EventChronicleTitle3#0,"""이벤트 크로니클 정보"""
OccurrenceCondition#0,"""발생 조건"""
Condition#0,"""달성 상황"""
PerusalOnly#0,"""열람만 달성됨"""
Clear#0,"""달성 완료"""
Nonattainment#0,"""미달성"""
SubScenarioText#0,"""(확장 버튼)서브 시나리오 표시"""
SubScenarioTextVita#0,"""＜pict Sign_TRIANGLE＞서브 시나리오 표시"""
SubScenario#0,"""서브 시나리오"""
EventNone#0,"""달성한 이벤트가 없습니다"""
PlayBackTitle#0,"""이벤트 재생"""
PlayBackMessage#0,"""선택한 이벤트를 재생합니다.<br>정말 괜찮으시겠습니까?"""
PlaySkipMessage#0,"""다음 선택지 또는 종료 까지<br>이벤트 씬을 스킵합니다.<br><br>정말 괜찮으시겠습니까?"""
AllClearMessage#0,"""새로운 장 「(장의 제목)」이 추가되었습니다.<br>EP(EP 번호) 제 (장 번호)장을 확인해 주세요."""
BrowserTitle#0,"""이벤트 재생"""
BrowserMessage#0,"""브라우저에서 재생할 수 있습니다.<br><br>http://pso2.jp/vita/players/about/movie/"""
Episode_1#0,"""에피소드 1 메인 이벤트"""
Uncommon1#0,"""에피소드 1 서브 이벤트"""
Episode_2#0,"""에피소드 2 메인 이벤트"""
Uncommon2#0,"""에피소드 2 서브 이벤트"""
Episode_3#0,"""에피소드 3 메인 이벤트"""
Uncommon3#0,"""에피소드 3 서브 이벤트"""
Etc#0,"""기타 이벤트"""
Chapter_0#0,"""서장"""
Chapter_1#0,"""제 1장"""
Chapter_2#0,"""제 2장"""
Chapter_3#0,"""제 3장"""
Chapter_4#0,"""제 4장"""
Chapter_5#0,"""제 5장"""
Chapter_6#0,"""제 6장"""
Chapter_7#0,"""제 7장"""
Chapter_8#0,"""제 8장"""
Chapter_9#0,"""제 9장"""
Chapter_10#0,"""제 10장"""
Chapter_EX#0,"""외전"""
Chapter_EX2#0,"""외전 2"""
Chapter_EX3#0,"""외전 3"""
Chapter_EX4#0,"""외전 4"""
Etc#1,"""기타"""
Zeno#0,"""제노"""
Echo#0,"""에코"""
Afin#0,"""아핀"""
Matoi#0,"""마토이"""
Gettem#0,"""겟템하르트"""
Melfon#0,"""멜폰시나"""
Furie#0,"""프리에"""
Aki#0,"""아키"""
Pati#0,"""파티＆티아"""
Maria#0,"""마리아"""
Sara#0,"""사라"""
