Title#0,"""Play Records"""
Player#0,"""Player Record"""
Quest#0,"""Quest Record"""
RareItem#0,"""Recent Rare Items"""
BossEnemy#0,"""Recent Bosses Defeated"""
RareEnemy#0,"""Recent Rare Enemies"""
Challenge#0,"""Challenge Results"""
TitleEnemyTotal#0,"""Total Enemies Defeated"""
TitleQuestTotal#0,"""Number of Quests Cleared"""
TitleRankSS#0,"""Rank SS Evaluations"""
TitleRankS#0,"""S-Rank Evaluations"""
TitleRankA#0,"""A-Rank Evaluations"""
TitleRankB#0,"""B-Rank Evaluations"""
TitleRankC#0,"""C-Rank Evaluations"""
TitleMissCount#0,"""Number of Times Incapacitated"""
TitleAttackDamage#0,"""Highest Damage Dealt"""
TitlePlayTimeTotal#0,"""Total Playtime"""
Normal#0,"""$(0)"""
EnemyCount#0,"""$(0) enemies"""
Count#0,"""$(0) time(s)"""
PlayTime#0,"""$(0):$(1)"""
Number#0,"""$(0)"""
TitleAchieve#0,"""Titles Earned"""
TitleQuestName#0,"""Quest Name"""
TitleQuestRank#0,"""Difficulty"""
TitleQuestResult#0,"""Evaluation"""
RankS#0,"""S-Rank"""
RankA#0,"""A-Rank"""
RankB#0,"""B-Rank"""
RankC#0,"""C-Rank"""
TitleItemName#0,"""Item Name"""
TitleRarity#0,"""Rarity"""
TitleEnemyName#0,"""Enemy Name"""
TitleLevel#0,"""Level"""
Level#0,"""Lv."""
EnemyLevel#0,"""$(0)"""
TitleEnemyName#1,"""Enemy Name"""
TitleLevel#1,"""Level"""
Level#1,"""Lv."""
EnemyLevel#1,"""$(0)"""
TitleQuestName#1,"""Quest Name"""
TitleAchievement#0,"""Achievement"""
TitleGetPoint#0,"""Earned CP"""
