EndResult_Title#0,"""이번 방어 결과와 전우들"""
EndResult_Name#0,"""캐릭터명"""
EndResult_Comment#0,"""<pict Comment>코멘트"""
EndResult__Refresh#0,"""새로고침"""
EndResult_CommentEdit#0,"""<pict Comment>편집"""
EndResult_CommentEdit_Help#0,"""코멘트 편집"""
EndResult_GoodJob#0,"""-"""
EndResult_GoodJob_Help#0,"""굿잡 보내기"""
EndResult_GoodJobAll#0,"""모두에게 굿잡"""
EndResult_GoodJobAllFailed#0,"""굿잡을 보낼 대상이 없습니다."""
EndResult_Friend#0,"""-"""
EndResult_Friend_Help#0,"""친구 등록 요청 보내기/승인"""
EndResult_FriendAll#0,"""모두에게 친구 등록 요청"""
EndResult_FriendAllFailed#0,"""친구 등록 요청을 보낼 대상이 없습니다."""
EndResult_Campship#0,"""닫기"""
Record_Title#0,"""개인 상세"""
Name_Title#0,"""플레이어 ID 네임"""
Record_Killed#0,"""격파 수"""
Record_Material#0,"""획득한 정결정"""
Record_Conduce#0,"""공헌도"""
Record_Licence#0,"""코드네임"""
Preview#0,"""미리보기"""
Record_Change#0,"""<pict Sign_TRIANGLE>전환"""
CommentEdit_Title#0,"""전우들에게 보내는 메시지"""
CommentEdit_Message#0,"""「이번 방어 결과와 전우들」에 표시할<br>코멘트를 설정해 주세요.<br>이 설정은 다음 채굴 기지 방어전에도 이어집니다.<br>코멘트는 몇 번이든 다시 편집할 수 있습니다."""
FriendList_Confirm#0,"""모두에게<br>친구 등록 요청을 보낼 수 있습니다.<br><br>메시지를 덧붙일 수 있습니다.<br>아래 메시지로<br>친구 등록 요청을 보내시겠습니까?"""
Terminal_Title#0,"""$(0) 거점 단말기"""
Terminal_BaseTitle#0,"""$(0) 방어 소켓"""
Terminal_Point#0,"""$(0) 거점"""
Terminal_Label_1#0,"""이용 항목"""
Terminal_Label_2#0,"""필요 정결정 pt"""
Terminal_Use#0,"""사용 가능"""
Terminal_Used#0,"""사용 완료"""
Terminal_Back#0,"""뒤로"""
Terminal_MaterialPoint#0,"""$(0) pt"""
Terminal_FullTitle#0,"""$(0) 거점"""
Terminal_FullBaseTitle#0,"""$(0) 방어 소켓"""
Terminal_Help#0,"""<c f0df60>정결정 pt를 모으면 거점을 지키는 다양한 기능을 발동할 수 있습니다.<c>"""
Terminal_InfoTitle#0,"""상세 설명"""
Terminal_CheckTitle#0,"""확인 메시지"""
Terminal_CheckMessage#0,"""$(0)을 실행합니다.<br>계속하시겠습니까?"""
Terminal_ErrorMessage#0,"""해당 기능은 현재 사용 중이므로<br>기동할 수 없습니다."""
Terminal_ErrorMessage_2#0,"""거점의 내구도가 최대이므로<br>내구도를 회복하지 않았습니다."""
Terminal_ErrorMessage_3#0,"""방어 소켓이 이미 정화되어<br>정화하지 않았습니다."""
Terminal_ErrorMessage_4#0,"""방어 소켓을 사용할 수 없어<br>A.I.S를 기동할 수 없습니다."""
Terminal_ErrorMessage_5#0,"""방어 소켓을 사용할 수 없어<br>장치를 설치할 수 없습니다."""
Terminal_BreakTitle#0,"""메시지"""
Terminal_BreakMessage#0,"""이 거점은 파괴되어<br>이용할 수 없습니다."""
Terminal_FinishTitle#0,"""메시지"""
Terminal_FinishMessage#0,"""퀘스트가 종료되어<br>이용할 수 없습니다."""
Terminal_VehicleTitle#0,"""메시지"""
Terminal_VehicleMessage#0,"""탑승물에 탑승 중이므로<br>이용할 수 없습니다."""
Terminal_Action_1#0,"""버스트 배리어 기동"""
Terminal_Action_2#0,"""내구도 회복"""
Terminal_Action_3#0,"""A.I.S 기동"""
Terminal_Action_4#0,"""포좌 설치"""
Terminal_Action_5#0,"""포톤 입자포 설치"""
Terminal_Action_6#0,"""방어 소켓 정화"""
Terminal_ActionInfoCommon#0,"""<c f0df60>$(0)pt 이상부터<br>사용할 수 있습니다.<br>(정결정 pt는 소모하지 않습니다)<c>"""
Terminal_ActionInfoMaterial#0,"""현재 정결정  $(0)pt"""
Terminal_ActionInfo_1#0,"""거점 주변의 에너미를 공격해<br>일시적으로 거점을 보호합니다."""
Terminal_ActionInfo_2#0,"""거점의 내구도를 회복합니다."""
Terminal_ActionInfo_3#0,"""A.I.S를 기동합니다."""
Terminal_ActionInfo_4#0,"""방어 소켓에 포좌를 설치합니다."""
Terminal_ActionInfo_5#0,"""방어 소켓에 포톤 입자포를<br>설치합니다."""
Terminal_ActionInfo_6#0,"""침식된 방어 소켓을 정화합니다."""
Result_Label_1#0,"""순위"""
Result_Label_2#0,"""캐릭터명"""
Result_Label_3#0,"""공헌도"""
Result_Label_4#0,"""Score"""
Result_Title#0,"""웨이브 $(0)\u3000결과"""
