battletrigger_use_check_title#0,"""옐로 포탈"""
battletrigger_use_check_message#0,"""소지 중인 「$(0)」이 빛나고 있다.<br>대좌에 끼우시겠습니까?<br><br>※태스크 「$(0)」를 달성함으로써<br> 대좌를 기동할 수 있습니다.<br> 기동 후 퀘스트를 수주할 수 있습니다."""
battletrigger_used_message#0,"""부근의 대좌가 다른 아크스에 의해 기동되었다！"""
CodeKey_w1_r1_1#0,"""퍼플 포탈: 에아리오"""
CodeKey_w1_r1_3#0,"""옐로 포탈: 에아리오"""
CodeKey_w1_r2_1#0,"""퍼플 포탈: 리템"""
CodeKey_w1_r2_3#0,"""옐로 포탈: 리템"""
CodeKey_s2022_1#0,"""블루 포탈: 베리어블"""
CodeKey_w1_r3_1#0,"""퍼플 포탈: 크바리스"""
CodeKey_w1_r3_3#0,"""옐로 포탈: 크바리스"""
CodeKey_w1_r4_3#0,"""옐로 포탈: 스티아"""
CodeKey_w1_r4_1#0,"""퍼플 포탈: 스티아"""
CodeKey_w1_r1_4#0,"""パープルポータル：エアリオEX"""
battletrigger_error1_title#0,"""<オブジェクト名を代入>"""
battletrigger_error2_title#0,"""<オブジェクト名を代入>"""
battletrigger_error_message_CodeKey_w1_r1_1#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>B트리거/에알 퍼플（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r1_3#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>B트리거/에알 옐로（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r2_1#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>B트리거/리테나 퍼플（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r2_3#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>B트리거/리테나 옐로（×5）<c>"""
battletrigger_error_message_CodeKey_all#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템 : <br>$(0)(×$(1))<c>"""
battletrigger_error_message_CodeKey_w1_r3_1#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>\u3000B트리거/에알 퍼플（×5）<c>"""
battletrigger_error_message_CodeKey_w1_r3_3#0,"""배틀 트리거를 세트하여<br>액세스 가능한 특수 훈련 설비.<br><br><yellow>※필요 아이템: <br>\u3000B트리거/에알 옐로（×5）<c>"""
