NoLimit#0,"""제한 없음"""
LimitedByAccount#0,"""계정당 $(0)회 가능"""
LimitedByCharacter#0,"""캐릭터당 $(0)회 가능"""
template_enemy#0,"""$(0) $(1)체 쓰러뜨리기"""
template_CollisionAccess#0,"""%(CollisionId) 가기"""
template_GatheringPlayed#0,"""%(ObjectId) %(num)개 모으기"""
template_NpcTalk#0,"""%(NpcId)에게 대화걸기"""
template_QuestClear#0,"""%(QuestNo) 클리어하기"""
template_EnemyKill#0,"""%(EnemyName) %(num)체 쓰러뜨리기"""
location_guide_arrival#0,"""보조 목표 '$(0)'의 진행 가능 에어리어에 진입했습니다."""
location_guide_leave#0,"""보조 목표 '$(0)'의 진행 가능 에어리어에서 나왔습니다."""
recommend_focus_main_task#0,"""새로운 메인 태스크를 수주했습니다.<br>태스크 목록에서 가이드 정보를 표시해 주세요."""
acquired_reward_items#0,"""보상 아이템을 획득했습니다."""
discarded_task#0,"""$(0)' 태스크를 파기했습니다."""
discarded_task_error#0,"""'$(0)' 태스크 파기에 실패했습니다."""
subobjective_progress_fifty_percent#0,"""보조 목표 '$(0)' 진척도가 50% 이상이 되었습니다."""
subobjective_progress_eighty_percent#0,"""보조 목표 '$(0)' 진척도가 80% 이상이 되었습니다."""
subobjective_appeared#0,"""'$(0)'의 보조 목표가 발생했습니다."""
subobjective_achieved#0,"""'$(0)'의 보조 목표를 달성했습니다."""
multi_tasks_accepted#0,"""태스크를 여러개 수주했습니다."""
task_accepted#0,"""'$(0)' 태스크를 수주했습니다."""
focused_task#0,"""태스크 '$(0)'의 가이드 정보를 표시했습니다."""
focused_task_error#0,"""태스크 '$(0)'가이드 정보를 표시할 수 없었습니다."""
cancelled_focus_task#0,"""태스크 '$(0)'의 가이드 정보를 숨겼습니다."""
cancelled_focus_task_error#0,"""태스크 '$(0)'의 가이드 정보를 숨길 수 없었습니다."""
accomplished_task#0,"""'$(0)' 태스크를 달성했습니다."""
accepted_task_error#0,"""'$(0)'태스크를 수주하지 못했습니다."""
quest_focus_task_cannot#0,"""퀘스트 진행 중엔 가이드 정보의 표시 설정을 전환할 수 없습니다."""
task_unknown_error#0,"""알 수 없는 에러입니다."""
task_order_expired#0,"""태스크가 만료되어 실행할 수 없습니다."""
