MissionProgress#0,"""Info. simple de misión"""
MissionOrder#0,"""Orden del cliente"""
MissionBoard#0,"""Misiones ARKS"""
MissionWebLink#0,"""Enlace a la página web"""
MissionWebSubheading#0,"""Campaña en curso"""
MissionProgressTab#0,"""En progreso"""
MissionRecievedTab#0,"""Completada"""
MissionSqueezeNew#0,"""Mostrar solo las nuevas"""
MissionRecieveAll#0,"""Recibir todo"""
MissionRecieveAll_P#0,"""<%MultiSelect>Recibir todo"""
MissionRecieveAll_V#0,"""Recibir todo"""
MissionReciveOne#0,"""Recibir el pago con <%AcceptK>"""
MissionReciveOne_P#0,"""Recibir el pago con <%AcceptP>"""
MissionReciveOne_V#0,"""Recibir el pago con <%AcceptV>"""
MissionTrack#0,"""<pict Arksroicon>Seguimiento"""
MissionTracking#0,"""Mostrar destino con <%AcceptK>"""
MissionTracking_P#0,"""Mostrar destino con <%AcceptP>"""
MissionTracking_V#0,"""Mostrar destino con <%AcceptV>"""
MissionTracking_OFF#0,"""Dejar de mostrar el destino con <%AcceptK>"""
MissionTracking_OFF_P#0,"""Dejar de mostrar el destino con <%AcceptP>"""
MissionTracking_OFF_V#0,"""Dejar de mostrar el destino con <%AcceptV>"""
MissionDetail#0,"""Detalles de Misión"""
MissionTimeLimitCampaign1#0,"""Fin de Campaña: $(0)"""
MissionTimeLimitCampaign2#0,"""Plazo de Recepción: $(0)"""
MissionTimeLimitEvent#0,"""Fin de Evento: $(0)"""
MissionTimeLimitEtc#0,"""Fecha de Vencimiento: $(0)"""
MissionTimeLimitUnlimited#0,"""Fecha de Vencimiento: Ninguna"""
MissionDetail_limited_Issue#0,"""<c ff4f3f>※Solo se pueden recibir una vez por cuenta.<c>"""
MissionDetail_limited_Issue_Received#0,"""※Se ha recibido objetos que solo se pueden recibir una vez por cuenta."""
MissionDetail_Repeat_Issue#0,"""※Se puede repetir varias veces."""
MissionDetail_Repeat_CoolDown#0,"""※Es posible repetir $(0) veces"""
MissionDetailSwitching#0,"""Mostrar detalles del objeto con <pict Key_SHIFT>"""
MissionDetailSwitching_P#0,"""Mostrar detalles del objeto con <%Function>"""
MissionDetailSwitching_V#0,"""Mostrar detalles del objeto con <pict Sign_TRIANGLE>"""
MissionDetail_MissionDetail#0,"""Fecha de Vencimiento/Detalles"""
MissionRewardDetail#0,"""Detalles del Objeto"""
MissionRewardDetailSwitching#0,"""Ver detalles de misión con <pict Key_SHIFT>"""
MissionRewardDetailSwitching_P#0,"""Ver detalles de misión con <%Function>"""
MissionRewardDetailSwitching_V#0,"""Ver detalles de misión con <pict Sign_TRIANGLE>"""
MissionCampaignLink#0,"""<%ChangeCtrlWindowForward> Para ir a Web"""
MissionCampaignLink_P#0,"""<%WEBLinkP> Para ir a Web"""
MissionRewardCampaignDetail#0,"""Lista de Recompensas de Campaña"""
MissionRewardCampaignSwitching#0,"""Mostrar Lista de Recompensas de Campaña <pict Key_SHIFT>"""
MissionRewardCampaignSwitching_P#0,"""Mostrar Lista de Recompensas de Campaña <%Function>"""
MissionRewardCampaignSwitching_V#0,"""Mostrar Lista de Recompensas de Campaña <pict Sign_TRIANGLE>"""
MissionBoardOpen#0,"""<pict Sign_SQUARE> Mision ARKS"""
MissionBoardOpen_P#0,"""<%MissionShortCutP> Mision ARKS"""
MissionBoardOpen_Function#0,"""<%Function> Mision ARKS"""
MissionBoardOpen_MultiSelect#0,"""<%MultiSelect> Mision ARKS"""
MissionBoardOpen_V#0,"""<%MissionShortCutV> Mision ARKS"""
MissionHeldCampaign#0,"""Campaña en curso"""
MissionWebLinkOpen#0,"""<%ChangeCtrlWindowForward> Para ir a Web"""
MissionWebLinkOpen_P#0,"""<%ChangeWindowActiveP> Para ir a Web"""
MissionRate#0,"""$(0)%"""
MissionRateMax#0,"""<yellow>Logrado<c>"""
Missionlist#0,"""Lista de Misiones"""
MissionTimeLimitHead#0,"""Fecha de Actualización"""
MissionDaily#0,"""Mision Diaria"""
MissionDailyLimit#0,"""0:00(JP) Diario"""
MissionWeekly#0,"""Misión Semanal"""
MissionWeeklyLimit#0,"""13:00(JP) Miercoles"""
MissionTier#0,"""-"""
MissionTierLimit#0,"""-"""
MissionBoardCampaign#0,"""Campaña"""
MissionBoardEvent#0,"""Evento"""
MissionBoardDailyWeekly#0,"""Diario/Semanal"""
MissionBoardTutorial#0,"""Tutorial"""
MissionBoardNumber#0,"""($(0))"""
MissionProgressNumber#0,"""$(0)/$(1)"""
MissionProgressComplete#0,"""<%Decide>Recompensa"""
CategoryMenu_GetAll#0,"""Recibir las recompensas ($(0))"""
MissionRewardConfirmTitle#0,"""Recibiendo Recompensas"""
MissionRewardConfirmMsg#0,"""Vas ha recibir objetos de recompensa.<br>¿Deseas continuar?"""
MissionRewardConfirmMsgAll#0,"""Vas ha recibir todas las recompensas.<br>¿Deseas continuar?"""
MissionRewardConfirmYes#0,"""Si"""
MissionRewardConfirmNo#0,"""No"""
MissionRewardConfirm_limited_Title#0,"""Recompensa"""
MissionRewardConfirm_limited_Msg#0,"""Vas a recibir recompensas de la misión.<br>¿Deseas continuar?<br><br><yellow>※Es posible que recibas recompensas<br>limitadas a una vez por cuenta.<br>Por favor, asegúrese de recibirlas en la nave correcta.<c>"""
MissionRewardConfirm_limited_Yes#0,"""Si"""
MissionRewardConfirm_limited_No#0,"""No"""
MissionRewardConfirm_All_limited_Title#0,"""Recompensa"""
MissionRewardConfirm_All_limited_Msg#0,"""Vas a recibir recompensas de la misión.<br>¿Deseas continuar?<br><yellow>※Incluye objetos que pueden recibirse<br>solo una vez por cuenta.<br>Por favor, compruebe si está seguro de recibirlo.<c><br>※ Si elige No,<br>Solo recibirás recompensas sin restricciones de cuenta."""
MissionRewardConfirm_All_limited_Msg_Only#0,"""Vas a recibir recompensas de la misión.<br>¿Deseas continuar?<br><yellow> ※ Es posible recibir esta recompensa<br>limitadas a una vez por cuenta.<br>Por favor, compruebe si está seguro de recibirlo.<c>"""
MissionRewardConfirm_All_limited_Yes#0,"""Si"""
MissionRewardConfirm_All_limited_No#0,"""No"""
MissionReward_Error_Close#0,"""Cerrar"""
MissionReward_Error_Inventorylimit#0,"""Debido a que tienes tu inventario lleno, no puedes recibir la recompensa."""
MissionReward_Error_limitTime#0,"""No se puede recibir porque la fecha de vencimiento ha pasado."""
MissionNoItem#0,"""No hay misiónes para elegir."""
MissionGetReward_Header#0,"""Recompensa de misión Recibida"""
MissionReward_RewardList_Header#0,"""Lista de recompensas"""
MissionReward_RewardList_Issue#0,"""Recibíste las siguientes recompensas."""
