Date#0,"""$(2)년 $(1)월 $(0)일"""
Date_v#0,"""$(2)/$(1)/$(0)"""
January#0,"""1"""
February#0,"""2"""
March#0,"""3"""
April#0,"""4"""
May#0,"""5"""
June#0,"""6"""
July#0,"""7"""
August#0,"""8"""
September#0,"""9"""
October#0,"""10"""
November#0,"""11"""
December#0,"""12"""
Date_NoYear#0,"""$(1)/$(0)"""
Sunday#0,"""일요일"""
Monday#0,"""월요일"""
Tuesday#0,"""화요일"""
Wednesday#0,"""수요일"""
Thursday#0,"""목요일"""
Friday#0,"""금요일"""
Saturday#0,"""토요일"""
Short_January#0,"""1"""
Short_February#0,"""2"""
Short_March#0,"""3"""
Short_April#0,"""4"""
Short_May#0,"""5"""
Short_June#0,"""6"""
Short_July#0,"""7"""
Short_August#0,"""8"""
Short_September#0,"""9"""
Short_October#0,"""10"""
Short_November#0,"""11"""
Short_December#0,"""12"""
TimeCountSec#0,"""$(0)초"""
TimeCount#0,"""$(0):$(1)"""
TimeHour#0,"""$(0)시 $(1)분"""
TimeHourJust#0,"""$(0)시"""
TimeDayOfHour#0,"""$(1) $(0)"""
Time#0,"""$(0)시 $(1)분"""
TimeSec#0,"""$(0)시 $(1)분 $(2)초"""
UtcYmdt_MonthDay#0,"""$(3)월 $(0)일 $(1)시 $(2)분"""
UtcYmdt_YearMonthDay#0,"""$(4)년 $(3)월 $(0)일 $(1)시 $(2)분"""
DateTime#0,"""$(4)년$(3)월$(0)일$(1)시$(2)분"""
DateTime_v#0,"""$(4)/$(3)/$(0) $(1):$(2)"""
DateTimeSec#0,"""$(5)년 $(3)월 $(0)일 $(1)시 $(2)분 $(4)초"""
DateTimeSec_v#0,"""$(5)/$(3)/$(0) $(1):$(2):$(4)"""
EmptyDateTime#0,"""--년 --월 --일 --시 --분"""
Period#0,"""$(0)시간 $(1)분"""
PeriodMin#0,"""$(0)분 동안"""
PeriodDay#0,"""$(0)일 $(1)시간$(2)분"""
LeaveHour#0,"""$(0)시간 $(1)분"""
LeaveMin#0,"""$(0)분"""
LeaveDay#0,"""$(0)일 $(1)시간 $(2)분"""
hyphen#0,"""--"""
LeaveTime#0,"""앞으로 (0)"""
LeaveDayOnly#0,"""$(0)일"""
LeaveHourOnly#0,"""$(0)시간"""
