ReturnText#0,"""뒤로"""
ItemDetails#0,"""아이템 상세"""
PreviewTitle#0,"""미리보기"""
Close#0,"""閉じる"""
PartnerCustom#0,"""파트너装備カスタム"""
Weapon#0,"""武器교환"""
Back#0,"""リアユニット교환"""
Arm#0,"""アームユニット교환"""
Leg#0,"""レッグユニット교환"""
Costume#0,"""コスチューム교환"""
BodyParts#0,"""ボディパーツ교환"""
ArmParts#0,"""アームパーツ교환"""
LegParts#0,"""レッグパーツ교환"""
WeaponAvatar#0,"""武器迷彩교환"""
PetEgg#0,"""エッグ교환"""
ItemPacTitle#0,"""候補リスト"""
PartnerEquipInfo#0,"""装備情報"""
Delete#0,"""装備を外す"""
PresentEquipment#0,"""現在の装備"""
SwitchVita#0,"""<pict Sign_TRIANGLE>切替"""
LeaveMessage#0,"""서포트 파트너に席を外させ、<br>一時的に部屋にいない状態にできます。<br><br>「서포트 파트너を呼び出す」を選ぶと<br>ふたたび呼び戻すことができます。<br><br>席を外させますか？"""
LeaveMessage2#0,"""席を外させました。"""
ReceiptMessage#0,"""$(0)から<br>以下のアイテムを受け取りました。"""
GetExpTitle#0,"""取得経験値"""
GetExp#0,"""今回の取得経験値"""
Exp#0,"""経験値"""
Level#0,"""Lv."""
NextLevel#0,"""다름 레벨까지 """
QuestTitle#0,"""探索結果報告"""
QuestOrder#0,"""手伝ったオーダー"""
ItemTitle#0,"""取得アイテム受け取り"""
Success#0,"""成功"""
Failure#0,"""실패"""
Top_Title#0,"""서포트 파트너メニュー"""
Explain_Top#0,"""<c f0df60>서포트 파트너にいろいろな指示を出すことができます。<c>"""
Explain_Order#0,"""<c f0df60>あなたが受注しているオーダーの一部を手伝わせることができます。앞으로  <c ff4f3f>$(0)件<c f0df60> 選択できます。<c>"""
Explain_OrderCancel#0,"""<c f0df60>手伝わせている探索をすべて中止させます。<c>"""
Explain_Status#0,"""<c f0df60>서포트 파트너のステータスや装備情報を確認できます。<c>"""
Explain_SubClass#0,"""<c f0df60>서포트 파트너のサブクラスを変更することができます。<c>"""
Explain_Talk#0,"""<c f0df60>서포트 파트너と話をします。<c>"""
Explain_Equip#0,"""<c f0df60>装備を変更できます。装備品を選ぶと、それを<c ff4f3f>装備可能なクラスに変更させる<c f0df60>ことができます。<c>"""
Explain_Move#0,"""<space>"""
Explain_Return#0,"""<c f0df60>서포트 파트너に一時的に席を外させます。<c>"""
Explain_Back#0,"""<space>"""
Explain_Pose#0,"""<c f0df60>서포트 파트너のポーズを選択できます。<c>"""
AccessMenu_Title#0,"""서포트 파트너メニュー"""
AccessMenu_Order#0,"""探索指示を出す"""
AccessMenu_OrderCancel#0,"""探索を中止する"""
AccessMenu_Status#0,"""파트너情報を見る"""
AccessMenu_Talk#0,"""話をする"""
AccessMenu_Equip#0,"""装備をカスタムする"""
AccessMenu_Move#0,"""グッズを動かす"""
AccessMenu_Return#0,"""席を外させる"""
AccessMenu_Back#0,"""この場を離れる"""
AccessMenu_SubClass#0,"""サブクラスを設定する"""
AccessMenu_Pose#0,"""ポーズを選択する"""
Pose_FormTitle#0,"""ポーズ選択"""
Warehouse#0,"""倉庫を開く"""
MyRoomMenu_Order#0,"""探索指示を出す"""
MyRoomMenu_OrderCancel#0,"""探索を中止させる"""
MyRoomMenu_OrderResult#0,"""探索結果を報告させる"""
MyRoomMenu_Status#0,"""파트너情報を見る"""
DictatePartner#0,"""探索指示を出す"""
OrderSelect#0,"""オーダーを選ぶ"""
PartnerStart#0,"""探索に出発させる"""
PartnerCancel#0,"""探索を中止させる"""
PartnerOverStartMessage#0,"""一度に手伝い可能なオーダー数は<br>$(0)件 までです。<br>このオーダーを選択する場合は、<br>1件以上選びなおしてください。"""
PartnerStartMessage#0,"""手伝うオーダー数： $(0)件\u3000（最大 $(1)件）<br>終了予定시간 ： $(2)後<br><br>この内容で、探索に出発させます。<br>정말 괜찮으시겠습니까?"""
PartnerStartMessage2#0,"""出発させました。"""
PartnerFaliedMessage#0,"""オーダーが選択されていません。<br>あなたが受注しているオーダーから、<br>서포트 파트너に手伝わせたい<br>オーダーを選択してください。"""
PartnerCancelMessage#0,"""現在の探索を中止させ、<br>マイルームに戻らせることができます。<br><br>中止させた場合、探索による<br>アイテムや経験値などは得られません。<br><br>探索を中止させますか？"""
PartnerCancelMessage2#0,"""探索を中止させました。"""
PartnerCancelMessage3#0,"""現在の探索を中止させることができます。<br><br>中止させた場合、探索による<br>アイテムや経験値などは得られません。<br><br>探索を中止させますか？"""
PartnerChangeJobMessage#0,"""この武器を装備するために<br>서포트 파트너のクラスを<br>$(0)に変更させます。<br><br>정말 괜찮으시겠습니까?"""
PartnerChangeJobError#0,"""この武器を装備できるクラスには<br>変更できません。"""
PartnerChangeEquipSuccess#0,"""装備を変更しました。"""
PartnerChangeEquipError1#0,"""装備変更に실패しました。"""
PartnerChangeEquipError2#0,"""あなたが装備中のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError3#0,"""ロック中のアイテムは<br>渡すことができません。"""
PartnerChangeEquipError4#0,"""種族制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError5#0,"""性別制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError6#0,"""クラス制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError7#0,"""クラス変更制限のため<br>装備を変更することができません。"""
PartnerChangeEquipError8#0,"""서포트 파트너の<br>クラス変更に실패しました。"""
PartnerChangeEquipError9#0,"""서포트 파트너の<br>装備変更に실패しました。"""
PartnerChangeEquipError10#0,"""서포트 파트너の<br>装備変更の処理に<br>실패しました。"""
