Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)％"""
Param_MaxValue#0,"""（MAX$(0)）"""
Param_MaxValue_Limit#0,"""<bright_orange>（MAX$(0)）<c>"""
Param_MaximumValue#0,"""(최대 $(0))"""
Param_MaximumValue_Limit#0,"""<bright_orange>(최대$(0))<c>"""
Param_ComparePlus#0,"""<light_orange2> +$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2> +$(0)％<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>－$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""－"""
Label_WavyLine#0,"""～"""
Label_Rarity#0,"""레어리티"""
Label_AttackPower#0,"""공격력"""
Label_Defense#0,"""방어력"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""속성"""
Label_Resist_Damage#0,"""데미지 내성"""
Label_Resist_Element#0,"""속성내성"""
Label_Resist_Fire#0,"""염내성"""
Label_Resist_Ice#0,"""빙내성"""
Label_Resist_Thunder#0,"""뇌내성"""
Label_Resist_Wind#0,"""풍내성"""
Label_Resist_Light#0,"""광내성"""
Label_Resist_Dark#0,"""암내성"""
Label_EquipClass#0,"""장비가능 클래스"""
Label_EquipNeed#0,"""장비조건"""
Param_Level_Need#0,"""Lv.$(0)"""
Param_Level_Now#0,"""（현재 Lv.$(0)）"""
Label_Trade#0,"""거래"""
Label_Trade_OK#0,"""거래 가능"""
Label_Trade_NG#0,"""거래 불가"""
Label_Trade_Ownered#0,"""오너 등록됨"""
Label_Grind#0,"""강화치"""
Label_Element#0,"""특수 능력"""
Label_BonusElement#0,"""특수 능력인자"""
Label_SpecialElement#0,"""S급 특수 능력"""
Label_SpecialElement_Supported#0,"""대응 타입"""
Label_Potential#0,"""잠재 능력"""
Label_Potential_1#0,"""잠재 능력 1"""
Label_Potential_2#0,"""잠재 능력 2"""
Label_Potential_3#0,"""잠재 능력 3"""
Label_DamageBlur#0,"""데미지 보정"""
