Name_00000#0,"""초급 타격 무기 Lv.1"""
Name_00001#0,"""초급 타격 무기 Lv.2"""
Name_00002#0,"""초급 타격 무기 Lv.3"""
Name_00003#0,"""초급 타격 무기 Lv.4"""
Name_00004#0,"""초급 타격 무기 Lv.5"""
Name_00005#0,"""초급 타격 무기 Lv.6"""
Name_00006#0,"""초급 타격 무기 Lv.7"""
Name_00007#0,"""초급 타격 무기 Lv.8"""
Name_00008#0,"""초급 타격 무기 Lv.9"""
Name_00009#0,"""초급 타격 무기 Lv.10"""
Name_00010#0,"""초급 타격 무기 Lv.11"""
Name_00011#0,"""초급 타격 무기 Lv.12"""
Name_00012#0,"""초급 타격 무기 Lv.13"""
Name_00013#0,"""초급 타격 무기 Lv.14"""
Name_00014#0,"""초급 타격 무기 Lv.15"""
Name_00015#0,"""초급 타격 무기 Lv.16"""
Name_00016#0,"""초급 타격 무기 Lv.17"""
Name_00017#0,"""초급 타격 무기 Lv.18"""
Name_00018#0,"""초급 타격 무기 Lv.19"""
Name_00019#0,"""초급 타격 무기 Lv.20"""
Name_00020#0,"""중급 타격 무기 Lv.1"""
Name_00021#0,"""중급 타격 무기 Lv.2"""
Name_00022#0,"""중급 타격 무기 Lv.3"""
Name_00023#0,"""중급 타격 무기 Lv.4"""
Name_00024#0,"""중급 타격 무기 Lv.5"""
Name_00025#0,"""중급 타격 무기 Lv.6"""
Name_00026#0,"""중급 타격 무기 Lv.7"""
Name_00027#0,"""중급 타격 무기 Lv.8"""
Name_00028#0,"""중급 타격 무기 Lv.9"""
Name_00029#0,"""중급 타격 무기 Lv.10"""
Name_00030#0,"""중급 타격 무기 Lv.11"""
Name_00031#0,"""중급 타격 무기 Lv.12"""
Name_00032#0,"""중급 타격 무기 Lv.13"""
Name_00033#0,"""중급 타격 무기 Lv.14"""
Name_00034#0,"""중급 타격 무기 Lv.15"""
Name_00035#0,"""중급 타격 무기 Lv.16"""
Name_00036#0,"""上級타격 무기 Lv.1"""
Name_00037#0,"""상급 타격 무기 Lv.2"""
Name_00038#0,"""상급 타격 무기 Lv.3"""
Name_00039#0,"""상급 타격 무기 Lv.4"""
Name_00040#0,"""상급 타격 무기 Lv.5"""
Name_00041#0,"""상급 타격 무기 Lv.6"""
Name_00042#0,"""상급 타격 무기 Lv.7"""
Name_00043#0,"""상급 타격 무기 Lv.8"""
Name_00044#0,"""상급 타격 무기 Lv.9"""
Name_00045#0,"""상급 타격 무기 Lv.10"""
Name_00046#0,"""상급 타격 무기 Lv.11"""
Name_00047#0,"""상급 타격 무기 Lv.12"""
Name_00048#0,"""★１０타격 무기 Lv.1"""
Name_00049#0,"""★１０타격 무기 Lv.2"""
Name_00050#0,"""★１０타격 무기 Lv.3"""
Name_00051#0,"""★１０타격 무기 Lv.4"""
Name_00052#0,"""★１０타격 무기 Lv.5"""
Name_00053#0,"""★１０타격 무기 Lv.6"""
Name_00054#0,"""★１０타격 무기 Lv.7"""
Name_00055#0,"""★１０타격 무기 Lv.8"""
Name_00056#0,"""★１０타격 무기 Lv.9"""
Name_00057#0,"""★１０타격 무기 Lv.10"""
Name_00058#0,"""★１１타격 무기 Lv.1"""
Name_00059#0,"""★１１타격 무기 Lv.2"""
Name_00060#0,"""★１１타격 무기 Lv.3"""
Name_00061#0,"""★１１타격 무기 Lv.4"""
Name_00062#0,"""★１１타격 무기 Lv.5"""
Name_00063#0,"""★１１타격 무기 Lv.6"""
Name_00064#0,"""★１１타격 무기 Lv.7"""
Name_00065#0,"""★１１타격 무기 Lv.8"""
Name_00066#0,"""★１２타격 무기 Lv.1"""
Name_00067#0,"""☆１２타격 무기 Lv.2"""
Name_00068#0,"""☆１２타격 무기 Lv.3"""
Name_00069#0,"""☆１２타격 무기 Lv.4"""
Name_00070#0,"""☆１２타격 무기 Lv.5"""
Name_00071#0,"""☆１２타격 무기 Lv.6"""
Name_00072#0,"""未設定"""
Name_00073#0,"""未設定"""
Name_00074#0,"""未設定"""
Name_00075#0,"""타격 무기 리셋 레시피"""
Name_10000#0,"""초급 사격 무기 Lv.1"""
Name_10001#0,"""초급 사격 무기 Lv.2"""
Name_10002#0,"""초급 사격 무기 Lv.3"""
Name_10003#0,"""초급 사격 무기 Lv.4"""
Name_10004#0,"""초급 사격 무기 Lv.5"""
Name_10005#0,"""초급 사격 무기 Lv.6"""
Name_10006#0,"""초급 사격 무기 Lv.7"""
Name_10007#0,"""초급 사격 무기 Lv.8"""
Name_10008#0,"""초급 사격 무기 Lv.9"""
Name_10009#0,"""초급 사격 무기 Lv.10"""
Name_10010#0,"""초급 사격 무기 Lv.11"""
Name_10011#0,"""초급 사격 무기 Lv.12"""
Name_10012#0,"""초급 사격 무기 Lv.13"""
Name_10013#0,"""초급 사격 무기 Lv.14"""
Name_10014#0,"""초급 사격 무기 Lv.15"""
Name_10015#0,"""초급 사격 무기 Lv.16"""
Name_10016#0,"""초급 사격 무기 Lv.17"""
Name_10017#0,"""초급 사격 무기 Lv.18"""
Name_10018#0,"""초급 사격 무기 Lv.19"""
Name_10019#0,"""초급 사격 무기 Lv.20"""
Name_10020#0,"""중급 사격 무기 Lv.1"""
Name_10021#0,"""중급 사격 무기 Lv.2"""
Name_10022#0,"""중급 사격 무기 Lv.3"""
Name_10023#0,"""중급 사격 무기 Lv.4"""
Name_10024#0,"""중급 사격 무기 Lv.5"""
Name_10025#0,"""중급 사격 무기 Lv.6"""
Name_10026#0,"""중급 사격 무기 Lv.7"""
Name_10027#0,"""중급 사격 무기 Lv.8"""
Name_10028#0,"""중급 사격 무기 Lv.9"""
Name_10029#0,"""중급 사격 무기 Lv.10"""
Name_10030#0,"""중급 사격 무기 Lv.11"""
Name_10031#0,"""중급 사격 무기 Lv.12"""
Name_10032#0,"""중급 사격 무기 Lv.13"""
Name_10033#0,"""중급 사격 무기 Lv.14"""
Name_10034#0,"""중급 사격 무기 Lv.15"""
Name_10035#0,"""중급 사격 무기 Lv.16"""
Name_10036#0,"""상급 사격 무기 Lv.1"""
Name_10037#0,"""상급 사격 무기 Lv.2"""
Name_10038#0,"""상급 사격 무기 Lv.3"""
Name_10039#0,"""상급 사격 무기 Lv.4"""
Name_10040#0,"""상급 사격 무기 Lv.5"""
Name_10041#0,"""상급 사격 무기 Lv.6"""
Name_10042#0,"""상급 사격 무기 Lv.7"""
Name_10043#0,"""상급 사격 무기 Lv.8"""
Name_10044#0,"""상급 사격 무기 Lv.9"""
Name_10045#0,"""상급 사격 무기 Lv.10"""
Name_10046#0,"""상급 사격 무기 Lv.11"""
Name_10047#0,"""상급 사격 무기 Lv.12"""
Name_10048#0,"""★１０사격 무기 Lv.1"""
Name_10049#0,"""★１０사격 무기 Lv.2"""
Name_10050#0,"""★１０사격 무기 Lv.3"""
Name_10051#0,"""★１０사격 무기 Lv.4"""
Name_10052#0,"""★１０사격 무기 Lv.5"""
Name_10053#0,"""★１０사격 무기 Lv.6"""
Name_10054#0,"""★１０사격 무기 Lv.7"""
Name_10055#0,"""★１０사격 무기 Lv.8"""
Name_10056#0,"""★１０사격 무기 Lv.9"""
Name_10057#0,"""★１０사격 무기 Lv.10"""
Name_10058#0,"""★１１사격 무기 Lv.1"""
Name_10059#0,"""★１１사격 무기 Lv.2"""
Name_10060#0,"""★１１사격 무기 Lv.3"""
Name_10061#0,"""★１１사격 무기 Lv.4"""
Name_10062#0,"""★１１사격 무기 Lv.5"""
Name_10063#0,"""★１１사격 무기 Lv.6"""
Name_10064#0,"""★１１사격 무기 Lv.7"""
Name_10065#0,"""★１１사격 무기 Lv.8"""
Name_10066#0,"""★１２사격 무기 Lv.1"""
Name_10067#0,"""★１２사격 무기 Lv.2"""
Name_10068#0,"""★１２사격 무기 Lv.3"""
Name_10069#0,"""★１２사격 무기 Lv.4"""
Name_10070#0,"""★１２사격 무기 Lv.5"""
Name_10071#0,"""★１２사격 무기 Lv.6"""
Name_10072#0,"""未設定"""
Name_10073#0,"""未設定"""
Name_10074#0,"""未設定"""
Name_10075#0,"""사격 무기 리셋 레시피"""
Name_20000#0,"""초급 법격 무기 Lv.1"""
Name_20001#0,"""초급 법격 무기 Lv.2"""
Name_20002#0,"""초급 법격 무기 Lv.3"""
Name_20003#0,"""초급 법격 무기 Lv.4"""
Name_20004#0,"""초급 법격 무기 Lv.5"""
Name_20005#0,"""초급 법격 무기 Lv.6"""
Name_20006#0,"""초급 법격 무기 Lv.7"""
Name_20007#0,"""초급 법격 무기 Lv.8"""
Name_20008#0,"""초급 법격 무기 Lv.9"""
Name_20009#0,"""초급 법격 무기 Lv.10"""
Name_20010#0,"""초급 법격 무기 Lv.11"""
Name_20011#0,"""초급 법격 무기 Lv.12"""
Name_20012#0,"""초급 법격 무기 Lv.13"""
Name_20013#0,"""초급 법격 무기 Lv.14"""
Name_20014#0,"""초급 법격 무기 Lv.15"""
Name_20015#0,"""초급 법격 무기 Lv.16"""
Name_20016#0,"""초급 법격 무기 Lv.17"""
Name_20017#0,"""초급 법격 무기 Lv.18"""
Name_20018#0,"""초급 법격 무기 Lv.19"""
Name_20019#0,"""초급 법격 무기 Lv.20"""
Name_20020#0,"""중급 법격 무기 Lv.1"""
Name_20021#0,"""중급 법격 무기 Lv.2"""
Name_20022#0,"""중급 법격 무기 Lv.3"""
Name_20023#0,"""중급 법격 무기 Lv.4"""
Name_20024#0,"""중급 법격 무기 Lv.5"""
Name_20025#0,"""중급 법격 무기 Lv.6"""
Name_20026#0,"""중급 법격 무기 Lv.7"""
Name_20027#0,"""중급 법격 무기 Lv.8"""
Name_20028#0,"""중급 법격 무기 Lv.9"""
Name_20029#0,"""중급 법격 무기 Lv.10"""
Name_20030#0,"""중급 법격 무기 Lv.11"""
Name_20031#0,"""중급 법격 무기 Lv.12"""
Name_20032#0,"""중급 법격 무기 Lv.13"""
Name_20033#0,"""중급 법격 무기 Lv.14"""
Name_20034#0,"""중급 법격 무기 Lv.15"""
Name_20035#0,"""중급 법격 무기 Lv.16"""
Name_20036#0,"""상급 법격 무기 Lv.1"""
Name_20037#0,"""상급 법격 무기 Lv.2"""
Name_20038#0,"""상급 법격 무기 Lv.3"""
Name_20039#0,"""상급 법격 무기 Lv.4"""
Name_20040#0,"""상급 법격 무기 Lv.5"""
Name_20041#0,"""상급 법격 무기 Lv.6"""
Name_20042#0,"""상급 법격 무기 Lv.7"""
Name_20043#0,"""상급 법격 무기 Lv.8"""
Name_20044#0,"""상급 법격 무기 Lv.9"""
Name_20045#0,"""상급 법격 무기 Lv.10"""
Name_20046#0,"""상급 법격 무기 Lv.11"""
Name_20047#0,"""상급 법격 무기 Lv.12"""
Name_20048#0,"""★１０법격 무기 Lv.1"""
Name_20049#0,"""★１０법격 무기 Lv.2"""
Name_20050#0,"""★１０법격 무기 Lv.3"""
Name_20051#0,"""★１０법격 무기 Lv.4"""
Name_20052#0,"""★１０법격 무기 Lv.5"""
Name_20053#0,"""★１０법격 무기 Lv.6"""
Name_20054#0,"""★１０법격 무기 Lv.7"""
Name_20055#0,"""★１０법격 무기 Lv.8"""
Name_20056#0,"""★１０법격 무기 Lv.9"""
Name_20057#0,"""★１０법격 무기 Lv.10"""
Name_20058#0,"""★１１법격 무기 Lv.1"""
Name_20059#0,"""★１１법격 무기 Lv.2"""
Name_20060#0,"""★１１법격 무기 Lv.3"""
Name_20061#0,"""★１１법격 무기 Lv.4"""
Name_20062#0,"""★１１법격 무기 Lv.5"""
Name_20063#0,"""★１１법격 무기 Lv.6"""
Name_20064#0,"""★１１법격 무기 Lv.7"""
Name_20065#0,"""★１１법격 무기 Lv.8"""
Name_20066#0,"""★１２법격 무기 Lv.1"""
Name_20067#0,"""★１２법격 무기 Lv.2"""
Name_20068#0,"""★１２법격 무기 Lv.3"""
Name_20069#0,"""★１２법격 무기 Lv.4"""
Name_20070#0,"""★１２법격 무기 Lv.5"""
Name_20071#0,"""★１２법격 무기 Lv.6"""
Name_20072#0,"""未設定"""
Name_20073#0,"""未設定"""
Name_20074#0,"""未設定"""
Name_20075#0,"""법격 무기 리셋 레시피"""
Name_30000#0,"""리어 타격 방어 Lv.1"""
Name_30001#0,"""리어 타격 방어 Lv.2"""
Name_30002#0,"""리어 타격 방어 Lv.3"""
Name_30003#0,"""리어 타격 방어 Lv.4"""
Name_30004#0,"""리어 타격 방어 Lv.5"""
