SharedServers#0,"""공용 서버"""
MoveSharedServers#0,"""공용 서버로 이동합니다."""
NormalServers#0,"""일반 서버"""
ReturnNormalServers#0,"""일반 서버로 이동합니다."""
SelectPlace#0,"""전송처 선택"""
SelectPlaceMessage#0,"""필드에 텔레파이프가 놓여있습니다.<br>어디로 이동할까요?"""
TransportPlace#0,"""전송처"""
Telepipe#0,"""텔레파이프"""
StartPoint#0,"""시작 위치"""
ReturnCampship#0,"""캠프 쉽으로 돌아갈까요?"""
ReturnCampshipWarning#0,"""획득 가능한 보수를 전부 받지 않았지만<br>캠프 쉽으로 돌아갈까요？<br><br>보수를 받으려면, 「아니오」를 선택하여<br>익스트림 단말기에 액세스 하세요.<br><br><red>※한번 캠프 쉽으로 돌아가면<br>보수를 받을 수 없습니다.<c>"""
ReturnWithoutCampship#0,"""귀환합니까?"""
ReturnCampshipYes#0,"""돌아가기"""
ReturnCampshipNo#0,"""아니오"""
QuestClear#0,"""퀘스트 종료 후에는<br>필드로 되돌아갈 수<br>없습니다."""
CampshipToField#0,"""출구"""
ToFieldClear#0,"""퀘스트 클리어 후에는<br>필드로 되돌아갈 수<br>없습니다."""
ToFieldFaild#0,"""퀘스트 실패 후에는<br>필드로 되돌아갈 수<br>없습니다."""
ToOtherSinglePartyArea#0,"""이 앞 에어리어는<br>진입 허가가 되지 않았습니다."""
NowBlockRetry#0,"""현재 블록에서 재시도"""
MultiBlockRetry#0,"""여러 블록 검색으로 재시도"""
ReturnCampship#1,"""캠프쉽으로 돌아가기"""
CloseWindow#0,"""돌아가기"""
RetryConfirmHeader#0,"""재시도 확인"""
NowBlockRetryDescription#0,"""현재 블록에서 검색하여<br>퀘스트를 재시도 하시겠습니까?"""
MultiBlockRetryDescription#0,"""여러 블록을 검색하여<br>퀘스트를 재시도 하시겠습니까?"""
RetryYes#0,"""재시도 하기"""
RetryNo#0,"""아니오"""
