MesetaDenomination#0,"""<pict reb_meseta>메세타"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""스타"""
CcDenomination#0,"""CC"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
BcDenomination#0,"""BC"""
SpDenomination#0,"""SP"""
Cash#0,"""소지금"""
CashMeseta#0,"""소지 메세타"""
CashAc#0,"""소지 AC"""
CashCp#0,"""소지 CP"""
CashFun#0,"""소지 FUN"""
CashStar#0,"""소지 스타"""
CashCc#0,"""소지 CC"""
CashCm#0,"""소지 CM"""
CashSg#0,"""소지 SG"""
CashBc#0,"""소지 BC"""
CashSp#0,"""소지 SP"""
CashDenomi#0,"""소지 $(0)"""
TotalAmount#0,"""합계 금액"""
TotalMeseta#0,"""합계 메세타"""
TotalAc#0,"""합계 AC"""
TotalCp#0,"""합계 CP"""
TotalFun#0,"""합계 FUN"""
TotalStar#0,"""합계 스타"""
TotalCc#0,"""합계 CC"""
TotalCm#0,"""합계 CM"""
TotalSg#0,"""합계 SG"""
TotalBc#0,"""합계 BC"""
TotalSp#0,"""합계 SP"""
TotalDenomi#0,"""합계 $(0)"""
InputBuyNumberTitle_Vita#0,"""구매 개수 선택"""
InputSellNumberTitle_Vita#0,"""판매 개수 선택"""
StockNumber_Vita#0,"""구매(교환)가능 수/앞으로 \u3000$(0)개"""
InsufficientCash#0,"""$(0)가 부족합니다."""
BuyDayLimitOver#0,"""구매 가능 기간이 아닙니다."""
ExchangeDayLimitOver#0,"""교환 가능 기간이 아닙니다."""
BuyNumLimitOver#0,"""구매 상한 이상으로 구매하려고 하고 있습니다."""
ExchangeNumLimitOver#0,"""교환 상한 이상으로 교환하려 하고 있습니다."""
ItemBuyDBAccessError#0,"""서버가 혼잡해<br>아이템을 구매할 수 없었습니다."""
ItemChangeDBAccessError#0,"""서버가 혼잡해<br>아이템을 교환할 수 없었습니다."""
ShopTitle#0,"""트레저 샵"""
ShopTitle_N_SG#0,"""트레저 샵<pict 4space><pict StarGem>"""
ShopTitle_N_Meseta#0,"""트레저 샵<pict 4space><pict reb_meseta>"""
MenuGuide#0,"""<c f0df60>이용하실 샵을 선택해주세요.<c>"""
MenuGuide_N_SG#0,"""SG로 매일 상품이 바뀌는 아이템을 구매할 수 있는 샵입니다. \""상품 갱신\""으로, 즉시 상품 리스트를 갱신할 수 있습니다. (매일 1회 무료)"""
