MapName_1#0,"""첫 전쟁"""
MapName_2#0,"""두 번째 전쟁"""
Grassland#0,"""쿠엔트 초원"""
Camp#0,"""쿠엔트 혁명군\u3000야영지"""
RevBase#0,"""쿠엔트\u3000남방 도시"""
Cuent_Castle#0,"""쿠엔트 왕도"""
Cuent_Castle_Sub#0,"""쿠엔트 왕도\u3000교외"""
Cuent_NewCastle#0,"""쿠엔트 신왕도"""
Verunian_Castle#0,"""베른 제도"""
Verunian_Castle_Village#0,"""베른\u3000남쪽 마을"""
Grassland2#0,"""쿠엔트 중앙 평원"""
Verunian_Devils_Castle_Border#0,"""쿠엔트/베른 국경선"""
Verunian_Wasteland#0,"""베른 황야"""
Verunian_frontier#0,"""베른 변경"""
RevBase_qc#0,"""쿠엔트 혁명군\u3000본거지"""
Cuent_Castle_after#0,"""쿠엔트성터"""
Epic_border_fort#0,"""국경의 성채"""
Epic_border_village#0,"""국경의 마을"""
Epic_Castle#0,"""에픽 왕도"""
Epic_fort_east#0,"""동쪽 서채"""
Epic_fort_north#0,"""북쪽 서채"""
Epic_fort_south#0,"""남쪽 서채"""
Epic_fort_west#0,"""서쪽 서채"""
Cuent_Luisa#0,"""루이자"""
Mine_region1#0,"""쿠엔트 협곡"""
Mine_region2#0,"""루서 연구시설"""
Mine_region3#0,"""쿠엔트 협곡 칼데라 호"""
secret#0,"""？？？"""
Epic_Desert#0,"""에픽 사막"""
Epic_DesertCave#0,"""사막 동굴"""
Es_ars_Castle#0,"""이스=아르스 수도"""
Es_ars_Castle_Sub#0,"""이스=아르스 수도 근교"""
Es_ars_Border#0,"""쿠엔트-이스=아르스 국경선"""
Es_ars_canyon#0,"""이스=아르스  협곡"""
Es_ars_Border2#0,"""쿠엔트-이스=아르스 국경 부근"""
Blackcocoon#0,"""검은 고치"""
Cuent_East_Grassland#0,"""쿠엔트 동부 초원"""
