RenameTitle#0,"""Cambiar nombre"""
Rename#0,"""El nombre de $(2)<br>sera cambiado.<br>Por favor introduce el nuevo.<br><br><yellow>Mesetas requeridas: $(0) {Actuales: $(1))<c>"""
RenameConfirm#0,"""El Nombre de tu Mascota Sera Cambiado.<br>Continuar?<br><br>Antes del Cambio: $(1)<br><yellow>Despues del Cambio: $(0)<c>"""
RenameSuccess#0,"""Nombre de Mascota Cambiado."""
NamingTitle#0,"""Poner Nombre a la Mascota"""
Naming#0,"""Elegir Nombre Para tu Mascota.<br>Intruduce el Nombre de tu Mascota.<br><br><yellow>※Tu lo Podras Cambiar al usar Laboratorio de Mascota.<c>"""
NamingConfirm#0,"""Registrarse como \""$(0)\""?<br><br>※Si el Huevo es del Mismo Tipo que uno Registrado<br>Mascota Pero es de una Mayor Rareza <yellow>Evolución de la Rareza<c> at<br>el Laboratorio de Mascota es Recomendado."""
NamingSuccess#0,"""Mascota Registrada Puedes Usarlo en Cualquier Takt"""
HatchedTitle#0,"""Mascotas"""
POTENTIAL_000000#0,"""ポテンシャル０の説明"""
POTENTIAL_000001#0,"""ポテンシャル１の説明"""
POTENTIAL_000002#0,"""ポテンシャル２の説明"""
POTENTIAL_000003#0,"""ポテンシャル３の説明"""
POTENTIAL_000000#1,"""ポテンシャル０"""
POTENTIAL_000001#1,"""ポテンシャル１"""
POTENTIAL_000002#1,"""ポテンシャル２"""
POTENTIAL_000003#1,"""ポテンシャル３"""
Title#0,"""Mascotas"""
Command1#0,"""Alimentar mascota"""
Command2#0,"""Caja de dulces"""
Command3#0,"""Liberar mascota"""
Empty#0,"""No hay mascotas"""
Title#1,"""Detalles de la mascota"""
Empty#1,"""Sin Mascota Seleccionada"""
Tab1#0,"""1"""
Tab2#0,"""2"""
Tab3#0,"""3"""
Tab4#0,"""4"""
Ability#0,"""Personalidad"""
Title#2,"""Caja de dulces"""
candyadd#0,"""Agregar Dulce"""
candyremove#0,"""Mover y quitar un dulce"""
Edit#0,"""Editar caja de dulces"""
AllErase#0,"""Borrar todos los dulces"""
Remover#0,"""Quitar dulces"""
AllRemover#0,"""Remover todos los dulces"""
IceCrush#0,"""Borrar Cubo de Caramelo"""
RemoverMessage#0,"""Esto devolverá el Caramelo.<br>a tu inventario. Estas de Acuerdo?<br><br><yellow>Removedor de Dulces Requerido(s): 1<br>(Actualmente: $(0))<c>"""
AllEraserMessage#0,"""Esta Podra <yellow>Borrar Todos los Caramelos<c><br>Dentro de tu Caja de Dulces. Estas de Acuerdo?<br><br><c ff4f3f>※Dulces que se Borran<br>no puede ser restaurado.<c><br><br><yellow>Requerido Todo Candy Eraser: 1<br>(Tienes: $(0))<c>"""
RemoverResultMessage#0,"""Dulce fue devuelto<br>a tu Inventario."""
AllEraserResultMessage#0,"""Todos los Caramelos Fueron Borrados<br>De tu Caja de Dulces"""
IceCrushMessage#0,"""Eliminando el Cubo de Caramelo.<br>¿Estás seguro?<br><br><yellow>Requiere Trituradoras de Caramelo: 1<br>(Tienes: $(0))<c>"""
IceCrushResultMessage#0,"""Cubo de Caramelo Eliminado"""
SaveMessage#0,"""Agregando lo Siguiente a la caja de Dulces.<br>¿Estás Seguro?"""
SaveMessage2#0,"""Eliminaras los Siguientes Caramelos.<br>¿Está seguro?<br><br><c ff4f3f>※Dulces Eliminados no se Pueden Restaurar.<c><br><yellow>Requiere Borra-Caramelo: $(0)<br>(Tienes: $(1))<c>"""
CancelSaveMessage#0,"""Descartando Cambios y Regresando.<br>¿Estás Seguro?<br>(Después de Editar, Guarda los Cambios con el botón de \""Confirmacion\"")"""
SaveResultMessage#0,"""Contenido de la Caja de Caramelos<br>guardado."""
Move#0,"""Mover"""
Detach#0,"""Remover Temporalmente"""
CandyList#0,"""Lista de dulces"""
