TitleLogo_Enter#0,"""กดปุ่ม ENTER"""
TitleLogo_Start#0,"""กดปุ่ม START"""
TitleLogo_CopyRight#0,"""(C)SEGA"""
TitleLogo_PS4#0,"""กดปุ่มใดก็ได้"""
Title_IdSelect#0,"""เมนูล็อกอิน"""
Title_IdSelect_v#0,"""เมนูล็อกอิน"""
Title_Login#0,"""เลือก Ship"""
Title_StartMenuSelect#0,"""เมนูเริ่มต้น (Ship ปัจจุบัน: $(0))"""
Title_StartMenuSelect_Vita#0,"""เมนูเริ่มต้น"""
Title_CharacterSelect#0,"""เลือกตัวละคร (Ship ปัจจุบัน: $(0))"""
Title_CharacterSelect_Vita#0,"""เลือก/สร้างตัวละคร"""
Title_CharacterMake#0,"""สร้างตัวละคร"""
Title_BenchmarkMenu#0,"""ทดสอบประสิทธิภาพ"""
Title_ShipList#0,"""รายชื่อ Ship"""
Title_CharacterList#0,"""รายชื่อตัวละคร"""
Title_StartMenu#0,"""เมนูเริ่มต้น"""
Title_FirstPlay#0,"""สำหรับผู้เล่นใหม่"""
Title_RecommandShip#0,"""เริ่มเกมเป็นครั้งแรก"""
Title_IdSelect_cc#0,"""เมนูล็อกอิน"""
Title_IssueUserIdName#0,"""ออกชื่อ Player ID"""
Language_WindowTitle#0,"""ตั้งค่าภาษา"""
Title_hange#0,"""ย้ายข้อมูลไปยัง SEGA ID"""
Title_Xone_Invite#0,"""-"""
Title_IdSelect#1,"""เลือก \""เริ่มเกม\"" เพื่อเข้าเล่นเกม หรือเลือก \""เปลี่ยนข้อมูลผู้ใช้\"" เพื่อเปลี่ยนอีเมลและอื่นๆ"""
Title_IdSelect_v#1,"""<c f0df60>ในการเริ่มเกม คุณต้องล็อกอินเข้าสู่ PlayStation Network จาก \""เริ่มเกม\""<c>"""
Title_Login#1,"""กรุณาเลือก Ship"""
Title_StartMenuSelect#1,"""กรุณาเลือกตัวเลือก"""
Title_CharacterSelect#1,"""เลือกตัวละคร หรือเลือก \""สร้างตัวละครใหม่\"""
