Primm#0,"""프림 시리즈"""
Tzvia#0,"""츠비어 시리즈"""
Silver Primm#0,"""실버 프림 시리즈"""
Trois De#0,"""트로와데 시리즈"""
Theseus#0,"""테르세우스 시리즈"""
Gold Primm#0,"""골드 프림 시리즈"""
Glissen#0,"""그리센 시리즈"""
Frostel#0,"""フロステル 시리즈"""
Cattleya#0,"""キャトリア 시리즈"""
Vialto#0,"""ヴィアルト 시리즈"""
Foursis#0,"""フォーシス 시리즈"""
Resurgir#0,"""リサージュ 시리즈"""
Flamel#0,"""フランメル 시리즈"""
Evolcoat#0,"""エヴォルコート 시리즈"""
Straga#0,"""ストラーガ 시리즈"""
Tempesta#0,"""テンペスター 시리즈"""
Quintel#0,"""クィンテル 시리즈"""
Gothica#0,"""ゴルシカ 시리즈"""
Fivla#0,"""フィブラ 시리즈"""
Greaga#0,"""グレティーガ 시리즈"""
Relik#0,"""レリク 시리즈"""
Cinquem#0,"""サンクエイム 시리즈"""
Lumiere#0,"""ルメイラー 시리즈"""
Obscura#0,"""オブスクラル 시리즈"""
Kukuhroziat#0,"""ククロゼアト 시리즈"""
Sechetyl#0,"""ゼクストル 시리즈"""
Rokz#0,"""ロクス 시리즈"""
Sixiemes#0,"""-"""
Roughewn#0,"""-"""
Evolorbit#0,"""エヴォルオーヴァ 시리즈"""
Renaissa#0,"""レネッサ 시리즈"""
Evoleclipse#0,"""エヴォルイクリス 시리즈"""
Vladstram#0,"""ヴラドストラム 시리즈"""
Rugged#0,"""ラゲード 시리즈"""
Etincelle#0,"""エティンセル 시리즈"""
Kaizaar#0,"""カイゼラム 시리즈"""
Codeck#0,"""コルディーク 시리즈"""
Crystia#0,"""クリスティア 시리즈"""
Obsidia#0,"""オブゾディア 시리즈"""
Effulgent#0,"""セイガヨウ 시리즈"""
Tenebrous#0,"""セイガイン 시리즈"""
Primm Libra#0,"""プリム・リブラ 시리즈"""
Kouklophis#0,"""ククロフィス 시리즈"""
Gunblaze#0,"""ガンブレイズ 시리즈"""
Neos Astraean#0,"""네오스 아스트리온 시리즈"""
Neos Justitean#0,"""네오스 유스티론 시리즈"""
Trunkul#0,"""트렁쿨 시리즈"""
Tisah#0,"""테스아 시리즈"""
Revita#0,"""리바이터 시리즈"""
Hextra#0,"""엑스텔 시리즈"""
Revolcoat#0,"""레볼코트 시리즈"""
Monarkais#0,"""모노렉스 시리즈"""
Verschmelz#0,"""ファーシュメルシリーズ"""
Flugelgard#0,"""フリューガルドシリーズ"""
Alcinq#0,"""アルクエイムシリーズ"""
Brawnaga#0,"""ブロナーガシリーズ"""
Herite#0,"""ヘリテシリーズ"""
Melek#0,"""멜레크 시리즈"""
Variocool#0,"""바리오클 시리즈"""
Argenti#0,"""라쟌티에 시리즈"""
Qual De#0,"""쿠알데 시리즈"""
Geant#0,"""지온트 시리즈"""
Greas#0,"""グライアス 시리즈"""
Vijf#0,"""ヴェフス 시리즈"""
Vida#0,"""ヴィダー 시리즈"""
Vio#0,"""ヴィオー 시리즈"""
Schwar#0,"""シュヴァル 시리즈"""
1064_test#0,"""セスタト 시리즈"""
Sestato#0,"""セスタト 시리즈"""
1065_test#0,"""ディフロー 시리즈"""
Defro#0,"""ディフロー 시리즈"""
1066_test#0,"""ベルグリン 시리즈"""
Behlgren#0,"""ベルグリン 시리즈"""
1067_test#0,"""エルヴィオース 시리즈"""
El Vios#0,"""エルヴィオース 시리즈"""
1068_test#0,"""アンシェン 시리즈"""
Ancien#0,"""アンシェン 시리즈"""
Provo#0,"""プロヴォ 시리즈"""
Sest#0,"""세스티 시리즈"""
Efitus#0,"""에피타스 시리즈"""
Gun Blade#0,"""￥ガンスラッシュシリーズ"""
