extra_assign#0,"""exq_$(0)"""
exq_EnemyAtkDown_010#0,"""Attack baja 10%"""
exq_EnemyAtkDown_020#0,"""Attack baja 20%"""
exq_EnemyAtkDown_030#0,"""Attack baja 30%"""
exq_EnemyAtkDown_040#0,"""Attack baja 40%"""
exq_EnemyAtkDown_050#0,"""Attack baja 50%"""
exq_EnemyAtkDown_060#0,"""Attack baja 60%"""
exq_EnemyAtkDown_070#0,"""Attack baja 70%"""
exq_EnemyAtkDown_080#0,"""Attack baja 80%"""
exq_EnemyAtkDown_090#0,"""Attack baja 90%"""
exq_EnemyAtkUp_010#0,"""Incremento de Ataque 10%"""
exq_EnemyAtkUp_020#0,"""Incremento de Ataque 20%"""
exq_EnemyAtkUp_030#0,"""Incremento de Ataque 30%"""
exq_EnemyAtkUp_040#0,"""Incremento de Ataque 40%"""
exq_EnemyAtkUp_050#0,"""Incremento de Ataque 50%"""
exq_EnemyAtkUp_060#0,"""Incremento de Ataque 60%"""
exq_EnemyAtkUp_070#0,"""Incremento de Ataque 70%"""
exq_EnemyAtkUp_080#0,"""Incremento de Ataque 80%"""
exq_EnemyAtkUp_090#0,"""Incremento de Ataque 90%"""
exq_EnemyAtkUp_100#0,"""Incremento de Ataque 100%"""
exq_EnemyAtkUp_200#0,"""Incremento de Ataque 200%"""
exq_EnemyAtkUp_300#0,"""Incremento de Ataque 300%"""
exq_EnemyAtkUp_400#0,"""Incremento de Ataque 400%"""
exq_EnemyAtkUp_500#0,"""Incremento de Ataque 500%"""
exq_EnemyDefDown_010#0,"""Defensa reducida en 10%"""
exq_EnemyDefDown_020#0,"""Defensa reducida en 20%"""
exq_EnemyDefDown_030#0,"""Defensa reducida en 30%"""
exq_EnemyDefDown_040#0,"""Defensa reducida en 40%"""
exq_EnemyDefDown_050#0,"""Defensa reducida en 50%"""
exq_EnemyDefDown_060#0,"""Defensa reducida en 60%"""
exq_EnemyDefDown_070#0,"""Defensa reducida en 70%"""
exq_EnemyDefDown_080#0,"""Defensa reducida en 80%"""
exq_EnemyDefDown_090#0,"""Defensa reducida en 90%"""
exq_EnemyDefUp_010#0,"""Defensa Aumentada 10%"""
exq_EnemyDefUp_020#0,"""Defensa Aumentada 20%"""
exq_EnemyDefUp_030#0,"""Defensa Aumentada 30%"""
exq_EnemyDefUp_040#0,"""Defensa Aumentada 40%"""
exq_EnemyDefUp_050#0,"""Defensa Aumentada 50%"""
exq_EnemyDefUp_060#0,"""Defensa Aumentada 60%"""
exq_EnemyDefUp_070#0,"""Defensa Aumentada 70%"""
exq_EnemyDefUp_080#0,"""Defensa Aumentada 80%"""
exq_EnemyDefUp_090#0,"""Defensa Aumentada 90%"""
exq_EnemyHpUp_10#0,"""HP Aumenta 10%"""
exq_EnemyHpUp_20#0,"""HP Aumenta 20%"""
exq_EnemyHpUp_30#0,"""HP Aumenta 30%"""
exq_EnemyHpUp_40#0,"""HP Aumenta 40%"""
