Title_DeadMenu#0,"""전투 불능 메뉴"""
Label_Return#0,"""캠프 쉽으로 돌아가기"""
Label_Revival#0,"""이 장소에서 부활하기"""
Title_Return#0,"""캠프 쉽으로 돌아가기"""
Message_Return#0,"""캠프 쉽으로 돌아갑니다.<br>괜찮으시겠습니까?"""
Message_Return_NoReward#0,"""캠프 쉽으로 돌아갑니다.<br>괜찮으시겠습니까?<br><br><red>※한 번 캠프 쉽으로 돌아가면<br>보수를 받을 수 없게 됩니다.<c>"""
Title_Revival#0,"""이 장소에서 부활하기"""
Message_Revival#0,"""이 장소에서 부활합니다.<br>괜찮으시겠습니까?"""
Message_Revival_NoReward#0,"""이 장소에서 부활합니다.<br>괜찮으시겠습니까?<br><br><red>※한 번 부활하면<br>보수를 받을 수 없게 됩니다.<c>"""
Message_ReturnFailure#0,"""지금은 캠프 쉽으로 돌아갈 수 없습니다"""
Message_RevivalFailure#0,"""지금은 부활할 수 없습니다."""
Label_Failure#0,"""퀘스트 리타이어"""
Message_Failure#0,"""퀘스트를 리타이어 합니다.<br>괜찮으시겠습니까?"""
Label_FailurePartyExit#0,"""퀘스트 리타이어 (파티 탈퇴)"""
Message_FailurePartyExit#0,"""퀘스트를 리타이어하고<br>파티를 탈퇴합니다.<br>괜찮으시겠습니까?"""
Label_Chat#0,"""채팅하기"""
Label_UseHalf#0,"""하프 돌을 사용해서 부활"""
Title_HalfDollUse#0,"""하프 돌 사용"""
Message_HalfDollUse#0,"""하프 돌을 사용해서 부활합니다.<br>괜찮으시겠습니까?<br><br><yellow>※하프 돌은 앞으로 $(1)회 사용 가능합니다.<br>사용 횟수는 캠프쉽에 돌아가는 것으로 회복됩니다.<c><br>（소지수: $(0)）"""
Message_HalfDollNotRemain#0,"""하프 돌 사용 횟수가 $(1)회여서 부활할 수 없습니다.<br><br><yellow>※캠프 쉽으로 돌아가는 것으로 $(2)회까지 회복됩니다.<c><br>（소지수: $(0)）"""
Message_HalfDollNotHave#0,"""소지한 하프 돌이 없어서 부활할 수 없습니다.<br><br><yellow>※하프 돌은 소지하는 것으로<br>$(0)회까지 사용 가능합니다.<br>사용 횟수는 캠프쉽에 돌아가는 것으로 회복됩니다.<c>"""
Message_CanNowUseHalfDoll#0,"""하프 돌 사용 횟수가 회복됐습니다."""
Message_Revive_count#0,"""10초 후에 자동으로 부활합니다."""
Message_Revive_count_5#0,"""5초 후에 자동으로 부활합니다."""
Message_Revive_count_Time#0,"""$(0)초 후에 자동으로 부활합니다."""
Title_RetryConform#0,"""리트라이 메뉴"""
Label_Retry#0,"""리트라이 하기"""
Title_RetrySelect#0,"""리트라이 선택"""
Message_Retry#0,"""퀘스트를 리트라이 하시겠습니까?<br><br><red>※리트라이 후에는 퀘스트 개시 전 상태로 돌아갑니다.<c>"""
FastTravelTerminal_Revival#0,"""류커 디바이스 앞으로 돌아가기"""
FastTravelTerminal_Revival_NoReward#0,"""류커 디바이스 앞으로 돌아갑니다<br>괜찮으시겠습니까?"""
FastTravelTerminal_Revival_NoReward_name#0,"""$(0)의<br>류커 디바이스 앞으로 돌아갑니다<br>괜찮으시겠습니까?"""
Central_Revival#0,"""센트럴 시티로 돌아가기"""
Central_Revival_NoReward#0,"""센트럴 시티로 돌아갑니다<br>괜찮으시겠습니까?"""
Emergency_Revival#0,"""여기서 부활"""
Emergency_Revival_Count#0,"""$(0)초 후"""
Prologue_Revival_message#0,"""이 퀘스트는 전투 불능이 됐을 때 자동적으로 부활합니다."""
Non_Text#0,"""텍스트 표시하지 않음"""
Menu_Main#0,"""메인 메뉴"""
