tut_006207#0,"""레스타 사인"""
tut_006208#0,"""서브 팔레트"""
tut_006213#0,"""록온/록온 교체"""
tut_006219#0,"""통상공격을 통한 PP회복"""
tut_006221#0,"""아이템 컨테이너"""
tut_006222#0,"""아이템팩"""
tut_006223#0,"""방어구 장비"""
tut_006225#0,"""약점 속성"""
tut_006226#0,"""약점 부위"""
tut_006229#0,"""E 마커"""
tut_006230#0,"""멀티 플레이"""
tut_006231#0,"""코쿤"""
tut_006232#0,"""월킥"""
tut_006233#0,"""서브 팔레트 커스터마이징"""
tut_006234#0,"""포톤 블래스트"""
tut_006235#0,"""스킬 포인트"""
tut_006236#0,"""클래스 카운터"""
tut_006237#0,"""스킬트리"""
tut_006238#0,"""스킬 리셋"""
tut_006239#0,"""헌터"""
tut_006240#0,"""레인저"""
tut_006241#0,"""포스"""
tut_006242#0,"""파이터"""
tut_006243#0,"""거너"""
tut_006244#0,"""텍터"""
tut_006245#0,"""아크스 캐쉬와 AC샵"""
tut_006246#0,"""스타잼과 SG샵"""
tut_006247#0,"""스텝 카운터"""
tut_006248#0,"""대검 (소드)"""
tut_006249#0,"""장창 (파르티잔)"""
tut_006250#0,"""자재창 (와이어드 랜스)"""
tut_006251#0,"""장총 (라이플)"""
tut_006252#0,"""대포 (런처)"""
tut_006253#0,"""장장 (로드)"""
tut_006254#0,"""도구 (탈리스)"""
tut_006255#0,"""강권 (너클)"""
tut_006256#0,"""양검 (더블 세이버)"""
tut_006257#0,"""쌍소검 (트윈 대거)"""
tut_006258#0,"""쌍기총 (트윈 머신 건)"""
tut_006259#0,"""단장 (완드)"""
tut_006261#0,"""창고"""
tut_006262#0,"""『PSO2』와의 공유요소"""
tut_006263#0,"""무기 장비"""
tut_006264#0,"""메인 팔레트 교체"""
tut_006265#0,"""서브 팔레트 교체"""
tut_006266#0,"""메인 태스크"""
tut_006267#0,"""사이드 태스크"""
tut_006268#0,"""류커 디바이스"""
tut_006269#0,"""텔레포트"""
tut_006270#0,"""월드맵"""
tut_006271#0,"""탐색 섹션"""
tut_006272#0,"""개더링"""
tut_006273#0,"""테임즈"""
tut_006274#0,"""퀵 푸드"""
tut_006275#0,"""섹션 정보"""
tut_006276#0,"""퀵 메뉴"""
tut_006277#0,"""메인 팔레트 커스터마이징"""
tut_006278#0,"""무기 혹은 방어구 강화"""
tut_006280#0,"""전투력"""
tut_006281#0,"""데일리/위클리 태스크"""
tut_006283#0,"""태스크의 가이드 정보"""
tut_006284#0,"""미션 패스"""
tut_006285#0,"""파티"""
tut_006287#0,"""리버서 사인"""
tut_006288#0,"""아크스 카드"""
tut_006289#0,"""스탬프"""
tut_006290#0,"""채팅"""
tut_006291#0,"""로비 액션"""
tut_006293#0,"""이전 작업 취소 및 재실행"""
tut_006294#0,"""패러미터"""
tut_006295#0,"""전투 불능 메뉴"""
tut_006296#0,"""트라이얼"""
tut_006297#0,"""날씨"""
tut_006298#0,"""오디널 타워"""
tut_006299#0,"""에스테"""
tut_006300#0,"""퀘스트 창고"""
tut_006301#0,"""드랍 창고"""
tut_006302#0,"""블록 창고"""
tut_006304#0,"""모션 변경"""
tut_006305#0,"""프렌드리스트"""
tut_006306#0,"""숏컷 워드"""
tut_006307#0,"""오토 워드"""
tut_006308#0,"""아크스 서치"""
tut_006309#0,"""그룹 채팅"""
tut_006310#0,"""심볼아트"""
tut_006311#0,"""조작설정"""
tut_006312#0,"""퀘스트 파기"""
tut_006313#0,"""부스트 아이템"""
