PlayNav_Unit1_Item1#0,"""Lv.7 도달하기"""
PlayNav_Unit1_Index1#0,"""・에너미를 쓰러뜨리기"""
PlayNav_Unit1_Item2#0,"""장비를 변경하기"""
PlayNav_Unit1_Index2#0,"""・레네사 시리즈 무기와 방어구를 장비하기"""
PlayNav_Unit2_Item1#0,"""Lv.10 도달하기"""
PlayNav_Unit2_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>마그너스산"""
PlayNav_Unit2_Item2#0,"""장비를 강화하기"""
PlayNav_Unit2_Index2#0,"""・레네사 시리즈의 무기와 방어구 강화치를 +30으로 만들기<br>・각 장비에 특수 능력을 2개 추가하기"""
PlayNav_Unit2_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit2_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 10개 배우기"""
PlayNav_Unit3_Item1#0,"""Lv.15 도달하기"""
PlayNav_Unit3_Index1#0,"""・사이드 태스크를 달성하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>반포드 연구소 유적"""
PlayNav_Unit3_Item2#0,"""장비를 강화하기"""
PlayNav_Unit3_Index2#0,"""・레네사 시리즈의 무기와 방어구의 한계를 돌파하기<br>・각 장비의 강화치를+40으로 만들기<br>・각 장비에 특수 능력을 2개 추가하기<br>・레네사 시리즈의 무기 잠재 능력을 Lv.1까지 해방시키기"""
PlayNav_Unit3_Item3#0,"""클래스 스킬을 습득하기"""
PlayNav_Unit3_Index3#0,"""・트레이니아를 클리어 하고 스킬 포인트를 얻기<br>・클래스 카운터에서 메인 클래스 및<br>서브 클래스의 클래스 스킬을 총 12개 배우기"""
PlayNav_Unit4_Item1#0,"""Lv.15 도달하기"""
PlayNav_Unit4_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>반포드 연구소 유적"""
PlayNav_Unit4_Item2#0,"""장비를 강화하기"""
PlayNav_Unit4_Index2#0,"""・레네사 시리즈의 무기와 방어구의 한계를 돌파하기<br>・각 장비의 강화치를+40으로 만들기<br>・각 장비에 특수 능력을 2개 추가하기<br>・레네사 시리즈의 무기 잠재 능력을 Lv.2까지 해방시키기"""
PlayNav_Unit4_Item3#0,"""특수 능력 캡슐을 얻기"""
PlayNav_Unit4_Index3#0,"""・아래의 섹션에서 특수 능력 캡슐을 얻기<br>타격 클래스: 마그너스산<br>사격 클래스: 반포드 연구소 유적<br>법격 클래스: 반포드 연구소 유적, 탐색 섹션"""
PlayNav_Unit5_Item1#0,"""Lv.18 도달하기"""
PlayNav_Unit5_Index1#0,"""・사이드 태스크를 달성하기<br>・배틀디아를 클리어하기<br>・아래 전투 섹션에서 에너미를 쓰러뜨리기<br>레졸의 숲"""
PlayNav_Unit5_Item2#0,"""장비를 강화하기"""
PlayNav_Unit5_Index2#0,"""・레어리티 ★4의 무기와 방어구 강화치 +40으로 만들기<br>・각각의 장비에 특수 능력을 4개 추가하기<br>・레어리티 ★4 무기의 잠재 능력을 Lv.3까지 해방시키기"""
PlayNav_Unit5_Item3#0,"""특수 능력 캡슐을 얻기"""
PlayNav_Unit5_Index3#0,"""・아래의 섹션에서 특수 능력 캡슐을 얻기<br>타격 클래스: 마그너스산<br>사격 클래스: 반포드 연구소 유적<br>법격 클래스: 레졸의 숲"""
