ErrorTitle#0,"""코디 카탈로그 에러"""
ErrorDBAccess#0,"""데이터베이스 엑세스에 실패했습니다.<br><br>잠시 후 다시 시도해주세요."""
ErrorUnknown#0,"""예기치 못한 오류가 발생했습니다.<br><br>잠시 후 다시 시도해주세요."""
ErrorInfoNotFound#0,"""코디 카탈로그에 등록되어 있지 않습니다."""
ErrorEtc#0,"""예기치 못한 오류가 발생했습니다.<br><br>기타 오류($(0))"""
Error_DataNone#0,"""해당 데이터가 없습니다"""
FashioncatSearchTitle#0,"""모두의 코디에서 찾기"""
FashioncatListTitle#0,"""모두의 코디를 보기"""
CharacterListTitle#0,"""캐릭터 리스트"""
TitleProfile#0,"""코디 정보"""
TitleRegist#0,"""나의 코디를 등록"""
TitleSearchWord#0,"""검색용 태그 (일/영어)"""
TitleComment#0,"""코멘트"""
TitleLike#0,"""좋아요!"""
TitleLikeClose#0,"""좋아요!"""
TitlePose#0,"""재생할 로비 액션"""
TitleExpression#0,"""표정"""
LabelViewNum#0,"""조회수"""
LabelLike#0,"""좋아요!"""
Message#0,"""<pict like_icon>좋아요!<br><pict cute_icon>귀여워요!<br><pict cool_icon>멋져요!<br><pict funny_icon>재미있어요!<br><br>4개의 메시지 중 1개를 선택하여<br>「코멘트 있는 굿잡」으로<br>상대에게 보낼 수 있습니다.<br><br>※굿잡을 통한 FUN 획득은 1일 10회까지<br>(같은 상대에게서 얻는 FUN 획득은 1일 1회까지)<br>※굿잡 송신이 목표인 클라이언트 오더나<br>\u3000빙고 오더는 달성되지 않습니다."""
Message_rb#0,"""<pict like_icon>좋아요!<br><pict cute_icon>귀여워요!<br><pict cool_icon>멋져요!<br><pict funny_icon>재미있어요!<br><br>4개의 메시지 중 1개를 선택하여<br>「코멘트 있는 굿잡」으로<br>상대에게 보낼 수 있습니다.<br>"""
ReceiveMessage#0,"""仮テキスト (いいね！送信完了文)"""
Point#0,"""기본 포인트"""
FrendPoint#0,"""프랜드 포인트"""
PremiumPoint#0,"""프리미엄 포인트"""
Sum#0,"""합계"""
Plus#0,"""＋"""
LabelColon#0,"""："""
LabelName#0,"""캐릭터 이름"""
LabelCategory#0,"""장르"""
LabelTribal#0,"""종족"""
LabelGender#0,"""타입"""
LabelTribalGender#0,"""종족(타입)"""
LabelSort#0,"""정렬"""
LabelMonthly#0,"""월간"""
LabelTotal#0,"""누계"""
SearchButton#0,"""열람하기"""
LikeButton#0,"""좋아요!"""
SendButton#0,"""전송"""
CloseButton#0,"""닫기"""
CancelButton#0,"""취소"""
BackButton#0,"""뒤로"""
DecideButton#0,"""결정"""
RegistButton#0,"""북마크에 등록"""
ButtonPose#0,"""로비 액션 선택"""
ButtonExpression#0,"""표정 선택"""
SearchInfo#0,"""<c 808080>태그 입력<c>"""
Item_View#0,"""조회수가 많은 순"""
Item_Nice#0,"""좋아요!가 많은 순"""
Item_New#0,"""갱신 일시 순"""
Item_Back#0,"""뒤로"""
Item_Default#0,"""모든 장르"""
Item_Cute#0,"""귀여움"""
Item_Cool#0,"""멋짐"""
Item_Beauty#0,"""아름다움"""
Item_Elegant#0,"""엘레강트"""
Item_Wild#0,"""와일드"""
Item_Intellectual#0,"""인텔리"""
Item_Dark#0,"""다크"""
Item_Sexy#0,"""섹시"""
Item_Indoor#0,"""인도어"""
Item_Interesting#0,"""웃김"""
Item_Default#1,"""모든 종족"""
Item_Human#0,"""휴먼"""
Item_Newman#0,"""뉴먼"""
Item_Cast#0,"""캐스트"""
Item_Dewman#0,"""듀먼"""
ItemBase_Men#0,"""$(0) (타입1)"""
ItemBase_Female#0,"""$(0) (타입2)"""
Item_Default#2,"""모든 타입"""
Item_Male#0,"""타입1"""
Item_Female#0,"""타입2"""
Item_Default#3,"""랜덤"""
Item_View#1,"""조회수순"""
Item_Nice#1,"""좋아요!순"""
Item_New#1,"""등록순"""
CatReleaseConfirm_Title#0,"""등록을 취소하기"""
CatReleaseConfirm_Message#0,"""현재 등록중인 코디 정보를<br>코디 카탈로그 등록을 취소하여<br>표시되지 않도록 합니다.<br><br><c c0c0c0>※등록 중인 코디 정보를 갱신하고 싶은 경우엔<br>\u3000취소가 아닌 「나의 코디를 등록」에서<br>\u3000덮어쓰기 갱신을 할 수 있습니다.<c><br><br>괜찮으시겠습니까?"""
CatReleaseResult_Success#0,"""등록을 취소했습니다"""
CatReleaseResult_NotRegister#0,"""코디 카탈로그에 등록되어 있지 않습니다."""
CatReleaseResult_Error#0,"""등록 취소에 실패했습니다."""
Item_Default#4,"""등록하고 싶은 장르를 선택 (필수)"""
TitleSearchWord1#0,"""태그 1"""
TitleSearchWord2#0,"""태그 2"""
TitleSearchWord3#0,"""태그 3"""
EditDefaultSearchWord1#0,"""<c 808080>기입 가능<c>"""
EditDefaultSearchWord2#0,"""<c 808080>기입 가능<c>"""
EditDefaultSearchWord3#0,"""<c 808080>기입 가능<c>"""
TitleComment#1,"""코멘트"""
EditDefaultComment#0,"""<c 808080>코멘트를 기입할 수 있습니다. (일/영어)<c>"""
ReceiveMessage#1,"""코디 카탈로그에 등록했습니다."""
WarningClosableCategoryDefault#0,"""카테고리란은 반드시 어느 항목이든 선택해 주세요."""
WarningClosableSmutFilter#0,"""「$(0)」란에<br>사용할 수 없는 단어 또는 기호가<br>포함되어 있습니다."""
WarningYesNoResist#0,"""새로 등록하는 경우에는 이미 등록된 프로필의<br>좋아요!등의 월간 카운트가 리셋됩니다.<br><br>새로 등록해도 괜찮으시겠습니까?"""
WarningClosableDupeTag#0,"""「검색용 태그」에 같은 단어가 2개 이상 있습니다.<br>다른 단어로 하거나 빈칸으로 해주세요."""
ErrorClosableErrorDB#0,"""데이터베이스 엑세스에 실패했습니다.<br><br>잠시 후 다시 시도해주세요."""
ErrorClosableErrorBAN#0,"""코디 카탈로그 등록에 실패했습니다."""
ErrorClosableErrorUnknown#0,"""예기치 못한 오류가 발생했습니다.<br><br>잠시 후 다시 시도해주세요."""
ErrorClosableImproperData#0,"""현재 외형 데이터는 문제가 있어<br>코디 카탈로그에 등록할 수 없습니다.<br><br>마이 패션에서 다른 데이터를 적용하여 등록하거나<br>에스테에서 수정해주세요."""
