Symbol_Common_ID#0,"""파츠 ID"""
Symbol_Common_Name#0,"""파츠 이름"""
Symbol_Common_Pos#0,"""배치 좌표"""
Symbol_Common_Height#0,"""세로폭"""
Symbol_Common_Wight#0,"""가로폭"""
Symbol_Common_Rotate#0,"""기울기"""
Symbol_Common_Alpha#0,"""투명도"""
Symbol_Common_Color#0,"""색상"""
Symbol_Common_Folder#0,"""표시 계층"""
Symbol_Common_Visible#0,"""숨기기"""
Symbol_Common_GroupID#0,"""그룹 ID"""
Symbol_Common_ColorA#0,"""A"""
Symbol_Common_ColorR#0,"""R"""
Symbol_Common_ColorG#0,"""G"""
Symbol_Common_ColorB#0,"""B"""
Symbol_Common_PosX#0,"""X"""
Symbol_Common_PosY#0,"""Y"""
EditVectorSet#0,"""심볼 아트를 등록하기"""
EditVectorClear#0,"""등록을 해제하기"""
SoundFile_00_vita#0,"""말풍선 소리 따라"""
SoundFile_00#0,"""효과음 선택"""
SoundFile_01#0,"""무음"""
SoundFile_02#0,"""일반"""
SoundFile_03#0,"""기쁨"""
SoundFile_04#0,"""분노"""
SoundFile_05#0,"""슬픔"""
SoundFile_06#0,"""불안"""
SoundFile_07#0,"""놀람"""
SoundFile_08#0,"""의문"""
SoundFile_09#0,"""도움!"""
SoundFile_10#0,"""휘슬"""
SoundFile_11#0,"""부끄"""
SoundFile_12#0,"""キメ！"""
ColorSelectForm_Color_Title#0,"""컬러 조정"""
ColorSelectForm_Alpha_Title#0,"""투명도 설정"""
EditForm_Color_Exp#0,"""파츠의 색상을 설정해주세요."""
EditForm_Alpha_Exp#0,"""파츠의 투명도를 설정해주세요."""
MoneyForm_Title#0,"""-"""
MoneyForm_Button_Up#0,"""-"""
MoneyForm_Exp#0,"""-"""
EditForm_Title#0,"""심볼 아트 편집"""
EditForm_Button_Save#0,"""덮어쓰기"""
EditForm_Button_AsSave#0,"""다른 슬롯에 저장"""
EditForm_Button_NameEdit#0,"""이름 바꾸기"""
EditForm_Button_Create#0,"""파츠 추가"""
EditForm_Sort_Big#0,"""표준 사이즈 (채팅/프로필용)"""
EditForm_Sort_Normal#0,"""중형 사이즈 (룸 장식용)"""
EditForm_Sort_Mini#0,"""소형 사이즈 (팀 플래그용)"""
EditForm_Button_Back#0,"""실행취소"""
EditForm_Button_Front#0,"""다시실행"""
EditForm_Button_Minus#0,"""－"""
EditForm_Button_Plus#0,"""＋"""
EditForm_Zoom#0,"""$(0)％ 표시"""
EditForm_Title_AddStr#0,"""* (갱신)"""
EditForm_VITA_Help#0,"""도움말"""
EditForm_VITA_Menu#0,"""<pict Sign_SELECT>메뉴"""
EditForm_VITA_Menu_Create#0,"""새로운 파츠 만들기"""
EditForm_VITA_Menu_Save#0,"""덮어쓰기"""
EditForm_VITA_Menu_SaveAs#0,"""다른 슬롯에 저장"""
EditForm_VITA_Menu_NameEdit#0,"""이름 바꾸기"""
EditForm_VITA_Menu_Zoom#0,"""표시 배율 변경"""
EditForm_VITA_Menu_Sound#0,"""효과음 설정"""
EditForm_VITA_Menu_Size#0,"""캔버스 사이즈 변경"""
EditForm_VITA_Menu_Title#0,"""심볼 아트 메뉴"""
EditForm_VITA_Size_Title#0,"""캔버스 사이즈 변경"""
EditForm_VITA_Sound_Title#0,"""효과음 설정"""
EditForm_VITA_Zoom_Title#0,"""표시 배율 변경"""
EditForm_NoParts#0,"""선택할 수 있는 파츠가 없습니다."""
EditForm_SaveNoData_Exp#0,"""파츠가 없는 경우 데이터를 저장할 수 없습니다."""
EditForm_Exit_Exp#0,"""데이터 변경이 있었을 가능성이 있습니다.<br>마지막으로 저장한 후 편집한 내용은 없어집니다.<br>괜찮으시겠습니까?"""
EditForm_Save_Exp#0,"""선택 슬롯에는 다른 데이터가 있습니다.<br>현재 데이터로 덮어쓰시겠습니까?"""
EditForm_Exten_Exp#0,"""표시하고 있는 파츠만 저장됩니다.<br>괜찮으시겠습니까?"""
EditForm_Draft_Exp#0,"""이 초안 데이터는 아직 저장되지 않았습니다.<br>편집을 종료하면 데이터가 손실됩니다만<br>괜찮으시겠습니까?"""
CreateForm_Title#0,"""파츠 선택"""
CreateForm_Parts_NotFound#0,"""파츠가 없습니다"""
CreateForm_Tab_Font#0,"""문자"""
CreateForm_Tab_Base#0,"""기본 도형"""
CreateForm_Tab_Line#0,"""라인"""
CreateForm_Tab_Ink#0,"""잉크"""
CreateForm_Tab_Gradation#0,"""그라데이션"""
CreateForm_Tab_Pattern#0,"""프랙털"""
CreateForm_Tab_Mark#0,"""마크"""
CreateForm_Tab_Etc#0,"""기타"""
CreateForm_Tab_Stamp#0,"""픽처"""
CreateForm_Menu_View#0,"""표시/비표시"""
CreateForm_Menu_ViewEnable#0,"""표시"""
CreateForm_Menu_ViewDisable#0,"""비표시"""
CreateForm_Menu_Pos#0,"""이동"""
