CardSelect_Title#0,"""Panduan ARKS"""
CardSelect_Cancel#0,"""Kembali"""
CardSelect_None#0,"""Tidak ada Kartu"""
CardSelect_Set#0,"""Pasang"""
CardSelect_Detail#0,"""Detail Kartu"""
CardSelect_Decide#0,"""Kartu Diganti."""
CardReward1_Title#0,"""Hadiah Meseta and EXP"""
CardReward1_Meseta_Title#0,"""Hadiah Meseta"""
CardReward1_Exp_Title#0,"""Hadiah EXP"""
CardReward1_Meseta#0,"""$(0)"""
CardReward1_Exp#0,"""$(0) EXP"""
CardReward2_Title#0,"""Hadiah Item"""
CardTarget_Title#0,"""Kondisi"""
Clear#0,"""Menyelesaikan objektif Panduan ARKS."""
Clear_Stamp#0,"""[$(0)] diselesaikan."""
Complete#0,"""Diterima hadiah dari menyelesaikan $(0)."""
GetCard#0,"""Diterima kartu ARKS Road baru."""
