MYROOM#0,"""Tu cuarto"""
BACKPACK#0,"""Inventario"""
WAREHOUSE#0,"""Almacen"""
INSTALL#0,"""Instalar"""
USE#0,"""Usar"""
PLAY_CUSTOMIZE#0,"""Personalizar"""
CUSTOMIZE_YOUR_ROOM#0,"""Personalizar cuarto"""
SEND_TO_BACKPACK#0,"""Enviar del almacén al inventario"""
SEND_TO_WAREHOUSE#0,"""Enviar desde el inventario al almacén"""
REMOVAL_TO_BACKPACK#0,"""Retirar y enviar al inventario"""
REMOVAL_TO_WAREHOUSE#0,"""Retirar y enviar al almacén"""
CANCEL#0,"""Cancelar"""
INSTALLATION_FAILS#0,"""No se puede colocar.<br>Las posibles razones son:<br><br>- No tienes ese objeto.<br>- El objeto no se puede usar aquí."""
ERROR_INSTALLED_ITEM#0,"""El artículo no puede ser colocado porque no lo tienes."""
ERROR_USED_ITEM#0,"""No se puede usar el objeto seleccionado."""
ERROR_MOVE_BACKPACK#0,"""No se puede enviar a su inventario"""
ERROR_MOVE_WAREHOUSE#0,"""No se puede mover el objeto al almacen."""
REMOVAL_TO_INSTALLED_GOODS#0,"""Retirar el mobiliario colocado"""
IF_REMOVAL_GOODS#0,"""¿Estás seguro de que quieres eliminar este mobiliario??"""
GROUNDER_DECO_GOODS#0,"""Debugtext020"""
GROUND_SKY_CYLINDER#0,"""Debugtext021"""
ROOM_CHANGED_TEST#0,"""Debugtext022"""
GROUND_CYLINDER#0,"""Debugtext023"""
IF_USED_GROUND_CYLINDER#0,"""Debugtext024"""
ROOM_CUSTMISE#0,"""Remodelar Cuarto"""
IF_CHAGE_ROOM#0,"""¿Estás seguro de que quieres cambiar la habitacion?"""
ERROR_ITEM_NOT#0,"""Sin objetos"""
GRID_ON_OFF#0,"""Mostrar/Ocultar rejilla"""
REMOVAL_ALL#0,"""Retirar todos los muebles"""
CYLINDER_REFORM#0,"""Debugtext030"""
IF_REMOVAL_ALL_GOODS#0,"""¿Estás seguro de que quieres quitar todo el mobiliario??"""
TITLE_ROOM_CUTMIZE#0,"""Remodelar Cuarto"""
MENU_CENTER#0,"""Centro:"""
MENU_LEFT#0,"""Izquierda:"""
MENU_RIGHT#0,"""Derecha:"""
DEFAULT#0,"""Por defecto"""
NONE#0,"""Nada"""
COMBINE#0,"""Agregar"""
REMOVED#0,"""Mover"""
DELETE#0,"""Borrar"""
CANCEL#1,"""Cancelar"""
ERROR_OWNER_NOT#0,"""No se puede acceder a esto, ya que no eres el propietario del cuarto."""
MoveItem_Title#0,"""Información"""
MoveItem_Message#0,"""Debido a que usted está lleno de objetos,<br>los objetos que estaban en el Photogachan seran enviados a<br>tu almacen."""
MoveItem_ToastMessage#0,"""La decoración del cuarto fue retirado<br>y enviado a su almacen que su inventario está lleno."""
MainMenu_Title#0,"""Menú de mi cuarto"""
MainMenu_RoomGoods_Installation#0,"""Instalar bienes de cuarto"""
MainMenu_RoomGoods_Ceiling#0,"""Instalar objetos del techo"""
MainMenu_RoomCustmize#0,"""Remodelar cuarto"""
MainMenu_MovePass#0,"""Cambiar escenario"""
MainMenu_BGM#0,"""Registrar Music Disc"""
MainMenu_RoomLock#0,"""Restricciones de cuarto"""
MainMenu_LayoutChange#0,"""Cambiar cuarto"""
MainMenu_DeleteRoomGoodsInSelectRoom#0,"""Remover todos los bienes"""
MainMenu_Cancel#0,"""Regresar"""
MainMenu_SupportPartner#0,"""Ayudante"""
MainMenu_Craft#0,"""Crafting"""
MainMenu_EventChronicle#0,"""Cronicas de eventos"""
SelectMenu_Title_RoomGoods#0,"""SELECCIONE LOS MUEBLES"""
SelectMenu_Title_Reform#0,"""Selecciona un tema"""
SelectMenu_Title_DeleteRoom#0,"""Selecciona una habitación para remover"""
SelectMenu_Title_MovePass#0,"""Selecciona un Scenery Pass"""
SelectMenu_Title_PresentBox#0,"""Selecciona un objeto para dar como regalo"""
SelectMenu_Title_MusicDisk#0,"""Selecciona un Music Disc"""
SelectMenu_Title_Weapon#0,"""Selecciona un arma"""
SelectMenu_Backpack#0,"""Del inventario"""
SelectMenu_Warehouse#0,"""Del $(0)"""
SelectMenu_DeleteRoom#0,"""Remover cuarto"""
SelectMenu_RemovalAll#0,"""Remover todo (DEBUG)"""
SelectMenu_Cancel#0,"""Regresar"""
SelectMenu_Not_Item#0,"""Sin objetos"""
guide_move#0,"""Mover objeto:"""
guide_rotation#0,"""Girar objeto:"""
guide_enter_cancel#0,"""Instalar/Volver:"""
guide_enter_vita#0,"""Decidir："""
guide_cancel_vita#0,"""Volver: """
guide_move_key#0,"""↑↓←→"""
guide_move_pad#0,"""<%DirectionButton> / <%LStick>"""
guide_rotation_key#0,"""Ctrl + ← / Ctrl + →"""
guide_rotation_pad#0,""" <%TabBack> / <%TabForward>"""
guide_enter_cancel_key#0,"""<%Decide> / <%Cancel>"""
guide_enter_key_vita#0,"""<%Decide>"""
