Category_All#0,"""ทั้งหมด"""
Category_Head#0,"""ส่วนหัว"""
Category_Face#0,"""ใบหน้า"""
Category_Body#0,"""ร่างกาย"""
Category_Arm_Right#0,"""แขนขวา"""
Category_Arm_Left#0,"""แขนซ้าย"""
Category_Waist#0,"""เอว"""
Category_Leg_Right#0,"""ขาขวา"""
Category_Leg_Left#0,"""ขาซ้าย"""
Category_Finger#0,"""นิ้วมือ"""
Default#0,"""ค่าเริ่มต้น"""
HeadTop#0,"""กลางศีรษะ"""
EyesRoot#0,"""หน้าผาก"""
NoseBridge#0,"""แกนจมูก"""
JawUpper#0,"""ขากรรไกรบน"""
JawLower#0,"""ขากรรไกรล่าง"""
RightEar#0,"""หูขวา"""
LeftEar#0,"""หูซ้าย"""
HeadofHead#0,"""ฐานกะโหลก"""
Neck#0,"""คอ"""
NeckRoot#0,"""ฐานคอ"""
Right_Breast#0,"""อกขวา"""
Center_Breast#0,"""กลางอก"""
Left_Breast#0,"""อกซ้าย"""
Spine1#0,"""กระดูกสันหลัง 1"""
Spine2#0,"""กระดูกสันหลัง 2"""
Waist#0,"""สะโพก"""
Crotch#0,"""ขาหนีบ"""
Left_Clavicle#0,"""ไหปลาร้าซ้าย"""
Left_UpperArm1#0,"""ต้นแขนซ้าย 1"""
Left_UpperArm2#0,"""ต้นแขนซ้าย 2"""
Left_ForeArm1#0,"""ปลายแขนซ้าย 1"""
Left_ForeArm2#0,"""ปลายแขนซ้าย 2"""
Left_Hand#0,"""มือซ้าย"""
Right_Clavicle#0,"""ไหปลาร้าขวา"""
Right_UpperArm1#0,"""ต้นแขนขวา 1"""
Right_UpperArm2#0,"""ต้นแขนขวา 2"""
Right_ForeArm1#0,"""ปลายแขนขวา 1"""
Right_ForeArm2#0,"""ปลายแขนขวา 2"""
Right_Hand#0,"""มือขวา"""
Left_Thigh1#0,"""ต้นขาซ้าย 1"""
Left_Thigh2#0,"""ต้นขาซ้าย 2"""
Left_Knee#0,"""เข่าซ้าย"""
Left_Ankle#0,"""ข้อเท้าซ้าย"""
Right_Thigh1#0,"""ต้นขาขวา 1"""
Right_Thigh2#0,"""ต้นขาขวา 2"""
Right_Knee#0,"""เข่าขวา"""
Right_Ankle#0,"""ข้อเท้าขวา"""
