Accomplished#0,"""달성"""
InProgress#0,"""공략 중"""
CATEGORY_STORY#0,"""메인"""
CATEGORY_SUB_STORY#0,"""사이드"""
CATEGORY_DAILY#0,"""데일리"""
CATEGORY_WEEKLY#0,"""위클리"""
CATEGORY_LIMITED#0,"""기간 한정"""
SORT_NORMAL#0,"""표준 정렬"""
SORT_ASC_DATE#0,"""날짜 오름차순 정렬"""
SORT_DESC_DATE#0,"""날짜 내림차순 정렬"""
SORT_DESC_NOT_ACCEPT#0,"""미수주 태스크 우선"""
BUTTON_BACK#0,"""뒤로"""
NOT_FOUND_ANY_TASKS#0,"""공략 중인 태스크가 없습니다."""
NOT_FOUND_ANY_TASKS_2#0,"""달성한 태스크가 없습니다."""
NOT_FOUND_ANY_TASKS_3#0,"""수주 가능한 태스크가 없습니다."""
PLEASE_WAIT#0,"""기다려 주세요."""
FOCUS_TASK#0,"""가이드 정보 표시"""
UNFOCUS_TASK#0,"""가이드 정보 표시 안 함"""
CHECK_TASK_DETAILS#0,"""태스크 상세 확인"""
ACCEPT_TASK#0,"""태스크 수주하기"""
CONFIRM_ACCEPT_TASK_TITLE#0,"""태스크 수주 확인"""
CONFIRM_ACCEPT_TASK_MESSAGE#0,"""$(0) 태스크를 수주하시겠습니까?"""
DISCARD_TASK#0,"""태스크 파기하기"""
CONFIRM_DISCARD_TASK_TITLE#0,"""태스크 파기 확인"""
CONFIRM_DISCARD_TASK_MESSAGE#0,"""$(0) 태스크를 파기하시겠습니까?<br><br><yellow>※태스크 진행 상황이 리셋 됩니다.<c>"""
CONFIRM_DISCARD_TASK_MESSAGE_LOOP#0,"""\""$(0)\""태스크를<br>파기하시겠습니까?<br><br><yellow>※루프 태스크를 파기할 경우<br>\u3000재수주 시 첫 번째 태스크부터 시작합니다.<c>"""
WINDOW_TITLETELOP#0,"""태스크"""
WINDOW_CONTROLGUIDE#0,"""<%Decide>：결정 <%Cancel>：취소 <%NextWidget>：커서 이동"""
FULLSIZE_FORM_TITLE#0,"""태스크"""
RemainingDays#0,"""앞으로 $(0)일"""
RemainingHour#0,"""앞으로 약 $(0)시간"""
RemainingMinutes#0,"""앞으로 약 $(0)분"""
Task_Requester#0,"""의뢰자"""
Task_Requester_None#0,"""-"""
Task_List_Tilte#0,"""태스크 목록"""
Accept_Task_Limit#0,"""앞으로 $(0)건 수주 가능 \u3000($(1)/$(2))"""
Task_Chapter_Num#0,"""$(0)장"""
Task_help#0,"""도움말 표시하기"""
Task_TwolineGuide_1#0,"""수주 중인 태스크를 확인할 수 있습니다. 각각의 태스크를 선택하면 가이드 정보에 대한 표시 설정이나 도움말 표시 등을 할 수 있습니다."""
Task_TwolineGuide_2#0,"""수주 가능한 태스크를 확인할 수 있습니다. 각각의 태스크를 선택하면 해당 태스크를 수주하거나 가이드 정보에 대한 표시 설정 등을 할 수 있습니다."""
LoopTask_Count#0,"""주회수"""
Reward_Tier#0,"""TIER"""
Reward_SeasonalPoint#0,"""SEASON"""
FORM_TITLE#0,"""$(0) 세부 사항"""
REWIND_CONDITION#0,"""재수주 조건"""
TASK_OVERVIEW#0,"""개요"""
TASK_REWARD#0,"""보상"""
TASK_PROGRESSES#0,"""세부 진행도"""
TASK_TO_ACHIEVEMENT#0,"""달성까지"""
ITEMDETAIL_CONTROLGUIDE#0,"""<%Function><pict 4space>키로 보수 상세\u3000\u3000<%MultiSelect><pict 4space>키로 미션 패스"""
ITEMDETAIL_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>로 보수 상세\u3000\u3000<%MultiSelect><pict 4space>로 미션패스"""
ITEMDETAIL_MissionPass#0,"""<%NextTabDetails>키로 미션 패스"""
BASICINFO_CONTROLGUIDE#0,"""<%Function><pict 4space>키로 기본 정보\u3000\u3000<%MultiSelect><pict 4space>키로 미션 패스"""
BASICINFO_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>로 기본 정보\u3000\u3000<%MultiSelect><pict 4space>로 미션패스"""
NO_REWARD_ITEM#0,"""보상 아이템은 없습니다."""
Task_Detial_Tilte#0,"""태스크 상세"""
TASK_PROGRESSES_2#0,"""진행도"""
BASIC_INFO#0,"""기본 정보"""
REWARD_INFO#0,"""보수 정보"""
REWARD_ITEMNAME#0,"""아이템 이름"""
REWARD_QUANTITY#0,"""얻은 개수"""
TASK_DETAILS_UNSELECTED#0,"""태스크가 선택되지 않았습니다."""
REWARD_QUANTITY_NUM#0,"""×$(0)"""
TASK_REWARD_LOOP_1#0,"""첫회 달성 보수"""
TASK_REWARD_LOOP_2#0,"""2회차 이후 달성 보상"""
TASK_LOOPCOUNT#0,"""<space>"""
