ErrorMember#0,"""$(0)는 팀 멤버가 아닙니다."""
ErrorNotExist#0,"""존재하지 않는 팀입니다."""
Role#0,"""역할"""
RankName#0,"""계급"""
Flag#0,"""팀 플래그"""
Select#0,"""선택"""
Update#0,"""새로고침"""
CountTimes#0,"""$(0)회"""
CountPeople#0,"""$(0)명"""
CountItem#0,"""$(0)개"""
CountRank#0,"""현재 $(0)위"""
CountGP#0,"""$(0)TP"""
GuildName#0,"""팀명"""
PlayerName#0,"""플레이어 ID"""
Preview#0,"""미리보기"""
OtherMember#0,"""팀 멤버만 이용할 수 있습니다.<br>"""
Determine#0,"""변경 확정"""
Close#0,"""취소"""
AccessorySelect#0,"""액세서리 선택"""
SetAccessoryColor#0,"""액세서리 컬러 설정"""
WindowChange#0,"""<pict Sign_TRIANGLE>전환"""
CloseTitle#0,"""종료 확인"""
CloseConfirm#0,"""변경된 사항을 반영하지 않고 종료합니다.<br><br>종료하시겠습니까?"""
1#0,"""팀 망토"""
2#0,"""팀 베레모"""
3#0,"""팀 스카프"""
4#0,"""팀 마커"""
5#0,"""팀 실드"""
6#0,"""팀 새틀라이트 """
TimeOut#0,"""2주가 경과됐습니다.<br>해당 유저의 스카우트를 거절합니다 : 「$(0)」"""
AcceptOther#0,"""「$(0)」님은 이미 다른 팀 소속입니다."""
GuildDelete#0,"""팀이 해산되어 스카우트가 취소되었습니다."""
Reject#0,"""「$(0)」님이 스카우트 요청을 거부했습니다."""
Accept#0,"""「$(0)」님이 $(1)팀에 입단했습니다."""
Scout#0,"""스카우트 중（$(0)）"""
Online#0,"""온라인"""
Offline#0,"""오프라인"""
Sort1#0,"""입단"""
Sort2#0,"""역할"""
Sort3#0,"""플레이어 ID"""
Sort4#0,"""캐릭터명"""
Sort5#0,"""입단일"""
Subject1#0,"""캐릭터명/플레이어 ID"""
Subject2#0,"""역할"""
Subject3#0,"""블록/장소"""
Subject1_Vita#0,"""플레이어 ID"""
Subject2_Vita#0,"""캐릭터명"""
Subject3_Vita#0,"""블록"""
Subject4_Vita#0,"""위치"""
OfflineEmpty#0,"""오프라인 멤버가 없습니다"""
ScoutEmpty#0,"""스카우트 중인 멤버가 없습니다"""
Subject4#0,"""로그인 상태"""
NoLogin#0,"""<c a0a0a0>한동안 접속하지 않았습니다<c>"""
Login_Info_Member_List_Lower#0,"""$(0)일 이내"""
Login_Info_Member_List_181over#0,"""181일 이상 전"""
Login_Info_Sort#0,"""최종 로그인 날짜 새로운 순서"""
Subject1#1,"""플레이어 ID"""
Subject2#1,"""입단일"""
Empty#0,"""이력이 없습니다"""
Title#0,"""$(0)용 팀 커맨드"""
MemberList#0,"""팀 멤버 일람"""
ScoutReply#0,"""스카우트 중"""
Status#0,"""팀 상태"""
PersonalStatus#0,"""팀 개인 상태"""
Leave#0,"""탈단"""
EquipAcc#0,"""팀 액세서리 장비"""
Public#0,"""공개 상태"""
Private#0,"""비공개 상태"""
MemberCount#0,"""멤버 수"""
ManagerCount#0,"""매니저 수"""
NTeamPointPossesion#0,"""所持N-チームポイント"""
TrophyCount#0,"""아크스 트로피 수"""
Initiation#0,"""팀 창설일"""
Level#0,"""팀 레벨"""
Web#0,"""웹사이트 열기"""
RoomDesign#0,"""팀룸 거점"""
RoomRental#0,"""룸 렌탈 기한"""
PointRank#0,"""팀포인트 랭킹"""
RareItemRank#0,"""레어 아이템 획득 랭킹"""
Point#0,"""소지 팀 포인트"""
TotalPoint#0,"""획득한 팀 포인트"""
MyPoint#0,"""이번주 획득한 팀 포인트"""
MyEnablePoint#0,"""이번주 획득 가능 팀포인트 상한"""
MyTotalPoint#0,"""당신이 획득한 팀포인트"""
NoRoom#0,"""없음"""
NoRankEntry#0,"""-"""
Login1#0,"""팀 로그인 메시지"""
PublicInfo#0,"""공개 정보"""
PrivateInfo#0,"""비공개 정보"""
EquipAccTitle#0,"""팀 액세서리 장비"""
EquipAccYes#0,"""팀 액세서리 착용"""
EquipAccNo#0,"""팀 액세서리 미착용"""
EquipAccConfirm#0,"""액세서리 선택4을 비표시로 두고<br>팀 액세서리를 장비합니다.<br><br>※쉽 내의 모든 캐릭터에게<br> 적용됩니다.<br><br>적용하시겠습니까?"""
OtherMemberLockTitle#0,"""외부인 입실 여부"""
OtherMemberUnLock#0,"""공개"""
OtherMemberLock#0,"""비공개"""
TeamShop#0,"""팀 전용 상점"""
TeamShopOpen#0,"""획득"""
TeamShopNoOpen#0,"""미획득"""
ConfirmTitle#0,"""팀 탈단 확인"""
ErrorTitle#0,"""팀 탈단"""
Msg1#0,"""팀을 탈단하면 역할이 사라집니다.<br>다시 팀에 입단했을 경우 방문자 등급이 됩니다.<br>탈단하시겠습니까?"""
Msg2#0,"""탈단했습니다."""
Error1#0,"""팀 멤버가 아닙니다."""
Error2#0,"""팀 마스터는 탈단 할 수 없습니다."""
Error3#0,"""이 팀은 일부 기능이 일시적으로 제한된 상태입니다.<br><br>잠시 뒤에 다시 시도해 주십시오."""
ErrorOther#0,"""탈단에 실패하였습니다."""
Title#1,"""$(0) 메뉴"""
Setting#0,"""팀 설정"""
Order#0,"""팀 오더"""
Extend#0,"""팀 확장"""
RoomExtend#0,"""팀룸 확장"""
Suits#0,"""팀 패션 수트 수령"""
Trophy#0,"""아크스 트로피 이력"""
History#0,"""입단 이력"""
Breakup#0,"""팀 해산"""
Back#0,"""팀 카운터 떠나기"""
TitleBar#0,"""팀 카운터"""
Help_Reboot#0,"""팀 커맨드"""
Explanation#0,"""내용 해설"""
Help1#0,"""매니저 이상 등급은 팀 오더, 입단 이력, 아크스 트로피 이력을 포함한 팀 설정 및 기능을 확장할 수 있습니다."""
Help1_Reboot#0,"""팀 멤버 일람, 팀 스테이터스, 입단 이력 확인 뿐만이 아니라 매니저 이상의 직책은 팀에 관련된 설정을 할 수 있습니다."""
Help1_v#0,"""<c f0df60>매니저 이상 등급은 기본 기능에 팀 설정과 확장을 추가로 할 수 있습니다.<c>"""
Help2#0,"""팀 오더 입단 이력, 아크스 트로피 이력을 확인할 수 있습니다."""
Help2_Reboot#0,"""팀 멤버 목록, 팀 상태, 입단 이력을 확인할 수 있습니다."""
MasterAuthority#0,"""팀 마스터 권한 획득"""
MasterAuthorityTitle#0,"""메시지"""
MasterAuthorityCheckTitle#0,"""권한 획득 확인"""
MasterAuthorityCheck#0,"""팀 마스터 권한을 획득합니다.<br>계속하시겠습니까?<br><br>※현 팀 마스터는 매니저로 변경됩니다."""
MasterAuthoritySuccess#0,"""팀 마스터 권한을 획득했습니다."""
MasterAuthorityError#0,"""팀 마스터 권한을 획득하지 못했습니다."""
Help3#0,"""희망하는 팀에 입단 신청을 하거나 직접 설립할 수 있습니다"""
TeamJoin#0,"""팀 입단 신청자 명단"""
Help_TeamJoin#0,"""팀 입단 신청을 승인할 수 있습니다.。"""
Comment#0,"""팀 마스터 코멘트"""
Search1#0,"""팀 검색 설정"""
Search2#0,"""공개 (비지폰을 통해 팀을 검색할 수 있습니다)"""
Search2_Reb#0,"""공개하기"""
Recruit1#0,"""팀 멤버 모집 설정"""
Recruit2#0,"""팀 멤버 모집(비지폰을 통해 팀 멤버를 모집할 수 있습니다)"""
Recruit2_Reb#0,"""팀원을 모집하기"""
Login1#1,"""팀 로그인 메시지"""
Site#0,"""팀 사이트"""
Msg1#1,"""반영하시겠습니까?"""
Msg2#1,"""반영되었습니다."""
MsgEntry1#0,"""등록하시겠습니까?"""
MsgEntry2#0,"""등록했습니다."""
MsgChange1#0,"""변경하시겠습니까?"""
MsgChange2#0,"""변경했습니다."""
Error1#1,"""팀 플래그를 지정하지 않았습니다."""
Error2#1,"""반영 권한이 없습니다."""
Error3#1,"""팀 마스터 코멘트 또는<br>팀 사이트 URL에<br>사용할 수 없는 단어가 포함되어 있습니다."""
ErrorOther#1,"""반영할 수 없습니다."""
FlagSelect#0,"""선택"""
Update#1,"""설정 반영"""
ConfirmTitle#1,"""팀 설정 반영 확인"""
ErrorTitle#1,"""팀 설정 반영"""
ItemPack#0,"""아이템 팩"""
TeamWarehouse#0,"""팀 창고"""
SetMusicDisk#0,"""MusicDisc 등록"""
ChangeTeamRoomBGM#0,"""팀룸 BGM 변경"""
ResetBGM#0,"""팀룸 BGM 초기화"""
AllMusicDisk#0,"""MusicDisc 일람"""
AllSetMusicDisk#0,"""등록된 BGM 일람"""
ItemDetail#0,"""아이템 정보"""
MsgEntry3#0,"""$(0) BGM을 등록했습니다."""
MsgEntry4#0,"""$(0) BGM을 등록하시겠습니까?"""
Empty_BGM#0,"""등록된 BGM이 없습니다"""
Tab_Category_0#0,"""０．모두"""
Tab_Category_1#0,"""１．판타시스타 온라인"""
Tab_Category_2#0,"""２．판타시스타 시리즈"""
Tab_Category_3#0,"""３．세가 콜라보"""
Tab_Category_4#0,"""４．콜라보"""
Tab_Category_5#0,"""５．『NGS』 시리즈"""
Mag_Jukebox_Register_015#0,"""선택한 뮤직 디스크는 『NGS』블록에서만 재생할 수 있습니다."""
Login_Info_Setting_Title#0,"""최종 로그인 정보 표시 설정"""
Login_Info_Setting_Body#0,"""일부터 정확한 일수를 표시하기"""
ConfirmTitle#2,"""팀 해산 확인"""
ErrorTitle#2,"""팀 해산"""
Msg1#2,"""팀을 해산하면<br>팀과 관련된 모든 정보가 삭제됩니다.<br><br>정말로 팀을 해산하시겠습니까?"""
Msg2#2,"""팀을 해산했습니다."""
Error1#2,"""팀 멤버 수가 2인 이상일 경우<br>팀을 해산할 수 없습니다."""
Error2#2,"""팀 전용 메시지01"""
Error3#2,"""팀을 해산할 권한이 없습니다."""
ErrorOther#2,"""팀을 해산하지 못했습니다."""
Msg1#3,"""팀 「$(0)」의 <br>$(1)님이 스카우트를 제안했습니다.<br><br>팀 「$(2)」 멤버 중<br>당신이 블록 리스트로 등록한<br>인원은 총 $(3)명입니다.<br><br>제안을 받아들여 팀에 입단하시겠습니까?"""
Msg2#3,"""팀에 입단하여 기존 입단 신청이 취소되었습니다."""
Msg3#0,"""팀 스카우트를 거부했습니다."""
Msg4#0,"""팀 「$(0)」의 $(1)<br>님의 스카우트 제의를 거절합니다.<br><br>거절하시겠습니까?"""
Msg5#0,"""팀 「$(0)」의 $(1)<br>님의 스카우트 제안을 받아들여<br>팀 일원이 됩니다.<br><br>승낙하시겠습니까?"""
Error1#3,"""팀 멤버가 가득 차 참가할 수 없습니다."""
Error2#3,"""스카우트 오류가 발생해 실행하지 못했습니다.<br>이미 스카우트 제안이 취소되었을 가능성이 있습니다."""
ConfirmTitle#3,"""팀 스카우트 회신"""
ErrorTitle#3,"""팀 스카우트 회신"""
Menu1#0,"""입단한다"""
Menu2#0,"""거절한다"""
Menu3#0,"""팀 상태를 확인한다"""
Msg1#4,"""「$(1)」 팀이 흡수합병을 제의했습니다.<br><br><yellow>※팀 「$(1)」에 소속된 모든 멤버의 역할이<br>비지터로 변경됩니다.<br><br>※팀 「$(1)」의 모든 멤버가<br> 수주했던 팀 오더는 파기됩니다.<br><br>※팀「$(2)」가<br> 소지했던 팀 포인트($(4))는<br> 「$(3)」 팀이<br> 소지한 팀 포인트에 합산됩니다.<br> 99,999,999이상일 경우 나머지 포인트는 버려집니다.<br> (그밖의 모든 자료는 사라집니다)<c><br><br>제안을 승낙하고 팀을 합병하시겠습니까?"""
Msg2#4,"""「$(0)」 팀의 $(1)<br>님이 제안한 흡수합병 제의를 승낙해<br>팀의 일원이 됩니다.<br>※「$(2)」 팀은 사라집니다.<br><br>진행하시겠습니까?"""
Msg3#1,"""「$(0)」 팀이<br>「$(1)」 팀과<br>흡수합병을 하자고 제안했습니다.<br>답변 창을 여시겠습니까?<br><br>※「$(1)」 팀의<br> 팀 창고에 맡긴 아이템이 있을 경우,<br> 합병할 수 없습니다."""
Msg4#1,"""「$(0)」 팀에게 합병을 제안하시겠습니까?"""
Msg5#1,"""팀 합병을 제안했습니다.<br>상대방의 답변을 기다리고 있습니다…"""
Msg6#0,"""「$(0)」 팀의$(1) 님에게<br>받은 흡수 합병 신청을 거절합니다.<br><br>진행하시겠습니까?"""
Msg7#0,"""합병 시 팀 멤버가 규정 수를 초과해<br>합병할 수 없습니다.<br>자신의 팀과 합병할 팀의 인원 수를<br>확인해 주십시오."""
Msg8#0,"""팀이 합병되었습니다."""
Msg9#0,"""팀 합병 제안이 철회되어<br>합병할 수 없습니다."""
Msg10#0,"""「$(0)」 팀 창고에<br>아이템이 남아 있어 합병할 수 없습니다."""
Msg11#0,"""팀을 합병하지 못했습니다."""
Msg12#0,"""팀 합병 제안에 실패했습니다."""
Msg13#0,"""「$(0)」 팀의<br>팀 마스터가 같은 지역에 없어<br>팀 합병 제안에 실패했습니다."""
LineMsg1#0,"""팀 합병 제안을 취소했습니다"""
LineMsg2#0,"""$(0) 님이 팀 합병을 거절했습니다."""
LineMsg3#0,"""$(0) 님의 팀 합병 제안을 거절했습니다."""
Title1#0,"""팀 합병 제안 회신"""
Title2#0,"""합병 제안 확인"""
Title3#0,"""합병 제안 회신 확인"""
Title4#0,"""합병 제안"""
MailMsg1#0,"""「$(0)」 팀은<br>「$(1)」 팀에<br>병합되었습니다.<br><br>※「$(2)」 팀에 입단했던<br> 모든 멤버가 방문자 등급으로 변경됐습니다.<br><br>※「$(2)」 팀의<br> 소지 팀 포인트($(4))가<br> 「$(3)」 팀의<br> 소지 팀 포인트에 가산되었습니다.<br> (기타 모든 정보는 파기되었습니다)"""
LeaveRoomMsg#0,"""팀룸에서 합병할 수 없습니다.<br>아크스 로비에서 다시 요청하십시오."""
LeaveRoomMsg2#0,"""$(0) 님을<br>이 팀룸에서 퇴실시킵니다.<br><br>진행하시겠습니까?"""
