Gat_TitleStatus#0,"""Estado de Recolección"""
Gat_TitleAbleList#0,"""Logros de Recolección"""
ResultNum#0,"""$(0)/$(1)"""
ResultNum_2#0,"""$(0)/"""
ResultNumTitle#0,"""<yellow>Logros: $(0)/$(1)<c>"""
RewardNum#0,"""$(0)×$(1)"""
FeverTime_Add#0,"""+$(0) segundos"""
C_Level#0,"""Nv. Mineria"""
F_Level#0,"""Nv. Pesca"""
NextLevel#0,"""$(0) Logros para el proximo nivel"""
Percent#0,"""$(0)%"""
Percent2#0,"""+$(0).$(1)%"""
ComboBonus#0,"""$(0)～$(1)"""
NumAchieve#0,"""$(0) Logros"""
Time_3#0,"""$(0)時間$(1)分"""
Time_2#0,"""$(0) minutos"""
Time_2Add#0,"""($(1) recuperación en $(0))"""
Time_3Add#0,"""$(0)"""
No_Achievable#0,"""No hay logros disponibles."""
NoItemMsg#0,"""No hay logros"""
RareF_Rate#0,"""Chance de Pesca Rara Subio $(0).$(1)%"""
RareC_Rate#0,"""Chance de Mineria Rara Subio $(0).$(1)%"""
AddF_Rate#0,"""Chance de Pesca Extra Subio $(0).$(1)%"""
AddC_Rate#0,"""Chance de Mineria Extra Subio $(0).$(1)%"""
Name_C0000#0,"""Colección 1"""
Name_C0001#0,"""Colección 2"""
Name_C0002#0,"""Colección 3"""
Name_C0003#0,"""Colección 4"""
Name_C0004#0,"""Colección 5"""
Name_C0005#0,"""Colección 6"""
Name_C0006#0,"""Colección adicional 1"""
Name_C0007#0,"""Colección adicional 2"""
Name_C0008#0,"""Colección adicional 3"""
Name_C0009#0,"""Colección adicional 4"""
Name_C0010#0,"""Rare Collection 1"""
Name_C0011#0,"""Rare Collection 2"""
Name_C0012#0,"""Rare Collection 3"""
Name_C0013#0,"""Rare Collection 4"""
Name_C0014#0,"""Vegetable Collection 1"""
Name_C0015#0,"""Fruit Collection 1"""
Name_C0016#0,"""Grain Collection 1"""
Name_C0017#0,"""Mineral Collection 1"""
Name_C0018#0,"""Colección 7"""
Name_C0019#0,"""Colección 8"""
Name_C0020#0,"""Colección 9"""
Name_C0021#0,"""Colección 10"""
Name_C0022#0,"""Colección 11"""
Name_C0023#0,"""Colección adicional 5"""
Name_C0024#0,"""Colección adicional 6"""
Name_C0025#0,"""Colección adicional 7"""
Name_C0026#0,"""Colección adicional 8"""
Name_C0027#0,"""Colección adicional 9"""
