CorrectionAssignMapTitle#0,"""조작 설정 복원"""
CorrectionAssignMapMessage#0,"""조작 설정 안에「결정」과 「취소」등<br>중요한 조작 할당에서 내용에 문제가 있을 때<br>자동 복원을 합니다."""
Title#0,"""옵션"""
Category_Game#0,"""게임 설정"""
Category_Game_Hint#0,"""게임 플레이에 관련된 기능이나<br>카메라 조작등의 설정을 합니다."""
Category_Device#0,"""조작 설정"""
Category_Device_Hint#0,"""키보드, 마우스, <%GamePad>등<br>입력기기에 관련된 설정을 합니다."""
Category_Sound#0,"""음성 설정"""
Category_Sound_Hint#0,"""음성과 관련된 설정을 합니다."""
Category_Graphics#0,"""품질 설정"""
Category_Graphics_Hint#0,"""품질 그래픽과 관련된 설정을 합니다."""
SubCategory_GameFunction#0,"""기능 설정"""
SubCategory_GameFunction_Hint#0,"""게임 기능과 관련된 설정을 합니다."""
SubCategory_Camera#0,"""카메라 설정"""
SubCategory_Camera_VITA#0,"""게임 내 카메라 설정"""
SubCategory_Camera_Hint#0,"""카메라 움직임과 관련된 설정을 합니다."""
SubCategory_TextEffect#0,"""텍스트 연출 설정"""
SubCategory_TextEffect_Hint#0,"""데미지나 아이템 획득 표시 같은<br>텍스트 연출과 관련된 설정을 합니다."""
SubCategory_Notice#0,"""알림 설정"""
SubCategory_Notice_Hint#0,"""게임 내의 각종 알림 설정을 합니다."""
SubCategory_Talk#0,"""채팅 설정"""
SubCategory_Talk_Hint#0,"""채팅 시스템과 관련된 설정을 합니다."""
SubCategory_Capture#0,"""촬영 설정"""
SubCategory_Capture_Hint#0,"""스크린샷과 관련된 설정을 합니다."""
SubCategory_Other#0,"""기타 설정"""
SubCategory_Other_Hint#0,"""에스테, 라이드로이드, 다크 블래스트 등<br>시스템과 관련된 기능을 설정합니다."""
SubCategory_InputGuide#0,"""조작 가이드 표시 타입"""
SubCategory_InputGuide_Hint#0,"""게임 내에 표시되는 조작 가이드의<br>표시 타입을 설정합니다."""
SubCategory_PadDefine#0,"""<%GamePad> 초기 설정"""
SubCategory_PadDefine_Hint#0,"""<%GamePad>와 관련된 설정을 합니다."""
SubCategory_KeyBind_Pad#0,"""기능 할당(<%GamePad>)"""
SubCategory_KeyBind_Pad_Hint#0,"""<%GamePad> 조작 할당을 설정합니다."""
SubCategory_KeyBind_Mouse#0,"""기능 할당(마우스)"""
SubCategory_KeyBind_Mouse_Hint#0,"""마우스 조작 할당을 설정합니다."""
SubCategory_KeyBind_Keyboard#0,"""기능 할당(키보드)"""
SubCategory_KeyBind_Keyboard_Hint#0,"""키보드 조작 할당을 설정합니다."""
SubCategory_MainInputDevice#0,"""주로 사용하는 조작기기"""
SubCategory_MainInputDevice_Hint#0,"""주로 사용할 조작기기를 선택합니다."""
SubCategory_ActionType#0,"""액션 타입 선택"""
SubCategory_ActionType_Hint#0,"""액션 타입을 선택합니다."""
SubCategory_SoundVolume#0,"""음량"""
SubCategory_SoundVolume_Hint#0,"""BGM, SE, 보이스 음량을 설정합니다."""
SubCategory_SoundFunction#0,"""재생 기능"""
SubCategory_SoundFunction_Hint#0,"""음성 재생과 관련된 기능을 설정합니다."""
SubCategory_GraphicsFunction#0,"""품질 기능"""
SubCategory_GraphicsFunction_Hint#0,"""품질과 관련된 기능을 설정합니다."""
SubCategory_GraphicsQuality#0,"""표시 품질"""
SubCategory_GraphicsQuality_Hint#0,"""표시 품질과 관련된 설정을 합니다."""
SubCategory_FilterView#0,"""화면 필터<pict Arcscash>"""
SubCategory_FilterView_Hint#0,"""화면 필터의 설정을 합니다."""
SubCategory_ResetWindow#0,"""윈도우 초기화"""
SubCategory_ResetWindow_Hint#0,"""모든 윈도우의 표시 위치와 사이즈를 초기화합니다."""
SubCategory_GraphicsPreset#0,"""간단 그래픽 설정"""
SubCategory_GraphicsPreset_Hint#0,"""그래픽 설정을 한꺼번에 설정 합니다.<br>수치를 높게 설정하면 품질 퀄리티가 높아지지만<br>처리 부하가 커집니다."""
GraphicsPreset_Info#0,"""그래픽 설정을 한꺼번에 설정 합니다.<br>수치를 높게 설정하면 품질 퀄리티가 높아지지만<br>처리 부하가 커집니다.<br><br>이용 중인 환경의 권장 설정은 <yellow>$(0)<c>입니다."""
GraphicsPreset_Info_CS#0,"""그래픽 설정을 한꺼번에 설정 합니다.<br>수치를 높게 설정하면 품질 퀄리티가 높아지지만<br>처리 부하가 커집니다."""
GraphicsPreset_Button_Change#0,"""변경"""
GraphicsPreset_Button_Cancel#0,"""취소"""
GraphicsPreset_choice_1#0,"""1: 최저"""
GraphicsPreset_choice_2#0,"""2: 낮음"""
GraphicsPreset_choice_3#0,"""3: 중간"""
GraphicsPreset_choice_4#0,"""4: 높음"""
GraphicsPreset_choice_5#0,"""5: 슈퍼"""
GraphicsPreset_choice_6#0,"""6: 울트라"""
GraphicsPreset_choice_1_CS#0,"""1: 프레임 레이트 중시"""
GraphicsPreset_choice_2_CS#0,"""2: 밸런스 중시"""
GraphicsPreset_choice_3_CS#0,"""3: 화질 중시"""
LogoutGuide_Title#0,"""설정 적용에 대하여"""
LogoutGuide_Message#0,"""변경한 그래픽 설정 일부는<br>다음 로그인부터 적용됩니다.<br><br>지금 바로 재시작 하시겠습니까?"""
LogoutGuide_Message_CantLogout#0,"""변경한 그래픽 설정 일부는<br>다음 로그인부터 적용됩니다."""
MenuTreeBasic#0,"""기본 설정"""
MenuTreeDirection#0,"""연출 설정"""
MenuTreeDraw#0,"""품질 설정"""
MenuTreeSound#0,"""음성 설정"""
MenuTreeControl#0,"""조작 설정"""
MenuTreeCommunication#0,"""커뮤니케이션"""
MenuTreeSystem#0,"""시스템"""
MenuButtonBasic#0,"""기본 설정"""
MenuButtonNotice#0,"""알림 설정"""
MenuButtonCamera#0,"""카메라 설정"""
MenuButtonCamera_v#0,"""게임 내 카메라 설정"""
MenuButtonShoot#0,"""촬영 설정"""
