FullTitle#0,"""콜렉트 파일"""
FullInfo#0,"""<c f0df60>목표를 이루면 「보수 아이템」을 받을 수 있습니다.<c><pict sp_icon><c f0df60> 아이콘이 있는 콜렉션은 1시트만 수주할 수 있습니다.<c>"""
Title#0,"""배포 중인 콜렉트 파일"""
CaptionL#0,"""콜렉트 파일 이름"""
AppendCollectionName#0,"""콜렉션"""
CaptionR#0,"""배포 종료일"""
Extend#0,"""시트 소지 수 확장"""
ExtendHaveSheet_RemainEnable#0,"""<yellow>시트 소지 수 확장 (앞으로 $(0)회)<c><pict StarGem>"""
ExtendHaveSheet_RemainDisable#0,"""<gray>시트 소지 수 확장 (앞으로 $(0)회)<pict StarGem><c>"""
PossessionTitle#0,"""소지 중인 시트"""
FullTitle#1,"""콜렉트 시트 선택"""
FullTitle_v#0,"""시트 선택"""
FullInfo#1,"""<c f0df60>원하는 보상 아이템의 시트를 선택해 주세요.<c>"""
Title#1,"""보상 아이템 선택"""
EquipableCheck#0,"""장비 가능 여부"""
Button#0,"""뒤로"""
TitleSheetInfo#0,"""시트 정보"""
SheetNum#0,"""시트 소지 수"""
SheetNum_CurrentNum#0,"""$(0) / $(1) 매"""
SheetNum_CurrentNum_Equal#0,"""<c ff9c70>$(0) / $(1) 매<c>"""
SheetNum_CurrentNum_Over#0,"""<c ff0000>$(0) / $(1) 매<c>"""
CoolTime#0,"""쿨타임"""
CoolTime_Free#0,"""이 시트는 바로 입수할 수 있습니다."""
CoolTime_Wait#0,"""이 시트는<br><red>$(0)<c><br>까지 구할 수 없습니다.<br>(스타젬으로 리셋 가능)"""
CoolTime_SheetExpired#0,"""이 시트는 배포 기간이 종료되어 있기 때문에<br>시트의 입수 및 재입수를 할 수 없습니다."""
FullTitle#2,"""시트 상세"""
FullInfo#2,"""<c f0df60>각자의 목표를 달성하고 「필요 아이템」을 모두 주우면  「보수 아이템」을 받을 수 있습니다.<c>"""
