Title#0,"""파트너 스테이터스"""
Status_Character#0,"""캐릭터성"""
Status_Action#0,"""특성"""
Status_Title#0,"""특수보정"""
Status_Comment#0,"""코멘트"""
Title_PaperDoll#0,"""미리보기"""
Support_Status_Character#0,"""성격"""
Title#1,"""프렌드 파트너 등록"""
Register_Class#0,"""현재 클래스"""
Register_Name#0,"""프렌드 파트너 이름"""
Register_Attack#0,"""캐릭터성"""
Register_Ai#0,"""특성"""
Register_Sp#0,"""특수보정"""
Register_Message#0,"""메시지"""
Error#0,"""에러 메시지"""
Register_M#0,"""프리 파트너 등록"""
Register_M_C#0,"""프렌드 이외의 플레이어에게도 공개하기"""
Squire_Sort1#0,"""표준 정렬"""
Squire_Sort2#0,"""이름순"""
Squire_Sort3#0,"""레벨순"""
Squire_Sort4#0,"""호감도순"""
Squire_Tab1#0,"""파트너"""
Squire_Tab2#0,"""프렌드"""
Squire_Tab3#0,"""서포트"""
Squire_Tab4#0,"""프리"""
Squire_FUN#0,"""FUN 획득 가능"""
Squire_Sort5#0,"""그룹순"""
Title#2,"""파트너 리스트"""
SquireMenu_Item1#0,"""파티에 초대"""
SquireMenu_Item2#0,"""스테이터스를 보기"""
SquireMenu_Item3#0,"""귀환시키기"""
ErrorExsit#0,"""$(0)は、이미 퀘스트 내의 다른 플레이어가 호출했습니다."""
EmptyText#0,"""등록된 파트너가 없습니다"""
MenuItemHint#0,"""$(0)"""
NotCalls#0,"""$(0)は、현재 호출할 수 없습니다."""
HelpText#0,"""<c f0df60>모험할 파트너를 선택해 주세요. 프렌드/서포트/프리는 동행계 오더의 실패가 되지 않습니다.<c>"""
SquireMenu_Item4#0,"""파트너를 교환"""
AllApcReturn#0,"""호출한 파트너를 전부 귀환시키기"""
Message#0,"""정말 모두 귀환시키겠습니까?"""
Message2#0,"""$(0) 파트너를 귀환시켜<br>$(1) 파트너를 파티에 참가시킵니다.<br><br>정말 괜찮으시겠습니까?"""
Title2#0,"""파트너 귀환"""
Title3#0,"""파트너 교대"""
