Window_Titletelop_Exchange_General#0,"""아이템 교환 샵"""
Window_TwolineGuide_Exchange_General#0,"""<c f0df60>샵을 선택해 주세요.<c>"""
Window_Titletelop_Exchange#0,"""아이템 교환"""
Window_TwolineGuide_Exchange#0,"""<c f0df60>특정 아이템을 리스트에서 다른 아이템으로 교환합니다.<c>"""
Window_Controlguide#0,"""<%Decide>: 결정\u3000<%Cancel>: 취소\u3000<%ChangeCtrlWindowForward>: 조작 창 전환"""
Window_Exchange_Itemselection#0,"""교환 아이템 선택"""
Window_Material_Itemselection#0,"""납품 아이템 선택"""
Window_Target_Itemselection#0,"""대상 아이템 선택"""
Window_Target_Itemlist#0,"""대상 아이템 리스트"""
Window_Target_Itemlist_ExchangePattern#0,"""<%MultiSelect> 교환 패턴"""
Window_ExchangeCandidate_Itemlist#0,"""교환후보 아이템 리스트"""
Label_Item_Name#0,"""아이템 이름"""
Label_Required_Number#0,"""필요 수"""
Label_Possession_Number#0,"""소지 수"""
Label_Exchange_Number#0,"""납품 수"""
Window_Special_Ability_Transfer#0,"""특수능력 인계"""
Content_Special_Ability_Transfer#0,"""특수능력 인계 내용"""
Content_Iteminfo_Capacity#0,"""교환 후 $(0)의 용량"""
Button_Exchange#0,"""교환하기"""
Button_Item_Search#0,"""대상 아이템을 마이 샵에서 검색하기"""
Window_Want_Item#0,"""교환 아이템"""
Window_Item_Exchange#0,"""아이템 교환"""
Mes_Item_Unequipped#0,"""아래의 아이템을 <yellow>장비 중<c>입니다.<br>장비를 해제하고자 합니다. 괜찮으시겠습니까?"""
Mes_Item_Unlock#0,"""아래의 아이템이 <yellow>잠금 중<c>입니다.<br>잠금을 해제하고자 합니다. 괜찮으시겠습니까?"""
Mes_Item_Unequipped_Unlock#0,"""아래의 아이템이 <yellow>장비 중/잠금 중<c>입니다.<br>각 상태를 해제하고자 합니다. 괜찮으시겠습니까?"""
Label_Unequipped#0,"""장비 중"""
Label_Unlock#0,"""잠금 중"""
Label_NoItem#0,"""대상 아이템이 없습니다"""
Mes_Exchange_Start#0,"""$(0)×$(1) 아이템과<br>아래의 아이템을 교환합니다.<br>괜찮으시겠습니까?"""
Mes_Exchange_Start2#0,"""$(0) ($(1)個)×$(2) 아이템과<br>아래의 아이템을 교환합니다.<br>괜찮으시겠습니까?"""
Mes_Exchange_Completed#0,"""아이템을 교환했습니다"""
Window_Get_Method#0,"""아이템 획득방법"""
Label_Recommended_TaskList#0,"""권장 태스크 목록"""
Label_Myshop_History#0,"""마이 샵 구매 내역"""
Button_Myshop_Search#0,"""마이 샵에서 검색하기"""
Label_Strengthening_Value#0,"""강화치"""
Label_Quantity#0,"""수량"""
Label_Price#0,"""가격"""
Window_Titletelop_Recycle#0,"""아이템 리사이클"""
Window_Titletelop_MangaMemory#0,"""『PSO2』만화 메모리 교환"""
Window_Titletelop_AdvanceCorps#0,"""원정 준비 특별표 교환($(0)까지）"""
Window_Titletelop_KvarisItem#0,"""아이템 교환: 크바리스"""
Window_Titletelop_StiaItem#0,"""아이템 교환: 스티아"""
Window_Titletelop_Ages#0,"""에이지스 인테그라 교환"""
Window_Titletelop_Ranking#0,"""아크스 레코드 뱃지 교환"""
Window_Titletelop_Slayer#0,"""슬레이어 운영 준비 특별티켓 교환 ($(0)까지)"""
Window_TwolineGuide_Recycle#0,"""특정 소지품을 건네주시면 상품을 받을 수 있습니다. 필요 수보다 더 많이 건네주면 여러 개를 얻을 수 있는 상품도 있습니다."""
Window_Titletelop_TeamBadge#0,"""팀 뱃지 교환 샵"""
Window_TwolineGuide_TeamBadge#0,"""팀 뱃지와 아이템을 교환할 수 있습니다. 필요 수의 배수를 납품하여 아이템을 여러 개 입수할 수 있습니다."""
Label_Acquisition_Quantity#0,"""얻는 갯수"""
Mes_Shop_Access_NG#0,"""퀘스트 진행 중에는 사용할 수 없습니다"""
Special conditions_1#0,"""$(0) 이상"""
Special conditions_2#0,"""속성이 $(0)"""
Special conditions_3#0,"""아무 속성이나"""
Special conditions_4#0,"""★$(0) 이상"""
Special conditions_5#0,"""<pict potential_icon>$(0) 해방 후"""
Special conditions_6#0,"""<pict potential_icon> Lv.$(0)"""
Special conditions_7#0,"""<pict Ability_icon>$(0) 추가 필요"""
Special conditions_8#0,"""<pict Ability_icon>×$(0)"""
Special conditions_9#0,"""$(0)계"""
Special conditions_10#0,"""$(0)"""
Special conditions_11#0,"""$(0) 장비 가능"""
Special conditions_12#0,"""$(0) / $(1)"""
Special conditions_13#0,"""$(0) $(1)"""
Special conditions_14#0,"""아이템"""
Exchange rate_itemname_1#0,"""$(0) ($(1)개)"""
Exchange rate_itemname_2#0,"""$(0) ×$(1)"""
Caution_Failure#0,"""교환에 실패했습니다."""
Caution_MaximumNumber#0,"""교환 가능한 개수의 상한을 넘었습니다."""
Caution_InsufficientStorage#0,"""아이템 팩의 남은 공간 부족<br>또는 소지 수의 한계를 넘어<br>교환할 수 없습니다."""
Caution_ReadExtendedWarehouse#0,"""확장 창고 내의 아이템을 선택할 때는<br>댜른 확장 창고를 불러올 수 없습니다."""
Caution_ProductList#0,"""상품 목록 정보를 가져오지 못했습니다.<br>잠시 후 다시 접속해 주세요."""
EnhancementValue#0,"""강화치＋１이상"""
No_EnhancementValue#0,"""강화 없음"""
Button_Item_Search_Myshop_NG#0,"""마이 샵에 출품할 수 없는 아이템입니다."""
Recyclebadge_ac#0,"""대상 AC 스크래치 아이템"""
Recyclebadge_sg#0,"""대상 SG 스크래치 아이템"""
Recommend_ac#0,"""대상 추천 스크래치 제품"""
PaidShop_Top_Title#0,"""AC/SG 샵"""
PaidShop_Top_Help#0,"""AC, SG로 편리한 아이템이나 패션 아이템을 구입할 수 있습니다."""
PaidShop_Top_MenuTitle#0,"""샵 메뉴"""
PaidShop_Top_MenuItem01#0,"""AC 샵 <pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem02#0,"""SG 샵 <pict 4space><pict StarGem>"""
PaidShop_Top_MenuItem03#0,"""AC 충전하기"""
PaidShop_Top_MenuItem04#0,"""SG 구입하기<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem05#0,"""구입 이력"""
PaidShop_Top_MenuItem06#0,"""AC/SG 내역 확인"""
PaidShop_Top_MenuItem07#0,"""프리미엄 세트란"""
PaidShop_Top_CashTitle#0,"""소지금"""
PaidShop_Top_CashItem01#0,"""소지 AC"""
PaidShop_Top_CashItem02#0,"""소지 SG"""
PaidShop_Top_BannerTitle#0,"""공지사항"""
PaidShop_Top_BannerWebOperation#0,"""<%NextTabDetails>으로 상세한 정보를 WEB 페이지에서 확인할 수 있습니다."""
PaidShop_Top_OperationHelp#0,"""결정: <%Decide>\u3000\u3000뒤로: <%Cancel>\u3000공지사항 전환: <%TabForward><pict 4space><%TabBack>\u3000\u3000WEB 페이지 열기: <%NextTabDetails>"""
