Window_Titletelop_WeeklyRanking#0,"""아틀랜덤 이벤트 레코드"""
Window_TwolineGuide_WeeklyRanking#0,"""개최 중인 아크스 레코드나 그 상세 정보를 확인할 수 있습니다."""
Window_Title_Main#0,"""아크스 레코드 상세"""
Window_Title_RankingList#0,"""레코드 리스트"""
Window_Title_ClearInfo#0,"""클리어 정보 상세"""
Window_Title_RewardDetail#0,"""보수 상세"""
RankingList_Headline_Open#0,"""개최 중"""
RankingList_Headline_Notice#0,"""개최 예정"""
RankingList_Headline_Archive#0,"""개최 종료"""
RankingList_Headline_All#0,"""모두 표시"""
RankingList_StartDate#0,"""$(0)개최 <br>$(1)"""
RankingList_StartDate_All#0,"""$(0)개최 ($(1))<br>$(2)"""
RankingList_Open_Description#0,"""표시할 레코드가 없습니다."""
RankingList_Notice_Description#0,"""표시할 레코드가 없습니다."""
RankingList_Archive_Description#0,"""표시할 레코드가 없습니다."""
RankingList_Loading#0,"""레코드 리스트 불러오는 중……"""
Main_Headline_TitleName#0,"""레코드 이름"""
Main_Headline_Category#0,"""종별"""
Main_Headline_Description#0,"""상세"""
Main_Headline_Period_Open#0,"""개최 기간"""
Main_Headline_Period_Notice#0,"""개최 예정"""
Main_Headline_Period_Close#0,"""개최 일시"""
Main_Headline_MyRank_Open#0,"""현재 레코드 (매일 $(0)에 갱신)"""
Main_Headline_MyRank_Close#0,"""최종 레코드"""
Main_Headline_Reward#0,"""참가 보수"""
Main_Headline_Reward_Description#0,"""참가 보수의 최종 기록에 따라 획득할 수 있는 보상이 달라집니다."""
Main_Headline_TopRank_Open#0,"""현재 상위 레코드 (최대 $(0)인까지 표시)"""
Main_Headline_TopRank_Close#0,"""상위 레코드 (최대 $(0)인까지 표시)"""
MyRank_Description#0,"""아직 아크스 레코드에 참여하지 않았습니다.<br>해당 컨텐츠를 플레이하면 참가할 수 있습니다."""
TopRank_Description#0,"""상위 레코드 정보는 없습니다.<br>(개최 첫날 이후, 매일 $(0)에 갱신됩니다.)"""
Reward_ControlGuide#0,"""<%Function>로 상위 레코드를 확인하기"""
TopRank_ControlGuide#0,"""<%Function>로 참가 보수를 확인하기"""
TabButton_Class_All#0,"""클래스 종합"""
Ranking_Period_Open#0,"""$(1)부터 <br>$(0)까지"""
Ranking_Period_Notice#0,"""앞으로 $(0) 후에 개최됩니다."""
Ranking_Period_Notice_Soon#0,"""곧 개최됩니다."""
Ranking_Period_Close#0,"""$(0)에 종료"""
Rank_Name_Tier1#0,"""골드"""
Rank_Name_Tier2#0,"""실버"""
Rank_Name_Tier3#0,"""브론즈"""
RewardDetail_Headline1#0,"""보수 정보"""
RewardDetail_Headline2#0,"""보수"""
Window_Titletelop_TeamtaskRanking#0,"""팀 태스크 레코드"""
Window_TwolineGuide_TeamtaskRanking#0,"""개최 중인 팀 태스크 레코드나 상세정보를 확인할 수 있습니다."""
Ranking_Reward_Nmeseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Ranking_Reward_StarGem#0,"""$(0)<pict 4space><pict StarGem>"""
Ranking_Reward_Item#0,"""$(0)"""
Ranking_Reward_Item_Num#0,"""$(1) x $(0)"""
Ranking_Reward_Other#0,"""$(0) 외"""
ScoreCategory#0,"""$(0)/$(1)"""
Main_Headline_MyRank_Best#0,"""현재 베스트 레코드"""
Main_Headline_MyRank_Update#0,"""<yellow>베스트 래코드 갱신<c>"""
ScoreDisplay_Best#0,"""<yellow>$(0)<c>"""
ScoreDisplay_Max#0,"""<pure_orange>$(0)<c>"""
ScoreDisplay_Star#0,"""★"""
ScoreDisplay_TimeSS#0,"""$(0):$(1).$(2)"""
Main_Headline_UpdateTime_Open#0,"""집계 기간: ---"""
