MySpaceCommonLabel_EditMode#0,"""편집 모드"""
MySpaceMenuText_OverPeople#0,"""동시에 편집할 수 있는 인원을 초과하여 편집 모드로 전환할 수 없습니다."""
MySpaceMenuText_NoEditAuth2#0,"""편집 권한이 없기 떄문에 편집 모드로 전환할 수 없습니다."""
MySpace_Notice_Editing#0,"""다른 플레이어가 조작 중이므로 편집할 수 없습니다."""
MySpace_EditPublicBlueprintMachine#0,"""이 설계도 단말은 설계도가 공개되어 있어 이동아니 삭제 등을 할 수 없습니다."""
MySpaceMenuText_RunOwner#0,"""이 항목은 스페이스 오너만 사용할 수 있습니다."""
UnusablePaletteText_BuildParts#0,"""이 빌드 파츠는 현재 크리에이티브 스페이스에서 사용할 수 없습니다."""
UnusablePaletteText_BuildParts_Blueprint#0,"""이 빌드 파츠는 스페이스 오너만 사용할 수 있습니다."""
UnusablePaletteText_BuildParts_CSpaceOnly#0,"""이 빌드 파츠는, 팀 스페이스에서는 사용할 수 없습니다."""
UnusablePaletteText_BuildParts_TeamSpaceOnly#0,"""이 빌드 파츠는, 팀 스페이스에서만 사용할 수 있습니다."""
UnusablePaletteText_Blueprint#0,"""이 설계도는 현재 크리에이티브 스페이스에서 사용할 수 없습니다."""
MyspaceInfoText_CrowdedPlaces#0,"""일정 범위 내에 특정 빌드 파츠가 너무 밀집되어 있습니다. 거리를 두고 설치하십시오."""
MyspaceInfoText_BlueprintNonEditable#0,"""설계도에 설치된 빌드 파츠는 이 작업을 수행할 수 없습니다."""
MyspaceInfoText_Outside_Player#0,"""크리에이티브 스페이스의 범위를 벗어났기 때문에 강제 이전되었습니다."""
MyspaceInfoText_Outside_BuildParts#0,"""이 장소에는 빌드 파츠를 설치할 수 없습니다."""
MySpaceMenuText_SearchTag#0,"""검색용 태그"""
MySpaceMenuText_Tag1#0,"""태그 1"""
MySpaceMenuText_Tag2#0,"""태그 2"""
MySpaceMenuText_Tag3#0,"""태그 3"""
MySpaceFloating_up1#0,"""상승:"""
MySpaceFloating_up2#0,"""<%Jump>키를 누르며 전진"""
MySpaceFloating_down1#0,"""하강:"""
MySpaceFloating_down2#0,"""<%Jump>키를 누르며 후진"""
MySpaceFloating_speed_up1#0,"""가속:"""
MySpaceFloating_speed_up2#0,"""<%Avoid>키 길게"""
BuildMenu_DisallowBlueprintName#0,"""사용 불가 설계도"""
BuildMenu_DisallowBlueprintText#0,"""크로스 플레이가 불가능한 크리에이티브 스페이스로 인해<br>이 설계도는 사용할 수 없습니다"""
BuildMenu_NoPartsBlueprintText#0,"""설계도에 포함된 빌드 파츠가 등록되어 있지 않아 설치가 불가능합니다."""
MySpaceDirectPurchase_CantBuyTitle#0,"""구매할 수 없는 빌드 파츠"""
MySpaceDirectPurchase_CantBuyText1#0,"""이 설계도에는<br>제네시스 포인트나 스타잼으로 구매할 수 없는<br>미보유 빌드 파츠가 포함되어 있습니다."""
