Accessories_Name1#0,"""악세서리 1"""
Accessories_Name2#0,"""악세서리 2"""
Accessories_Name3#0,"""악세서리 3"""
Accessories_Name4#0,"""악세서리 4"""
Accessories_FormTitle#0,"""악세서리 """
List_FormTitle#0,"""악세서리 목록"""
NoAccessoriesMessage#0,"""악세서리가 없습니다"""
Remove#0,"""제외"""
AccessoryTab_All#0,"""모든 악세서리 """
AccessoryTab_Hat#0,"""머리 상단"""
AccessoryTab_Glasses#0,"""머리 중단"""
AccessoryTab_HeadAll#0,"""머리 소품"""
AccessoryTab_Other#0,"""기타"""
AccessoryTab_Favorite#0,"""즐겨찾기"""
Fashion_Title#0,"""패션 편집"""
Fashion_Title2#0,"""패션 정보"""
Fashion_HairStyle#0,"""헤어 스타일 선택"""
Fashion_HeadParts#0,"""헤드 파츠 선택"""
Fashion_BodyPaint#0,"""바디 페인트 선택"""
Fashion_Costume#0,"""코스튬 선택"""
Fashion_Body#0,"""바디 선택"""
Fashion_Arm#0,"""암 선택"""
Fashion_Leg#0,"""레그 선택"""
Fashion_BaseWear#0,"""베이스 웨어 선택"""
Fashion_InnerWear#0,"""이너 웨어 선택"""
Fashion_OuterWear#0,"""아우터 웨어 선택"""
Fashion_Acc#0,"""악세서리 변경"""
Fashion_PaintPriority#0,"""바디 페인트 표시 순서 변경"""
Fashion_SwordPosition#0,"""납도 위치 조정"""
Fashion_MoveMotion#0,"""주행 모션 선택"""
Fashion_MyFashion#0,"""마이 패션"""
Item_Motion_Leg#0,"""이족 보행"""
Item_Motion_Hover#0,"""호버"""
info_title_Hair#0,"""헤어 스타일/헤드 파츠"""
info_title_Body#0,"""바디 페인트"""
info_title_Costume#0,"""코스튬"""
info_title_Parts#0,"""파츠"""
info_title_Layer#0,"""레이어링 웨어"""
info_title_Acc#0,"""악세서리 """
info_title_Face#0,"""얼굴"""
info_title_Make#0,"""메이크 업 패턴"""
info_title_Sticker#0,"""스티커"""
info_Hair#0,"""머리"""
info_Body#0,"""바디"""
info_Arm#0,"""암"""
info_Leg#0,"""레그"""
info_Costume#0,"""옷"""
info_Outer#0,"""아우터"""
info_Base#0,"""베이스"""
info_Inner#0,"""이너"""
info_1#0,"""1"""
info_2#0,"""2"""
info_3#0,"""3"""
info_4#0,"""4"""
info_5#0,"""5"""
info_6#0,"""6"""
info_7#0,"""7"""
info_8#0,"""8"""
info_9#0,"""9"""
info_10#0,"""10"""
info_11#0,"""11"""
info_12#0,"""12"""
info_Face#0,"""얼굴"""
info_Eye#0,"""눈동자"""
info_EyeR#0,"""오른쪽 눈동자"""
info_EyeL#0,"""왼쪽 눈동자"""
info_Eyebrow#0,"""눈썹"""
info_Eyelash#0,"""속눈썹"""
info_Teeth#0,"""치아"""
