exit_confirm_title#0,"""종료 확인"""
exit_confirm_message#0,"""キャラクターポートレートを終了し<br>タイトルに戻ります。<br>정말 괜찮으시겠습니까?"""
slash#0,"""/"""
button1#0,"""ポーズ設定"""
button2#0,"""キャラ選択"""
button3#0,"""吹き出し設定"""
reset_transform_confirm_title#0,"""配置リセット確認"""
reset_transform_confirm_message#0,"""キャラクターの配置をリセットします。<br>정말 괜찮으시겠습니까?"""
title#0,"""キャラクター選択"""
Character_5071#0,"""ヒューマン男性"""
Character_5072#0,"""キャスト男性"""
Character_5073#0,"""ニューマン女性"""
Character_5074#0,"""キャスト女性"""
Character_5075#0,"""ニューマン男性"""
Character_5076#0,"""ヒューマン女性"""
Character_5102#0,"""デューマン男性"""
Character_5103#0,"""デューマン女性"""
title#1,"""ポーズ設定"""
text1#0,"""装備変更"""
text2#0,"""ポーズ選択"""
text3#0,"""表情選択"""
text4#0,"""口選択"""
button1#1,"""ポーズモーション調整"""
list_man#0,"""タイプ1"""
list_woman#0,"""タイプ2"""
weapon_none#0,"""素手"""
mouth_size_change#0,"""顔モーション コマ送り"""
face_type1#0,"""通常"""
face_type2#0,"""笑顔"""
face_type3#0,"""怒り"""
face_type4#0,"""悲しみ"""
face_type5#0,"""不信感"""
face_type6#0,"""目閉じ"""
Wait#0,"""待機"""
WalkFront#0,"""歩き"""
RunFront#0,"""走り"""
WaitBattle#0,"""抜刀待機"""
RunFrontBattle#0,"""抜刀走り"""
DashFront#0,"""ホバー(前)"""
DashBack#0,"""ホバー(後)"""
DashLeft#0,"""ホバー(左)"""
DashRight#0,"""ホバー(右)"""
title#2,"""モーション調整"""
text1#1,"""モーション재생"""
button1#2,"""モーションを재생する"""
button2#1,"""基本のポーズに戻す"""
button3#1,"""スロー재생にする"""
button4#0,"""モーション コマ送り"""
button5#0,"""モーション コマ送り"""
button1_1#0,"""モーションを정지する"""
button3_1#0,"""通常재생にする"""
title#3,"""吹き出し設定"""
text1#2,"""메시지内容"""
text2#1,"""吹き出しの形"""
text3#1,"""漫符"""
button1#3,"""位置調整"""
button2#2,"""削除"""
button3#2,"""吹き出しを作り直す"""
balloon_clear_confirm_title#0,"""吹き出し内容クリア"""
balloon_clear_confirm_message#0,"""吹き出し内容をクリアします。<br>정말 괜찮으시겠습니까?"""
balloon_type0#0,"""通常"""
balloon_type1#0,"""ガヤ"""
balloon_type2#0,"""強調"""
balloon_type3#0,"""もわもわ"""
balloon_type4#0,"""通常（名前없음）"""
balloon_type5#0,"""強調（名前없음）"""
balloon_type6#0,"""もわもわ（名前없음）"""
title#4,"""吹き出し選択"""
text1#3,"""新規作成"""
Number1#0,"""1. """
Number2#0,"""2. """
Number3#0,"""3. """
