Achievements_Fullsize_Title#0,"""칭호"""
Achievements_Form_Title#0,"""칭호 일람"""
Achievements_Filter_Accomplished#0,"""획득한 칭호"""
Achievements_Filter_InProgress#0,"""미획득 칭호"""
Achievements_Filter_All#0,"""모든 칭호"""
Achievements_Tab_All#0,"""전부"""
Achievements_Tab_Player#0,"""플레이어"""
Achievements_Tab_Enemy#0,"""エネミー"""
Achievements_Tab_Item#0,"""아이템"""
Achievements_Tab_Quest#0,"""퀘스트"""
Achievements_Tab_Task#0,"""태스크"""
Achievements_Tab_Community#0,"""커뮤니티"""
Achievements_Tab_Communication#0,"""コミュニケーション"""
Achievements_Tab_Map#0,"""맵"""
Achievements_Tab_Limited-Time#0,"""期間限定"""
Achievements_Sort_Normal#0,"""표준 정렬"""
Achievements_Sort_Get#0,"""획득순"""
Achievements_Point_Title#0,"""실적 포인트"""
Achievements_Point#0,"""$(0) pt"""
Achievements_Total_Title#0,"""獲得称号数"""
Achievements_Total#0,"""$(0) 個"""
Achievements_Unknown#0,"""??????"""
Achievements_Progress_Title#0,"""진행도"""
Achievements_Progress#0,"""$(0)/$(0)"""
Achievements_Button_Back#0,"""닫기"""
Achievements_Empty_List#0,"""대상 칭호가 없습니다"""
Achievements_Please_Wait#0,"""잠시 기다려 주십시오"""
Achievements_Details_Title#0,"""「$(0)」의 상세"""
Achievements_Details_RewardCheck1#0,"""<%Function>로 보상상세"""
Achievements_Details_RewardCheck2#0,"""<%Function>로 기본정보"""
Achievements_Details_Rewind_Condition#0,"""재수주 조건"""
Achievements_Details_Rewind_Condition_Account#0,"""계정 1회 한정"""
Achievements_Details_Rewind_Condition_Character#0,"""캐릭터 1회 한정"""
Achievements_Details_Overview#0,"""개요"""
Achievements_Details_Overview_Template#0,"""이 칭호를 획득하면 아크스 카드에서<br>「$(0)」를<br>사용할 수 있습니다."""
Achievements_Details_Reward#0,"""보상"""
Achievements_Details_NoReward#0,"""보상 아이템은 없습니다."""
Achievements_Basic_Info#0,"""기본정보"""
Achievements_Reward_Info#0,"""보상정보"""
Achievements_Operation_Info#0,"""←→で項目切り替え"""
Achievements_Details_Unselected#0,"""称号タスクが選択されていません。"""
Achievements_Detial_Tilte_Unselected#0,"""称号タスク詳細"""
Achievements_Detial_ItemName#0,"""称号名“$(0)”"""
Achievements_Reward_Quantity_Num#0,"""×$(0)"""
