WINDOW_TITLE#0,"""어떻게 할까?"""
CLOSE_MENU#0,"""여기서 떠난다"""
START_CLIENT_ORDER#0,"""클라이언트 오더"""
START_TALK#0,"""이야기 하기"""
MB_ACCEPT#0,"""받는다"""
MB_REPORT#0,"""보고하기"""
MB_REJECT#0,"""거절하기"""
TICKET_BOARD#0,"""패스 발행"""
ARKSROAD_FORM#0,"""아크스 로드 달성 확인"""
ARKSROAD#0,"""아크스 로드에 대하여"""
ARKSMISSION_FORM#0,"""아크스 미션"""
KNOWLEDGE#0,"""아스타르테의 과외"""
SHIP_BATTLE_MENU#0,"""아크스 쉽 대항전"""
SHOP_PASTRY#0,"""나우라 케이크 가게"""
SHAO1#0,"""협력을 요청하기"""
SHAO2#0,"""기본 지식 복습하기"""
SHAO3#0,"""현재 상황 확인"""
PRESENT_POINT#0,"""$(0) 에게서 선물을 받을 수 있습니다."""
PET_LIMIT_BREAK#0,"""펫의 한계 돌파 부탁하기"""
SUMMONER_MENU#0,"""서모너에 대한 듣기"""
STORY_BOARD#0,"""스토리 보드 【EP4】"""
EVENT_CHRONICLE#0,"""이벤트 클로니클"""
SUMMONER_MENU1#0,"""펫의 성격에 대하여"""
GAT_TUTORIAL#0,"""개더링에 대한 설명 듣기"""
GAT_TUTORIAL1#0,"""스킬 링에 대한 설명 듣기"""
EQUIP_NOTE#0,"""콜렉트 파일"""
EQUIP_NOTE_TUTORIAL#0,"""『콜렉트 파일』에 대해서 듣기"""
ArksLeague#0,"""리그 보수를 받기"""
ArksLeagueRanking#0,"""최신 리그 정보를 보기"""
Arks_Tut#0,"""『아크스 리그』에 대하여"""
INVITE_REWARD#0,"""초대 보수"""
FCap_Tut#0,"""『패미통 컵』에 대하여"""
GetPokaRankingReward#0,"""배틀 랭킹 보수를 받기"""
Celestial_Sphere#0,"""경관을 변경하기"""
EP4_CHANGE_SIERRA#0,"""EP4 모드로 변경하기"""
EP5_CHANGE_SIERRA#0,"""EP5 모드로 변경하기"""
ALMA_MENU#0,"""질문하기"""
HERO_MENU01#0,"""히어로에 대한 설명을 듣기"""
PHANTOM_MENU01#0,"""팬텀에 대한 설명을 듣기"""
ETOILE_MENU01#0,"""에트왈에 대한 설명 듣기"""
LUSTER_MENU01#0,"""러스터에 대한 설명 듣기"""
RECYCLESHOP_JIG_TITLE1#0,"""증서 교환 샵"""
QC_STORY_EP5#0,"""메인 퀘스트 【EP5】"""
QC_OMNIBUS#0,"""옴니버스 퀘스트 【EP1～3】"""
QC_OMNIBUS_EP1#0,"""EPISODE 1"""
QC_OMNIBUS_EP2#0,"""EPISODE 2"""
QC_OMNIBUS_EP3#0,"""EPISODE 3"""
RECYCLESHOP_JIG_TITLE01#0,"""크리시스 시리즈 업그레이드<pict Fresh>"""
RECYCLESHOP_JIG_TITLE02#0,"""장비품 업그레이드"""
RECYCLESHOP_JIG_TITLE03#0,"""기타 아이템 입수"""
RECYCLESHOP_JIG_TITLE04#0,"""발 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE05#0,"""네메시스 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE06#0,"""슬레이브 시리즈 업그레이드"""
RECYCLESHOP_JIG_TITLE07#0,"""아트라 시리즈 무기 카테고리 변경<pict Fresh>"""
BEGINNER_GUIDE#0,"""아크스 핸드북"""
SCQ_ITEMSHOP_TITTLE#0,"""아이템 샵"""
TICKETSHOP_ES_TITTLE01#0,"""期間限定交換ショップ（～2018年10月10日11時00分)"""
TICKETSHOP_ES_TITTLE03#0,"""期間限定交換ショップ（～2019年9月4日11時00分)"""
TICKETSHOP_ES_TITTLE04#0,"""期間限定交換ショップ（～2019年10月2日11時00分)"""
TICKETSHOP_ES_TITTLE02#0,"""期間限定交換ショップ（～2019年5月15日11時00分）"""
TICKETSHOP_ES_TITTLE05#0,"""期間限定交換ショップ（～2020年5月13日11時00分）"""
