Outline_00#0,"""줄곧 이날을 기다리고 있었다"""
Outline_01#0,"""줄곧 내일을 기다리고 있었다 A"""
Outline_02#0,"""줄곧 내일을 기다리고 있었다 B"""
Outline_03#0,"""섬뜩한 나베리우스 A"""
Outline_04#0,"""이상한 나베리우스 B"""
Outline_05#0,"""모래 먼지 속 A"""
Outline_06#0,"""모래 먼지 속 B"""
Outline_07#0,"""용의 병 A"""
Outline_08#0,"""용의 병 B"""
Outline_09#0,"""모래에 숨겨진 것 A"""
Outline_10#0,"""용에게 맡겨진 것 A"""
Outline_11#0,"""모래에 숨겨진 것 B"""
Outline_12#0,"""용에게 맡겨진 것 B"""
Outline_13#0,"""다커의 습격"""
Outline_14#0,"""종말의 시작 A"""
Outline_15#0,"""종말의 시작 B"""
Outline_16#0,"""종말의 시작 C"""
Outline_17#0,"""첫 결별 A"""
Outline_18#0,"""첫 결별 B"""
Outline_19#0,"""마지막 작별"""
Outline_20#0,"""아크스 전투기술 대회! A"""
Outline_21#0,"""아크스 전투기술 대회! B"""
Outline_22#0,"""아크스 전투기술 대회! C"""
Outline_23#0,"""의지가 이끄는 미지의 길 A"""
Outline_24#0,"""의지가 이끄는 미지의 길 B"""
Outline_25#0,"""지금까지와 앞으로 A"""
Outline_26#0,"""지금까지와 앞으로 B"""
Outline_27#0,"""종말의 시작 D"""
Outline_28#0,"""뜻밖의 조우 A"""
Outline_29#0,"""뜻밖의 조우 B"""
Outline_30#0,"""더는 그곳에 없는 나"""
Outline_31#0,"""푸른 바다 밑에서 떨다 A"""
Outline_32#0,"""푸른 바다 밑에서 떨다 B"""
Outline_33#0,"""다커의 습격 B"""
Outline_34#0,"""재탄의 날"""
Outline_35#0,"""내가 태어난 그 이유"""
Outline_36#0,"""白黒遊戯"""
Outline_37#0,"""誰が誰を許すのか"""
Outline_38#0,"""灰に塗れた伝承"""
Outline_39#0,"""歴史を騙し、現在を喰らう"""
Outline_40#0,"""出来損ないの最高傑作"""
Outline_41#0,"""大切なひとを守るために"""
Outline_42#0,"""あなたが生まれたその理由"""
Outline_43#0,"""此処に在る意味"""
Outline_00#1,"""EP1 서장"""
Outline_01#1,"""EP1 제 1장"""
Outline_02#1,"""EP1 제 1장"""
Outline_03#1,"""EP1 제 2장"""
Outline_04#1,"""EP1 제 2장"""
Outline_05#1,"""EP1 제 3장"""
Outline_06#1,"""EP1 제 3장"""
Outline_07#1,"""EP1 제 4장"""
Outline_08#1,"""EP1 제 4장"""
Outline_09#1,"""EP1 제 5장"""
Outline_10#1,"""EP1 제 6장"""
Outline_11#1,"""EP1 제 5장"""
Outline_12#1,"""EP1 제 6장"""
Outline_13#1,"""EP1 제 7장"""
Outline_14#1,"""EP1 제 8장"""
Outline_15#1,"""EP1 제 8장"""
Outline_16#1,"""EP1 제 8장"""
Outline_17#1,"""EP1 제 9장"""
Outline_18#1,"""EP1 제 9장"""
Outline_19#1,"""EP1 제 10장"""
Outline_20#1,"""EP1 외전"""
Outline_21#1,"""EP1 외전"""
Outline_22#1,"""EP1 외전"""
Outline_23#1,"""EP2 제 1장"""
Outline_24#1,"""EP2 제 1장"""
Outline_25#1,"""EP2 제 2장"""
Outline_26#1,"""EP2 제 2장"""
Outline_27#1,"""EP1 제 8장"""
Outline_28#1,"""EP2 제 3장"""
Outline_29#1,"""EP2 제 3장"""
Outline_30#1,"""EP2 외전"""
Outline_31#1,"""EP2 제 4장"""
Outline_32#1,"""EP2 제 4장"""
Outline_33#1,"""EP1 제 7장"""
Outline_34#1,"""EP2 제 5장"""
Outline_35#1,"""EP2 제 6장"""
Outline_36#1,"""EP3 제 1장"""
Outline_37#1,"""EP3 제 2장"""
Outline_38#1,"""EP3 제 3장"""
Outline_39#1,"""EP3 제 4장"""
Outline_40#1,"""EP3 제 5장"""
Outline_41#1,"""EP3 제 6장"""
Outline_42#1,"""EP3 제 7장"""
Outline_43#1,"""EP3 외전"""
