GroupChat_Title#0,"""Group Chat"""
GroupChat_SetMsg#0,"""Registered Groups"""
GroupChat_NewMsg#0,"""Invitations"""
GroupChat_MakeGroup#0,"""Make a Group"""
GroupChat_NewNumMsg#0,"""Invites ($(0))"""
GroupChat_GroupLeader#0,"""[Group Leader]"""
Popup_Active#0,"""Display Group"""
Popup_Inactive#0,"""Hide Group"""
Popup_Confirm#0,"""Check Members"""
Popup_Invite#0,"""Invite Someone"""
Popup_Banish#0,"""Remove Someone"""
Popup_ChangeName#0,"""Edit Group Settings"""
Popup_ChangeLeader#0,"""Change Leader"""
Popup_MoveTop#0,"""Move to Top"""
Popup_Delete#0,"""Leave Group"""
Popup_Join#0,"""Register"""
GroupChat_Title_New#0,"""Create a Group"""
GroupChat_GroupName#0,"""Group Name"""
GroupChat_GroupComment#0,"""Group Comment"""
GroupChat_Decided#0,"""Accept"""
GroupChat_Canceled#0,"""Cancel"""
GroupChat_Title_Rename#0,"""Edit Group Settings"""
GroupChat_Rename#0,"""Edit Group Topic"""
GroupChat_MemberTab1#0,"""Online ($(0))"""
GroupChat_MemberTab4#0,"""Online"""
GroupChat_MemberTab2#0,"""Offline"""
GroupChat_MemberTab3#0,"""Blacklisted"""
GroupChatError_Title#0,"""Message"""
GroupChatError_ListNumFault#0,"""Group could not be displayed."""
GroupChatError_MakeGroupFault#0,"""Could not create group."""
GroupChatError_MakeNGWordFault#0,"""This group name can not be used."""
GroupChatError_MakeGroupMaxFault#0,"""Maximum number of groups reached.<br>Could not create group."""
GroupChatError_RenameGroupFault#0,"""Could not edit the group."""
GroupChatError_RenameNGWordFault#0,"""This group name can not be used."""
GroupChatQues_Title#0,"""Confirm"""
GroupChatQues_Banish#0,"""Removing $(0) from this group.<br><br>Are you sure?"""
GroupChatQues_Leader#0,"""Transferring leadership rights to $(0).<br><br>Are you sure?"""
GroupChatQues_Delete#0,"""Now leaving \""$(0)\"".<br><br><yellow>※If you want to rejoin this group later, you will need to be invited again.<c><br><br>Are you sure?"""
GroupChatQC_Invite_Title#0,"""Group Invite"""
GroupChatQC_Invite_Mess#0,"""$(1) has invited you to \""$(0)\"".<br>Do you want to reply now?<br><br>※If you select \""No\"", you can reply later from \""Chat Settings\"" on the main menu."""
GroupChatQC_Join_Log#0,"""$(1) has added $(0)."""
NewGroupChat#0,"""New Group Invitation"""
NewExpGroupChat#0,"""Received a Group Invite."""
GroupChatTost_GroupList#0,"""Get Group information."""
GroupChatTost_GroupCreate#0,"""Created a Group."""
GroupChatTost_Delete#0,"""Left the Group \""$(0)\""."""
GroupChatTost_MemberList#0,"""Member Information"""
GroupChatTost_MemberInvite#0,"""An invite has been sent."""
GroupChatTost_MemberJoin#0,"""Joined the Group [$(0)]."""
GroupChatTost_MemberBanish#0,"""$(0) has been removed from the Group."""
GroupChatTost_GroupActive#0,"""Displaying the Group \""$(0)\""."""
GroupChatTost_GroupInactive#0,"""No Groups displayed."""
GroupChatTost_NameChange#0,"""Group settings have been changed."""
GroupChatTost_MoveTop#0,"""Move to Top"""
GroupChatTost_LeaderSuccess#0,"""$(0) has become the new Group Leader."""
GroupChatTost_LeaderFailed#0,"""Could not become the leader."""
GroupChatTost_InviteFailed#0,"""Group invite was not received."""
GroupChatTost_Error#0,"""General Error"""
GroupChatTost_CreateGroupError#0,"""Failed to create the group."""
GroupChatTost_ListReceiveError#0,"""Could not retrieve groups."""
GroupChatTost_InviteGroupError#0,"""Invitation failed."""
GroupChatTost_ToInviteGroupError#0,"""An error occurred with the invitation."""
GroupChatTost_ReInviteGroupError#0,"""Failed to receive the invitation."""
GroupChatTost_LeaveGroupError#0,"""Could not leave the group."""
GroupChatTost_DeleteGroupError#0,"""Failed to remove the selected user."""
GroupChatTost_UpdateTextError#0,"""Failed to change group name and comment."""
GroupChatTost_MoveListError#0,"""Failed to change group list."""
GroupChatTost_LockError#0,"""Failed to lock group."""
GroupChatTost_GetLogError#0,"""ログの取得に失敗しました。"""
GroupChatTost_DenyInviteError#0,"""招待拒否設定に失敗しました。"""
GroupChatTost_InviteListError#0,"""招待中リストの取得に失敗しました。"""
GroupChatTost_InviteLimitOver#0,"""招待数オーバーの為$(0)からの招待を受け取れませんでした。"""
GroupChatTost_InviteDeny#0,"""一部、非招待設定のフレンドがいました。"""
FriendList_Title#0,"""Invitation to \""$(0)\"""""
Make_Default_Name#0,"""$(0)のグループ名"""
FriendList_Tree_Online#0,"""Possible Invitees Online ($(0))"""
FriendList_Tree_OnlineLite#0,"""Friends Online ($(0))"""
FriendList_Tree_Offline#0,"""Possible Invitees Offline ($(0))"""
FriendList_Tree_OfflineLite#0,"""Offline Friends ($(0))"""
FriendList_Tree_BlackList#0,"""Blacklisted ($(0))"""
FriendList_Tree_Member#0,"""Group Members ($(0))"""
FriendList_Tree_Invite#0,"""Pending Invitation ($(0))"""
GroupList_NoItem#0,"""There are no registered groups.<br><br>You can either join a group, or create one by<br>pressing \""Create a Group\"" and inviting friends."""
InviteList_NoItem#0,"""You are not being invited to any groups."""
GroupChatDate#0,"""$(1)/$(0) $(2)"""
GroupChatDateSunday#0,"""(Sun)"""
GroupChatDateMonday#0,"""(Mon)"""
GroupChatDateTuesday#0,"""(Tues)"""
GroupChatDateWednesday#0,"""(Wed)"""
GroupChatDateThursday#0,"""(Thurs)"""
GroupChatDateFriday#0,"""(Fri)"""
GroupChatDateSaturday#0,"""(Sat)"""
GroupListLabel#0,"""$(0) ($(1))"""
GroupListLabelMax#0,"""$(0) <c ff9933>($(1))<c>"""
