Cancel#0,"""취소하고 종료"""
Decide#0,"""변경 확정"""
Title#0,"""에스테"""
Message#0,"""변경하신 내용을 반영하지 않고 종료합니다.<br>괜찮으십니까?"""
AllRandomTitle#0,"""확인"""
AllRandomMessage#0,"""모든 항목을 랜덤으로 설정해도<br>괜찮으십니까?"""
PaymentCheckTitle#0,"""퇴장 확인"""
PaymentCheckMessage#0,"""변경 내용에<c ff4f3f>AC소모 컨텐츠<c>가 포함되어있습니다.<br><br>・변경을 취소하시려면 「아니오」를 선택하고<br>\u3000「편집 내용 확인」에서 변경을 취소해주십시오.<br><br>・변경을 적용하고 퇴장하시려면<br>\u3000「네」를 선택하시면 확인 화면으로 넘어갑니다.<br><br>변경을 적용하고 퇴장하시겠습니까?"""
ColorCheckMessage#0,"""변경 내용에<yellow>컬러 체인지 패스<c>가<br>필요한 항목이 포함되어있습니다.<br><br>・변경을 취소하시려면 「아니오」를 선택하고<br>\u3000「편집 내용 확인」에서 변경을 취소해주십시오.<br><br>・변경을 적용하고 퇴장하시려면<br>\u3000「네」를 선택하시면 확인 화면으로 넘어갑니다.<br><br>변경을 적용하고 퇴장하시겠습니까?"""
ConsumeCheckTitle#0,"""패스 사용 확인"""
ConsumeCheckMessage#0,"""<pict Arcscash><c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>소모 없이 재편집이 가능합니다.<c>"""
ConsumeCheckMessage2#0,"""<c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br><yellow>※에스테 무료 패스에는 프리미엄 유효기간 중<br>\u3000\u3000재편집 가능 기간이 적용되지 않습니다.<br>주의해주십시오<c>"""
ItemCheckMessage#0,"""<c 5fdf00>보유 아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?"""
BuyCheckTitle#0,"""패스 구입 확인"""
BuyCheckMessage#0,"""<pict Arcscash><c ff4f3f>AC소모 컨텐츠<c><br>변경을 적용하고 퇴장하려면 이하 패스가 필요합니다.<br>AC를 소모해 구입한 후 퇴장하시겠습니까?<br>(보유AC：$(0))<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>소모 없이 재편집이 가능합니다."""
BuyCheckItem#0,"""$(0)($(1)AC)"""
PaymentCheckMessageSG#0,"""변경 내용에<c 1dedd7>SG소모 컨텐츠<c>가 포함되어있습니다.<br><br>・변경을 취소하시려면 「아니오」를 선택하고<br>\u3000「편집 내용 확인」에서 변경을 취소해주십시오.<br><br>・변경을 적용하고 퇴장하시려면<br>\u3000「네」를 선택하시면 확인 화면으로 넘어갑니다.<br><br>변경을 적용하고 퇴장하시겠습니까?<br><red>※AC로 구입하신 에스테 패스도 이용하실 수 있습니다.<c>"""
ConsumeCheckMessageColor#0,"""<pict Arcscash><c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>・컬러 체인지 패스<br>소모 없이 재편집이 가능합니다.<c><br><br>※컬러 체인지 패스를 사용한 아이템에 한해<br>\u3000\u3000재편집이 가능해집니다<br>※캐스트 컬러 선택도 재편집이 가능해집니다"""
ConsumeCheckMessageSGColor#0,"""<pict StarGem><c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>・컬러 체인지 패스<br>소모 없이 재편집이 가능합니다.<br><br>※컬러 체인지 패스를 사용한 아이템에 한해<br>\u3000\u3000재편집이 가능해집니다<br>※캐스트 컬러 선택도 재편집이 가능해집니다"""
ConsumeCheckMessageSG#0,"""<pict StarGem><c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>소모 없이 재편집이 가능합니다."""
ConsumeCheckMessage2Color#0,"""<c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>변경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・컬러 체인지 패스<br>소모 없이 재편집이 가능합니다.<br><br>※컬러 체인지 패스를 사용한 아이템에 한해<br>\u3000\u3000재편집이 가능해집니다<br>※캐스트 컬러 선택도 재편집이 가능해집니다<br><yellow>※에스테 무료 패스에는 프리미엄 유효기간 중의<br>\u3000\u3000재편집 가능 기간이 적용되지 않습니다. 주의해주십시오.<c>"""
ItemCheckMessage2#0,"""<c 5fdf00>아이템 사용<c><br>이하 아이템을 사용하는 것으로<br>경을 적용하고 퇴장합니다. 괜찮으십니까?<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・러 체인지 패스<br>소모 없이 재편집이 가능합니다.<br><br>※컬러 체인지 패스를 사용한 아이템에 한해<br>\u3000\u3000재편집이 가능해집니다<br>※캐스트 컬러 선택도 재편집이 가능해집니다"""
BuyCheckMessageSG#0,"""<pict StarGem><c 1dedd7>SG소모 컨텐츠<c><br>변경을 적용하고 퇴장하려면 이하 패스가 필요합니다.<br>SG를 소모해 구입한 후 퇴장하시겠습니까?<br>(보유SG：$(0))<br><br>프리미엄 유효기간 중에는 퇴장 후 60분간<br>・에스테 이용 패스S/에스테 이용 패스<br>소모 없이 재편집이 가능합니다."""
BuyCheckItemSG#0,"""$(0)($(1)SG)"""
CashIconAC#0,"""<white><pict Arcscash><c>"""
CashIconSG#0,"""<white><pict StarGem><c>"""
ColorChangePassIcon#0,"""<white><pict c_c_path><c>"""
Title#1,"""에스테"""
Result_0#0,"""무효"""
Result_1_1#0,"""패스를 구입 또는 사용하여 변경을 적용했습니다.<br>이용해 주셔서 감사합니다."""
Result_1_2#0,"""결제는 없습니다.<br>이용해 주셔서 감사합니다."""
Result_1_3#0,"""패스를 구입 또는 사용하여 변경을 적용했습니다.<br>이용해 주셔서 감사합니다.<br><br>「에스테 이용 패스」사용 후 60분동안은<br>패스 소모 없이 재편집이 가능합니다."""
Result_1_4#0,"""재편집 가능 기간중이기때문에 결제는 없습니다.<br>이용해 주셔서 감사합니다."""
Result_2#0,"""외형 편집 정보에 문제가 발생했습니다.<br><br>오류 코드[2000]"""
Result_3#0,"""AC가 부족합니다.<br>다시 확인 부탁드립니다.<br><br>오류 코드[2001]"""
Result_4#0,"""시스템 오류가 발생했습니다.<br>시간을 두시고 다시 시도해주십시오."""
Result_5#0,"""소지품 편집 정보에 문제가 발생했습니다.<br><br>오류 코드[2002]"""
Result_6#0,"""해당 아이템을 보유하고있지 않습니다.<br>다시 확인 부탁드립니다."""
Result_7#0,"""구입에 실패했습니다.<br>AC가 부족할 수 있으니<br>확인 부탁드립니다."""
Result_8#0,"""구입에 실패했습니다.<br>시스템 오류일 수 있으니<br>시간을 두고 다시 시도해주십시오.<br><br>오류 코드[2003]"""
Title_SPCreate#0,"""서포트 파트너 캐릭터 크리에이트"""
Title_SPEdit#0,"""서포트 파트너 에스테"""
Result_SPCreate_ParamError#0,"""올바른 데이터를 작성하지 못했습니다."""
Result_SPCreate_MaxError#0,"""서포트 파트너를<br>이 이상 추가할 수 없습니다."""
Result_SPCreate_ChargeError#0,"""작성에 실패했습니다.<br>AC가 부족할 수 있으니<br>확인 부탁드립니다."""
Result_SPCreate_SystemError#0,"""시스템 에러가 발생했습니다.<br>시간을 두시고 다시 시도해주십시오."""
Result_SPRemake_NoPartner#0,"""올바른 데이터를 작성하지 못했습니다."""
Result_SPRemake_EquipError#0,"""아이템 팩에 빈 공간이 없습니다."""
Result_SPRemake_ChargeError#0,"""작성에 실패했습니다.<br>AC가 부족할 수 있으니<br>확인 부탁드립니다."""
