ChallengeSet#0,"""Conjunto de clases"""
ChallengeSet_contents#0,"""Detalles de la clase"""
ChallengeSet_ability#0,"""Descripción de clases (Pulse OK para ver los detalles de la habilidad de la clase, etc.)"""
ChallengeSet_ability_list#0,"""Lista de Habilidades de Clase  / Photon Arts / Techniques"""
ChallengeSet_select#0,"""Seleccionar conjunto de clases"""
ChallengeSet_confirm#0,"""Confirmar conjunto de clases"""
ChallengeSet_message#0,"""$(0)<br>Cambiará tu equipo, habilidades de clase, etc.<br><br>¿Estás seguro?"""
ChallengeSet_nouse#0,"""No puedes cambiar tu conjunto de Clase<br>porque la misión ya ha comenzado."""
ChallengeSet_Help#0,"""<c f0df60>Selecciona un Class Set<c>"""
ChallengeSet_Toast#0,"""Ha aplicado el conjunto de clases $(0)."""
MySetClassSetNone#0,"""La Clase no ha podido ser equipada."""
MySetEquipSetNone#0,"""Equipamiento has not been set."""
MySetPreSetNone#0,"""No hay ningún preajuste"""
StatusLabelLevel#0,"""Nv."""
NoClassSkillMessage#0,"""No hay habilidades de clase disponibles"""
NoPaMessage#0,"""No dispones de Photon Arts"""
NoTechnicMessage#0,"""No dispones de Técnicas"""
MySetClassNone#0,"""No has seleccionado ninguna clase."""
MySetItemNone#0,"""No hay objetos seleccionados."""
Title#0,"""DETALLES DE LA CLASE"""
ItemDetailTitle#0,"""Info. del objeto"""
Class#0,"""Clase"""
Error#0,"""Error de mis conjuntos"""
EquipError#0,"""El equipo no puede cambiarse."""
ListError#0,"""No se ha podido obtener la carga"""
QuestStartError#0,"""Ya has iniciado una misión."""
MenuError#0,"""No tienes conjuntos"""
ClassSet_Hunter#0,"""Tipo Hunter"""
ClassSet_Ranger#0,"""Tipo Ranger"""
ClassSet_Force#0,"""Tipo Force"""
ClassSet_Braver#0,"""Tipo Braver"""
ClassSet_Bouncer#0,"""Tipo Bouncer"""
SkillTree_Hu#0,"""Tipo Hu"""
Preset_Hu#0,"""Un conjunto de clases que combina <yellow>Hunter y Fighter<c>.<br>Un tipo de Melee duradero que puede usar muchas armas."""
