SubMenuTitle#0,"""스토리 보드 메뉴"""
AnimeTest#0,"""アニメテスト"""
CtrlTest#0,"""表示制御テスト"""
Title#0,"""스토리 보드"""
HintClose#0,"""검색 불가능한 마타"""
HintOpen#0,"""검색 가능한 마타"""
HintAchieved#0,"""검색한 마타"""
HintAccepted#0,"""검색 중인 마타"""
HintGuide#0,"""가이드 중인 마타"""
HintKeyOpen#0,"""검색 가능한 키 마타"""
HintKeyAchieved#0,"""검식 된 키 마타"""
HintKeyAccepted#0,"""검색 중인 키 마타"""
HintKeyGuide#0,"""가이드 중인 키 마타"""
PercentComplete#0,"""달성률"""
Title#1,"""마타 정보"""
SynopsisTitle#0,"""이 이벤트의 개요"""
OrderName#0,"""$(0)－$(1) $(2)"""
Info#0,"""정보"""
Target#0,"""앞으로의 루트 해제 조건"""
Reward#0,"""클리어 보상"""
Crushing#0,"""「$(0)」의 격파"""
Kills#0,"""$(0)"""
Achievement#0,"""「$(0)」의 달성"""
Conversation#0,"""「$name」와의 대화"""
ClientOrder#0,"""클라이언트 오더"""
Requester#0,"""의뢰인: $(0)"""
Location#0,"""위치: $(0)・$(1)"""
Broadcasting#0,"""애니메이션 판 PSO2 방송"""
BroadcastDate#0,"""방송 일시: $(0)"""
Broadcaster#0,"""방송국: $(0)"""
StoryQuestClear#0,"""스토리 퀘스트 클리어"""
StoryQuestName#0,"""퀘스트명: $(0)"""
EventBrowse#0,"""이벤트 열람"""
EventName#0,"""이벤트명: $(0)"""
Close_Vita#0,"""捜索不可"""
Open_Vita#0,"""捜索可能"""
Accepted_Vita#0,"""捜索中"""
Achieved#0,"""검색"""
DetailsTitle1#0,"""클리어 보상"""
DetailsTitle2#0,"""이벤트 정보"""
SearchGauge#0,"""진행 상황"""
SearchGaugeRate#0,"""$(0)/$(1) """
StoryQuestRankTitle#0,"""랭크 선택"""
StoryQuestRankNormal#0,"""캐쥬얼"""
StoryQuestRankHard#0,"""하드코어"""
AcceptTitle#0,"""검색 시작 확인"""
Accept1#0,"""이 마타를 찾기 시작하시겠습니까?"""
Accept2#0,"""검색 중인 마타を変更し、<br>이 마타를 찾기 시작하시겠습니까?"""
Accept3#0,"""クエストカウンターで<br>このマターのガイドを表示しますか？"""
Accept4#0,"""このマターの対象キャラクターに<br>ガイドを表示しますか？"""
Target#1,"""目標："""
Area#0,"""主なエリア："""
Guide#0,"""（このマターをガイドの対象にした場合、<br>このマターボードが捜索対象となります）"""
AutoGuide#0,"""おすすめのマター「$(0)－$(1) $(2)」にガイドを設定しました。"""
AcceptPopup1#0,"""스토리 퀘스트 수주"""
AcceptPopup2#0,"""퀘스트 레코드 보기"""
MessageTitle#0,"""메시지"""
WindowTitle#0,"""퀘스트 수주 확인"""
EventTitle#0,"""이벤트 재생"""
QuestMessage#0,"""스토리 퀘스트를 수주하고<br>캠프 쉽으로 이동합니다.<br>정말 괜찮으시겠습니까?"""
QuestSettledMessage#0,"""스토리 퀘스트를 수주하고<br>캠프 쉽으로 이동합니다.<br>정말 괜찮으시겠습니까?<br><br><c ffa800>※이 퀘스트는 이미 완료했습니다<c>"""
QuestNotice#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br>───────────────────────<br>실패 조건/전투 불능 후 리타이어를 선택"""
QuestSettledNotice#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br><br><c ffa800>※이 퀘스트는 이미 완료했습니다<c><br>───────────────────────<br>실패 조건/전투 불능 후 리타이어를 선택"""
QuestNoticeHard#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br><yellow>※하드코어를 클리어하면<br>캐주얼에도 클리어 마크가 부여됩니다<c><br>───────────────────────<br>실패 조건/전투 불능 후 리타이어를 선택"""
QuestSettledNoticeHard#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br><yellow>※하드코어를 클리어하면<br>캐주얼에도 클리어 마크가 부여됩니다<c><br><br><c ffa800>※이 퀘스트는 이미 완료했습니다<c><br>───────────────────────<br>실패 조건/전투 불능 후 리타이어를 선택"""
QuestNoticeHard_F#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br><yellow>※이 퀘스트에는 캐주얼이 없습니다<c><br>───────────────────────<br>실패 조건/전투 불능, 제한 시간 경과"""
QuestSettledNoticeHard_F#0,"""스토리 퀘스트를 수주합니다만 정말 괜찮으시겠습니까?<br><yellow>※이 퀘스트에서는 캠프 쉽에 가지 않고<br>직접 필드로 이동합니다<c><br><yellow>※이 퀘스트에는 캐주얼이 없습니다<c><br><br><c ffa800>※이 퀘스트는 이미 완료했습니다<c><br>───────────────────────<br>실패 조건/전투 불능, 제한 시간 경과"""
BridgeMessage#0,"""스토리 퀘스트는 함교에서만 받을 수 있습니다.<br><yellow>※艦橋へはゲートエリア2F、または<br>クイックメニューの「艦橋へ行く」から移動できます。<c>"""
PartyMessage#0,"""스토리 퀘스트는 파티를 구성한 상태에서는<br>수주할 수없습니다."""
EventMessage#0,"""선택한 이벤트를 재생합니다.<br>정말 괜찮으시겠습니까?"""
EventSettledMessage#0,"""선택한 이벤트를 재생합니다.<br>정말 괜찮으시겠습니까?<br><br><c ffa800>※このイベントは閲覧済みです<c>"""
EventNotice#0,"""艦橋以外の장소ではイベント閲覧ができません。<br><yellow>※艦橋へはゲートエリア2F、または<br>クイックメニューの「艦橋へ行く」から移動できます。<c>"""
MatterLock#0,"""このピースは、まだ解放されていません。"""
NonSynopsis#0,"""このピースにあらすじはありません。"""
GetReward#0,"""<c ffa800>達成報酬は受け取り済みです。<c>"""
CompleteTitle#0,"""選択確認"""
Complete1#0,"""このマターボードは、全てのマターが探索済みの<br>状態です。<br>このマターボードをセットすることで、ロビーにいる<br>キャラクターや会話の内容などが変化します。<br><br>マターボードのセットを変更しますか？"""
Complete2#0,"""マターボードをセットしました。"""
MethodMessage#0,"""特定のクエストをクリアすることで<br>この先に進むことができます。<br><br>「앞으로의 루트 해제 조건」ウィンドウ内の<br> <yellow>[クエスト名]<c> に書かれたクエストをクリアすることで<br>次のピースが解放されます。<br><br>※そのクエストがまだ出現していない場合は、<br>他にまだクリアしていないクエストを<br>進めてみてください。"""
MethodOrderMessage#0,"""特定の클라이언트 오더を達成することで<br>この先に進むことができます。<br><br>右上の <yellow>[클라이언트 오더名]<c> に書かれた<br>オーダーを受注して、達成しましょう。<br><br>※そのオーダーがまだ出現していない場合は、<br>他にまだ達成していないオーダーを<br>進めてみてください。"""
ClearMessage#0,"""まとめて複数のルートが解放されました。"""
