iidxNotFound#0,"""Nada"""
iidx3_51_0_0#0,"""L / JG Sonic Arrow<br>L / TD Air Chase<br>L / Knuckle Chase<br>"""
iidx3_51_0_1#0,"""L / JG Heavenly F<br>L / Katana Gear Guard R<br>L / DB Snatch<br>"""
iidx3_51_0_2#0,"""Pescado de la costa a la parrilla de la mina salteado de pez cinturón <br>"""
iidx3_51_0_3#0,"""L / JG Rising F<br>L / DS Kamaitachi<br>L / RR Field<br>"""
iidx3_51_0_4#0,"""L / Wide-Área Heal<br>L / Quick Blaster<br>L / Early Rise<br>"""
iidx3_51_0_5#0,"""L/Slow Dive Roll<br>L/Sidestep Jump<br>L/Air Recovery"""
iidx3_51_0_6#0,"""L/Slow FI Action<br>L/Peace Zondeel<br>L/Jumping Dodge<br>"""
iidx3_52_0_0#0,"""L / TD Air Chase<br>L / Front S-Roll<br>L / Tech C Parry<br>"""
iidx3_52_0_1#0,"""L / JG Sonic Arrow<br>L / Knuckle Chase<br>L / High Time Keep<br>"""
iidx3_52_0_2#0,"""L / JG Heavenly F<br>L / Katana Gear Guard R<br>L / DB Snatch<br>"""
iidx3_52_0_3#0,"""L / JG Rising F<br>L / DS Kamaitachi<br>L / RR Field<br>"""
iidx3_52_0_4#0,"""L / Wide-Área Heal<br>L / Early Rise<br>L / Mate Lovers<br>"""
iidx3_52_0_5#0,"""L / Quick Blaster<br>L / Light Armor<br>L / Wand E-Change<br>"""
iidx3_52_0_6#0,"""L / Bullet Bow Homing<br>L / Standing Sign<br>L / Short Mirage<br>"""
iidx3_52_0_7#0,"""L / JB Elemental Keep<br>L / A-Launcher Mode<br>R / J Reversal Cover<br>"""
iidx3_52_0_8#0,"""L/Slow Dive Roll<br>L/Sidestep Jump<br>L/Air Recovery"""
iidx3_52_0_9#0,"""L/JB Tech Arts SC<br>L/L Non-Weak Bonus<br>L/J Recovery JA Combo<br>"""
iidx3_52_0_10#0,"""L / PB Homing<br>L / Near Auto-target<br>R/Tech Arts JA PP S<br>"""
iidx3_52_0_11#0,"""L/Slow FI Action<br>L/Peace Zondeel<br>L/Jumping Dodge<br>"""
iidx3_52_0_12#0,"""L/A Photon Bullet Mode<br>L/ Perfect Recovery B<br>R/ Quick Mate"""
iidx3_52_0_13#0,"""L/ Excite Mag<br>L/ Sidestep-PA Combo<br>R/ Critical Field<br>"""
iidx3_52_0_14#0,"""L/ Katana C Tick Up<br>L/T Machine Guns S Up<br>R/ Flame TS Charge<br>"""
iidx3_52_0_15#0,"""L/P Blight Rounds<br>L/ Atomizer Lovers<br>R/HP Restorate<br>"""
iidx3_53_0_0#0,"""Forest Tomato Salad<br>Forest Tuna Carpaccio<br>Forest Tomato-Simmered Sweetfish<br>"""
iidx3_53_0_1#0,"""Tokyo Hamburger Steak<br>"""
iidx3_53_0_2#0,"""Tokyo Hamburger Steak<br>"""
iidx3_53_0_4#0,"""Abandoned Mine Eel Rice Bowl<br>"""
iidx3_53_0_5#0,"""Desert Crab Croquette<br>"""
iidx3_53_0_6#0,"""Desert Flounder Pasta<br>Electric Corn Chowder<br>"""
iidx3_53_0_7#0,"""Floating Facility Mint Meuniere<br>"""
iidx3_53_0_8#0,"""Floating Facility Turnip Ravioli<br>"""
iidx3_53_0_9#0,"""Floating Facility Sardine Salad<br>Fried Chicken<br>から揚げ<br>"""
iidx3_53_0_10#0,"""Seafood Pumpkin Pie<br>"""
iidx3_53_0_11#0,"""Tundra Spring Onion Ajillo<br>"""
iidx3_53_0_12#0,"""Fried Crab and Egg with Underground Mushrooms<br>"""
iidx3_53_0_13#0,"""Daybreak Province Carp in Soy Sauce<br>"""
iidx3_53_0_14#0,"""Underground Shafts Conch Salad<br>"""
iidx3_53_0_15#0,"""Underground Shafts Grilled Mantis Shrimp<br>"""
iidx3_53_0_16#0,"""Seabed Octopus Fritters<br>"""
iidx3_53_0_17#0,"""Braised Floating Continent Bonito<br>"""
iidx3_53_0_18#0,"""Nightfall Province Needlefish Galette<br>"""
iidx3_53_0_19#0,"""Nightfall Province Firefly Squid Pie<br>"""
iidx3_53_0_20#0,"""Dragon Altar Fried Snakehead"""
iidx3_53_0_21#0,"""Nightfall Province Burdock Bisque<br>"""
iidx3_54_0_1#0,"""Ruins Salmon in Fruit Sauce<br>Stirfry<br>Bomb Burger<br>"""
iidx3_54_0_2#0,"""Marinated Coast Mussels<br>Stirfry<br>Marinade<br>"""
iidx3_54_0_3#0,"""Abandoned Mine Sautéed Beltfish<br>Electric Fruit Tart<br>"""
iidx3_54_0_4#0,"""Tundra Herring Canh Chua<br>Electric Fruit Tart<br>"""
iidx3_54_0_5#0,"""Seafood Fruit Confit<br>Electric Fruit Tart<br>"""
iidx3_54_0_6#0,"""Roasted Seabed Iwagaki Oyster Wrap<br>"""
iidx3_54_0_7#0,"""Roasted Seafood Wrap<br>"""
iidx3_55_0_0#0,"""Forest Yellowtail Fishhead Soup<br>Marinade<br>Abandoned Mine Eel Rice Bowl<br>"""
iidx3_55_0_1#0,"""Ruins Shrimp Tempura<br>Desert Flounder Pasta<br>"""
iidx3_55_0_2#0,"""Soy-broiled Tokyo Red Seabream<br>Tokyo Tuna Sashimi<br>Forest Yellowtail Fishhead Soup<br>"""
iidx3_55_0_3#0,"""Floating Facility Squid Burrito<br>Electric Corn Chowder<br>"""
iidx3_62_0_0#0,"""Grilled Fish<br>Forest Tomato-Simmered Sweetfish<br>Tundra Herring Canh Chua<br>"""
iidx3_62_0_1#0,"""Forest Tuna Carpaccio<br>Seabed Octupus Fritters<br>"""
iidx3_62_0_2#0,"""Forest Yellowtail Fishhead Soup<br>Extravagant Seafood Platter<br>"""
iidx3_62_0_3#0,"""Seafood Soup<br>Nightfall Province Needlefish Galette<br>"""
iidx3_62_0_4#0,"""Sashimi<br>Ruins Salmon in Fruit Sauce<br>Volcanic Caves Char Poele<br>"""
iidx3_62_0_6#0,"""Salt-grilled Coast File Fish<br>Seafood Stew<br>"""
iidx3_62_0_8#0,"""Tokyo Tuna Sashimi<br>"""
iidx3_62_0_9#0,"""Soy-broiled Tokyo Red Seabream<br>Abandoned Mine Shark Soup"""
iidx3_62_0_11#0,"""Desert Flounder Pasta<br>Roasted Seafood Wrap<br>"""
iidx3_62_0_12#0,"""<br>Abandoned Mine Shark Soup"""
iidx3_62_0_14#0,"""Abandoned Mine Eel Rice Bowl<br>Nightfall Province Burdock Bisque<br>"""
iidx3_62_0_15#0,"""Abandoned Mine Sautéed Beltfish<br>Seafood Fruit Confit<br>"""
iidx3_62_0_16#0,"""<br>Abandoned Mine Shark Soup"""
iidx3_62_0_17#0,"""Floating Facility Sardine Salad<br>Seafood Pumpkin Pie<br>"""
iidx3_62_0_19#0,"""Steamed Floating Facility Rainbow Shrimp<br>Nightfall Province Firefly Squid Pie<br>"""
iidx3_62_0_21#0,"""Floating Facility Mint Meuniere<br>Daybreak Province Carp in Soy Sauce<br>"""
iidx3_62_0_23#0,"""Seafood Pumpkin Pie<br>Dragon Altar Fried Snakehead<br>"""
