EventInformation#0,"""Info. de eventos"""
ShipConfrontation#0,"""Concursos de Ship ARKS"""
PlayerInformation#0,"""Su información"""
RoundTarget#0,"""Objetivos de la ronda actual"""
PeriodCovered#0,"""Hora de la ronda actual"""
ObjectRemuneration#0,"""Información sobre la recompensa"""
TargetStarPoint#0,"""Límites alcanzados (límite de Star por ronda)"""
TargetStarBonus#0,"""Bonificación por llegar al límite"""
PossessionStar#0,"""Stars en posesión"""
PossessionStarDeadline#0,"""Star Expiración"""
Affiliation#0,"""Tu Grupo"""
BoostInformation#0,"""Info. del aumento actual"""
Grouppoint#0,"""Puntos contribuidos"""
BingoCard#0,"""ARKS Bingo Card"""
BingoCardNum#0,""" ($(0))"""
MenuShipConfrontation#0,"""ARKS Cross-Ship Competitions"""
Rank#0,"""Rank"""
Star#0,"""Stars(pt)"""
Point#0,"""Puntos"""
Progression#0,"""Progreso"""
Normal#0,"""Normal"""
Hard#0,"""Hard"""
VeryHard#0,"""Very Hard"""
SuperHard#0,"""Super Hard"""
StarExpire#0,""" $(0)(Expiración/$(1) $(2))"""
Loading#0,"""Comunicando..."""
NotPlayMessage#0,"""Actualmente no disponible."""
StopMessage#0,"""Suspendido."""
CancelMessage#0,"""Cancelado."""
NotConfirm#0,"""No hay información disponible para que la vea."""
ArksRanking#0,"""ARKS League"""
TotalScoreBoost#0,"""Quest Link Boost"""
WebLink#0,"""Web Link Event"""
RoundInformation#0,"""Información de la ronda"""
RoundSelection#0,"""Seleccione la ronda"""
ComprehensiveRanking#0,"""Clasificación general"""
RoundDetails#0,"""Detalles de la ronda"""
TotalPoint#0,"""Puntos de victoria totales"""
FinalRemuneration#0,"""Recompensas de la clasificación final"""
RankingInformation#0,"""Información sobre la clasificación"""
QuestRankInfo#0,"""Información sobre la recompensa"""
FirstPlace#0,"""Primero"""
SecondPlace#0,"""Segundo"""
ThirdPlace#0,"""Tercero"""
FourthPlace#0,"""Cuarto"""
FifthPlace#0,"""Quinto"""
RoundTarget#1,"""Objetivos de la ronda actual"""
PeriodCovered#1,"""Tiempo de ronda actual"""
Information#1,"""Información"""
ObjectRemuneration#1,"""Recompensas obtenidas por alcanzar los objetivos de la ronda"""
TargetStarPoint#1,"""Número de estrellas por alcanzar el límite"""
TargetStarBonus#1,"""Bonificación por alcanzar el límite"""
Grouppoint#1,"""Puntos máximos de contribución"""
RoundRanking#0,"""Clasificación por rondas"""
RankingRemuneration#0,"""Recompensa por alcanzar el rango"""
Boost#0,"""Información sobre el Boost concedido en la siguiente ronda"""
BoostDeadline#0,"""Plazo de concesión del impulso en la siguiente ronda"""
RegistrationShip#0,"""Barco aliado"""
RoundRankingRemuneration#0,"""Clasificación de la ronda"""
Remuneration#0,"""Número de estrellas otorgables"""
PrizeExchange#0,"""Momento en que los premios de la clasificación final están disponibles para su compra"""
AdditionalPrize#0,"""Premios de la clasificación final disponibles para su compra dentro del límite de tiempo"""
GroupRanking#0,"""Clasificación final y puntos de victoria totales"""
GetStarPoint#0,"""Número de estrellas ganadas (puntos de contribución)"""
Rank#1,"""Dificultad"""
Star#1,"""Stars"""
Point#1,"""Puntos de contribución"""
Progression#1,"""Progreso"""
Ranking#0,"""Rango"""
RequiredStar#0,"""Número de estrellas necesarias"""
Group#0,"""Group"""
GroupPoint#0,"""Puntos de contribución"""
Pts#0,"""Victory Points"""
PrizeMenu#0,"""Nombre del premio"""
BoostInfo#0,"""Detalles de la mejora"""
StartDate#0,"""Fecha y hora de inicio"""
EndDate#0,"""Fecha y hora de finalización"""
GetStar#0,"""Estrellas ganadas"""
GetItem#0,"""Artículos ganados"""
Normal#1,"""Normal"""
Hard#1,"""Hard"""
VeryHard#1,"""Very Hard"""
SuperHard#1,"""Super Hard"""
SubPaletteTabChangeTag#0,"""<%TabForward>"""
SubPaletteTabChange#0,"""Siguiente"""
ShipName#0,"""ship $(0)"""
