Button_Move_Pad#0,"""<pict Alpha_ls>"""
Button_Move_Keyboard#0,"""<%MoveForward><pict 4space><%MoveLeft><pict 4space><%MoveBack><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_Dush#0,"""<%Avoid><pict 4space>길게 누르기"""
Button_DushJump#0,"""대시 중 <pict 4space><%Jump>"""
Button_Attack#0,"""<%NormalAttack>"""
Button_Avoid#0,"""<%Avoid>"""
Button_LockOn#0,"""<%LockOn>"""
Button_PhotonArts#0,"""<%PhotonArts>"""
Button_SubPallet_Select#0,"""<%SubPaletteLeft><pict 4space><%SubPaletteRight>"""
Button_SubPallet_Action#0,"""<%SubPalette>"""
Button_Glide_01#0,"""점프 중 <pict 4space><%Jump>"""
Button_Glide_02#0,"""혹은 <pict 4space><%Jump><pict 4space>길게 누르기"""
Label_Move#0,"""이동"""
Label_Jump#0,"""점프"""
Label_Dush#0,"""포톤대시"""
Label_DushJump#0,"""포톤대시점프"""
Label_Attack#0,"""일반공격"""
Label_Avoid#0,"""회피"""
Label_LockOn#0,"""록온"""
Label_PhotonArts#0,"""포톤아츠"""
Label_SubPallet_Select#0,"""서브 팔레트 선택"""
Label_SubPallet_Action#0,"""서브 팔레트 사용"""
Label_Glide#0,"""포톤 글라이드"""
